seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
39462.0,37353.0,15559.0,12211.0,14162.0,-9525.0,14080.0,77.0,180.0,26,M,5,2019-06-18T12:03:49.171701
39210.0,37358.0,15453.0,12068.0,13753.0,-9509.0,14434.0,77.0,180.0,26,M,5,2019-06-18T12:03:49.748719
39133.0,37686.0,15474.0,12088.0,13832.0,-9542.0,14280.0,77.0,180.0,26,M,5,2019-06-18T12:03:50.316469
39207.0,37506.0,15572.0,12275.0,13737.0,-9494.0,14208.0,77.0,180.0,26,M,5,2019-06-18T12:03:50.884389
39060.0,37483.0,15420.0,12149.0,13343.0,-9437.0,14404.0,77.0,180.0,26,M,5,2019-06-18T12:03:51.452110
39127.0,37136.0,15352.0,12128.0,13084.0,-9448.0,14566.0,77.0,180.0,26,M,5,2019-06-18T12:03:52.020073
39150.0,36975.0,15306.0,12130.0,12980.0,-9434.0,14338.0,77.0,180.0,26,M,5,2019-06-18T12:03:52.587982
39183.0,36929.0,15254.0,12243.0,12979.0,-9439.0,14396.0,77.0,180.0,26,M,5,2019-06-18T12:03:53.155850
39294.0,37147.0,15443.0,12315.0,12761.0,-9474.0,14074.0,77.0,180.0,26,M,5,2019-06-18T12:03:53.723831
39383.0,36900.0,15374.0,12341.0,12976.0,-9429.0,14023.0,77.0,180.0,26,M,5,2019-06-18T12:03:54.291702
39371.0,36883.0,15357.0,12309.0,12990.0,-9451.0,14209.0,77.0,180.0,26,M,5,2019-06-18T12:03:54.859584
39313.0,36756.0,15286.0,12300.0,12986.0,-9473.0,14114.0,77.0,180.0,26,M,5,2019-06-18T12:03:55.427505
39286.0,36781.0,15343.0,12299.0,12972.0,-9413.0,14041.0,77.0,180.0,26,M,5,2019-06-18T12:03:55.995375
39261.0,36948.0,15383.0,12301.0,12774.0,-9430.0,13960.0,77.0,180.0,26,M,5,2019-06-18T12:03:56.563263
39065.0,37037.0,15474.0,12303.0,13053.0,-9448.0,13745.0,77.0,180.0,26,M,5,2019-06-18T12:03:57.131085
39129.0,36840.0,15431.0,12289.0,12957.0,-9464.0,13967.0,77.0,180.0,26,M,5,2019-06-18T12:03:57.699040
39049.0,36866.0,15344.0,12204.0,12779.0,-9448.0,14060.0,77.0,180.0,26,M,5,2019-06-18T12:03:58.266816
38992.0,36540.0,15311.0,12216.0,12923.0,-9531.0,14008.0,77.0,180.0,26,M,5,2019-06-18T12:03:58.834693
39107.0,36720.0,15328.0,12192.0,12753.0,-9575.0,13902.0,77.0,180.0,26,M,5,2019-06-18T12:03:59.401964
38985.0,36871.0,15482.0,12252.0,12938.0,-9525.0,13651.0,77.0,180.0,26,M,5,2019-06-18T12:03:59.970514
