seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
9416.0,34996.0,32851.0,7329.0,2364.0,-8741.0,5496.0,73.0,173.0,24,M,6,2019-06-18T12:30:00.465701
9415.0,37151.0,33506.0,7469.0,2124.0,-8057.0,5441.0,73.0,173.0,24,M,6,2019-06-18T12:30:01.022564
9328.0,39554.0,35059.0,7582.0,2026.0,-7171.0,5383.0,73.0,173.0,24,M,6,2019-06-18T12:30:01.602401
9273.0,38739.0,33676.0,7677.0,1910.0,-7468.0,5393.0,73.0,173.0,24,M,6,2019-06-18T12:30:02.158488
9297.0,38427.0,32876.0,6727.0,1850.0,-7918.0,5420.0,73.0,173.0,24,M,6,2019-06-18T12:30:02.738945
9380.0,45033.0,35388.0,7160.0,1919.0,-7792.0,5398.0,73.0,173.0,24,M,6,2019-06-18T12:30:03.294361
9228.0,39853.0,33888.0,7196.0,1559.0,-6783.0,5367.0,73.0,173.0,24,M,6,2019-06-18T12:30:03.875503
9270.0,39616.0,32950.0,7518.0,1515.0,-3897.0,5337.0,73.0,173.0,24,M,6,2019-06-18T12:30:04.430222
9194.0,41963.0,32666.0,8226.0,1498.0,-972.0,5319.0,73.0,173.0,24,M,6,2019-06-18T12:30:05.011832
9127.0,40117.0,32258.0,8046.0,1498.0,-2368.0,5328.0,73.0,173.0,24,M,6,2019-06-18T12:30:05.565815
9140.0,39521.0,32599.0,7987.0,1403.0,-3029.0,5284.0,73.0,173.0,24,M,6,2019-06-18T12:30:06.148286
9108.0,40036.0,32825.0,8238.0,1399.0,-3766.0,5206.0,73.0,173.0,24,M,6,2019-06-18T12:30:06.701803
9156.0,40619.0,33078.0,8412.0,1487.0,-4292.0,5258.0,73.0,173.0,24,M,6,2019-06-18T12:30:07.284787
9124.0,39261.0,32455.0,8614.0,1421.0,-4733.0,5226.0,73.0,173.0,24,M,6,2019-06-18T12:30:07.837638
9091.0,39113.0,32608.0,8414.0,1410.0,-4993.0,5170.0,73.0,173.0,24,M,6,2019-06-18T12:30:08.421230
9139.0,39407.0,32857.0,8372.0,1461.0,-4682.0,5161.0,73.0,173.0,24,M,6,2019-06-18T12:30:08.973598
9073.0,40121.0,32527.0,8329.0,1508.0,-4217.0,5125.0,73.0,173.0,24,M,6,2019-06-18T12:30:09.557822
8979.0,40063.0,32920.0,8352.0,1615.0,-3874.0,5183.0,73.0,173.0,24,M,6,2019-06-18T12:30:10.109181
9083.0,39668.0,33143.0,8309.0,1588.0,-4167.0,5138.0,73.0,173.0,24,M,6,2019-06-18T12:30:10.694324
9018.0,39919.0,33559.0,8539.0,1689.0,-4008.0,5092.0,73.0,173.0,24,M,6,2019-06-18T12:30:11.245032
