seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
10094.0,5676.0,4478.0,1384.0,28305.0,33103.0,-2009.0,47.0,159.0,25,F,6,2019-06-19T16:11:19.691111
8949.0,5712.0,4337.0,1406.0,23993.0,33921.0,-2020.0,47.0,159.0,25,F,6,2019-06-19T16:11:20.259070
7957.0,5692.0,4220.0,1573.0,19483.0,35047.0,-1964.0,47.0,159.0,25,F,6,2019-06-19T16:11:20.868278
7768.0,5680.0,4303.0,1355.0,18525.0,30100.0,-2046.0,47.0,159.0,25,F,6,2019-06-19T16:11:21.394086
7093.0,5741.0,4171.0,1299.0,17509.0,35216.0,-1989.0,47.0,159.0,25,F,6,2019-06-19T16:11:21.961565
7496.0,5732.0,4195.0,1311.0,17036.0,32377.0,-1949.0,47.0,159.0,25,F,6,2019-06-19T16:11:22.529050
7330.0,5709.0,4335.0,1354.0,16726.0,28404.0,-2056.0,47.0,159.0,25,F,6,2019-06-19T16:11:23.096474
6296.0,5689.0,4287.0,1333.0,16530.0,22882.0,-1980.0,47.0,159.0,25,F,6,2019-06-19T16:11:23.664019
6643.0,5697.0,4348.0,1267.0,16503.0,23280.0,-1999.0,47.0,159.0,25,F,6,2019-06-19T16:11:24.231409
7479.0,5700.0,4270.0,1353.0,16440.0,23143.0,-1993.0,47.0,159.0,25,F,6,2019-06-19T16:11:24.798864
7289.0,5706.0,4260.0,1284.0,16440.0,21158.0,-1984.0,47.0,159.0,25,F,6,2019-06-19T16:11:25.366181
7066.0,5705.0,4314.0,1353.0,16394.0,21363.0,-1940.0,47.0,159.0,25,F,6,2019-06-19T16:11:25.933691
7188.0,5743.0,4323.0,1284.0,16349.0,21705.0,-1896.0,47.0,159.0,25,F,6,2019-06-19T16:11:26.501225
7107.0,5715.0,4301.0,1281.0,16358.0,22288.0,-1929.0,47.0,159.0,25,F,6,2019-06-19T16:11:27.068257
7033.0,5688.0,4325.0,1349.0,16311.0,22226.0,-1927.0,47.0,159.0,25,F,6,2019-06-19T16:11:27.636123
6993.0,5711.0,4299.0,1287.0,16294.0,23101.0,-1974.0,47.0,159.0,25,F,6,2019-06-19T16:11:28.203473
7043.0,5700.0,4289.0,1263.0,16183.0,22750.0,-1948.0,47.0,159.0,25,F,6,2019-06-19T16:11:28.770995
6847.0,5682.0,4353.0,1253.0,16113.0,21953.0,-1912.0,47.0,159.0,25,F,6,2019-06-19T16:11:29.338458
6866.0,5676.0,4381.0,1294.0,16129.0,21708.0,-1914.0,47.0,159.0,25,F,6,2019-06-19T16:11:29.905895
6415.0,5616.0,4385.0,1397.0,15998.0,22117.0,-1914.0,47.0,159.0,25,F,6,2019-06-19T16:11:30.473329
