seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
81564.0,41994.0,42914.0,7257.0,11426.0,18499.0,1041.0,66.0,168.0,23,M,6,2019-06-18T15:50:00.822328
82483.0,42032.0,42900.0,7388.0,11432.0,18845.0,1097.0,66.0,168.0,23,M,6,2019-06-18T15:50:01.390391
84184.0,41660.0,43212.0,7513.0,11423.0,18871.0,1207.0,66.0,168.0,23,M,6,2019-06-18T15:50:01.957701
81091.0,41956.0,43312.0,7385.0,11480.0,18542.0,1077.0,66.0,168.0,23,M,6,2019-06-18T15:50:02.525289
82166.0,42188.0,43565.0,7402.0,11345.0,18658.0,1056.0,66.0,168.0,23,M,6,2019-06-18T15:50:03.092719
81691.0,42177.0,43549.0,7490.0,11344.0,18777.0,1157.0,66.0,168.0,23,M,6,2019-06-18T15:50:03.660394
82136.0,42136.0,43371.0,7561.0,11356.0,18708.0,1118.0,66.0,168.0,23,M,6,2019-06-18T15:50:04.227927
84171.0,41703.0,43296.0,7643.0,11403.0,16254.0,1105.0,66.0,168.0,23,M,6,2019-06-18T15:50:04.795447
81978.0,41969.0,43302.0,7726.0,11464.0,16561.0,1193.0,66.0,168.0,23,M,6,2019-06-18T15:50:05.362923
85712.0,42254.0,43488.0,7697.0,11350.0,18296.0,1193.0,66.0,168.0,23,M,6,2019-06-18T15:50:05.930414
86178.0,41793.0,43248.0,7734.0,11340.0,17124.0,1268.0,66.0,168.0,23,M,6,2019-06-18T15:50:06.497929
85994.0,41615.0,43499.0,7810.0,11351.0,16339.0,1213.0,66.0,168.0,23,M,6,2019-06-18T15:50:07.064745
85514.0,41485.0,43382.0,7922.0,11434.0,16218.0,1172.0,66.0,168.0,23,M,6,2019-06-18T15:50:07.632902
85611.0,41482.0,43514.0,7934.0,11499.0,16152.0,1164.0,66.0,168.0,23,M,6,2019-06-18T15:50:08.200340
85890.0,41332.0,43384.0,7950.0,11435.0,15729.0,1204.0,66.0,168.0,23,M,6,2019-06-18T15:50:08.767874
89280.0,41854.0,43110.0,7579.0,11433.0,16185.0,1306.0,66.0,168.0,23,M,6,2019-06-18T15:50:09.335528
87334.0,42841.0,43656.0,7357.0,11394.0,15636.0,1133.0,66.0,168.0,23,M,6,2019-06-18T15:50:09.902766
86930.0,42787.0,43582.0,7417.0,11329.0,15591.0,1284.0,66.0,168.0,23,M,6,2019-06-18T15:50:10.471414
86594.0,42936.0,43730.0,7556.0,11356.0,15730.0,1315.0,66.0,168.0,23,M,6,2019-06-18T15:50:11.037798
87451.0,42666.0,43658.0,7555.0,11390.0,15939.0,1367.0,66.0,168.0,23,M,6,2019-06-18T15:50:11.607032
