seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4750.0,34213.0,23757.0,10237.0,25166.0,21981.0,-4885.0,76.0,183.0,26,M,6,2019-06-19T11:52:59.194719
4531.0,33809.0,23855.0,10132.0,26657.0,21947.0,-4808.0,76.0,183.0,26,M,6,2019-06-19T11:52:59.731724
4489.0,33166.0,23708.0,10262.0,24841.0,21819.0,-4856.0,76.0,183.0,26,M,6,2019-06-19T11:53:00.330736
4643.0,33452.0,23886.0,10300.0,22286.0,21671.0,-4877.0,76.0,183.0,26,M,6,2019-06-19T11:53:00.867343
4687.0,33598.0,23764.0,10228.0,19993.0,22846.0,-4857.0,76.0,183.0,26,M,6,2019-06-19T11:53:01.466938
4723.0,33249.0,23637.0,10176.0,20036.0,21623.0,-4904.0,76.0,183.0,26,M,6,2019-06-19T11:53:02.003028
4613.0,32000.0,23716.0,10308.0,18782.0,21794.0,-4954.0,76.0,183.0,26,M,6,2019-06-19T11:53:02.603047
4558.0,33025.0,24084.0,10286.0,17392.0,21318.0,-4898.0,76.0,183.0,26,M,6,2019-06-19T11:53:03.138572
4549.0,33206.0,23995.0,10192.0,16098.0,21856.0,-4939.0,76.0,183.0,26,M,6,2019-06-19T11:53:03.739135
4440.0,33201.0,23341.0,10123.0,14862.0,25078.0,-4917.0,76.0,183.0,26,M,6,2019-06-19T11:53:04.274146
4277.0,32528.0,23555.0,10059.0,15053.0,25104.0,-5048.0,76.0,183.0,26,M,6,2019-06-19T11:53:04.875276
4526.0,32649.0,23607.0,9986.0,15716.0,24365.0,-5019.0,76.0,183.0,26,M,6,2019-06-19T11:53:05.409830
4340.0,32927.0,23668.0,9980.0,15076.0,23779.0,-5018.0,76.0,183.0,26,M,6,2019-06-19T11:53:06.011577
4456.0,33549.0,23690.0,9951.0,15363.0,24144.0,-5028.0,76.0,183.0,26,M,6,2019-06-19T11:53:06.545451
4792.0,33412.0,23768.0,9713.0,20162.0,23980.0,-5018.0,76.0,183.0,26,M,6,2019-06-19T11:53:07.147468
4556.0,33361.0,23807.0,9888.0,17733.0,23486.0,-5024.0,76.0,183.0,26,M,6,2019-06-19T11:53:07.680971
4607.0,33450.0,23711.0,9818.0,19409.0,23402.0,-5032.0,76.0,183.0,26,M,6,2019-06-19T11:53:08.283604
4488.0,34114.0,23562.0,9609.0,19939.0,23747.0,-5016.0,76.0,183.0,26,M,6,2019-06-19T11:53:08.816727
4482.0,34042.0,23464.0,9686.0,21169.0,23754.0,-5059.0,76.0,183.0,26,M,6,2019-06-19T11:53:09.419761
4530.0,34084.0,23700.0,9632.0,20605.0,23465.0,-5050.0,76.0,183.0,26,M,6,2019-06-19T11:53:09.952278
