seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
16348.0,32811.0,29500.0,8392.0,3155.0,25630.0,-561.0,63.0,170.0,26,M,6,2019-06-19T12:54:00.674195
16215.0,32872.0,29542.0,8449.0,2986.0,25606.0,-563.0,63.0,170.0,26,M,6,2019-06-19T12:54:01.242342
16195.0,32728.0,29576.0,8471.0,2880.0,25630.0,-548.0,63.0,170.0,26,M,6,2019-06-19T12:54:01.810069
16113.0,32643.0,29475.0,8501.0,2854.0,25702.0,-487.0,63.0,170.0,26,M,6,2019-06-19T12:54:02.377824
15922.0,32596.0,29557.0,8472.0,2787.0,25889.0,-443.0,63.0,170.0,26,M,6,2019-06-19T12:54:02.945532
15742.0,32190.0,29801.0,8521.0,2691.0,26279.0,-442.0,63.0,170.0,26,M,6,2019-06-19T12:54:03.513258
15602.0,32228.0,29735.0,8517.0,2647.0,26238.0,-455.0,63.0,170.0,26,M,6,2019-06-19T12:54:04.080859
15686.0,32127.0,29720.0,8580.0,2596.0,26194.0,-395.0,63.0,170.0,26,M,6,2019-06-19T12:54:04.648657
15617.0,32219.0,29724.0,8568.0,2571.0,26203.0,-381.0,63.0,170.0,26,M,6,2019-06-19T12:54:05.216232
15562.0,32295.0,29659.0,8575.0,2428.0,26355.0,-408.0,63.0,170.0,26,M,6,2019-06-19T12:54:05.783989
15571.0,32247.0,29656.0,8613.0,2440.0,26293.0,-388.0,63.0,170.0,26,M,6,2019-06-19T12:54:06.351683
15766.0,32201.0,29874.0,8578.0,2448.0,26608.0,-355.0,63.0,170.0,26,M,6,2019-06-19T12:54:06.919232
15866.0,32153.0,29856.0,8656.0,2352.0,26333.0,-329.0,63.0,170.0,26,M,6,2019-06-19T12:54:07.486913
15669.0,32187.0,29814.0,8587.0,2290.0,26726.0,-335.0,63.0,170.0,26,M,6,2019-06-19T12:54:08.054667
15726.0,32244.0,29768.0,8657.0,2237.0,26685.0,-352.0,63.0,170.0,26,M,6,2019-06-19T12:54:08.622376
15881.0,31979.0,29954.0,8626.0,2216.0,26690.0,-321.0,63.0,170.0,26,M,6,2019-06-19T12:54:09.190061
15821.0,32007.0,29933.0,8642.0,2193.0,26804.0,-309.0,63.0,170.0,26,M,6,2019-06-19T12:54:09.757753
15715.0,32064.0,29737.0,8585.0,2073.0,26981.0,-284.0,63.0,170.0,26,M,6,2019-06-19T12:54:10.325530
15649.0,32072.0,29894.0,8576.0,2039.0,27195.0,-284.0,63.0,170.0,26,M,6,2019-06-19T12:54:10.893044
15907.0,31808.0,30238.0,8603.0,1999.0,26917.0,-239.0,63.0,170.0,26,M,6,2019-06-19T12:54:11.460242
