seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
1508.0,39426.0,33900.0,5537.0,9490.0,20170.0,-11388.0,63.0,170.0,20,F,6,2019-06-18T17:32:39.617053
1810.0,39345.0,34051.0,5658.0,9351.0,20085.0,-11363.0,63.0,170.0,20,F,6,2019-06-18T17:32:40.185077
1789.0,39259.0,33922.0,5733.0,9384.0,20081.0,-11429.0,63.0,170.0,20,F,6,2019-06-18T17:32:40.752461
1496.0,39211.0,33894.0,5583.0,9351.0,20206.0,-11408.0,63.0,170.0,20,F,6,2019-06-18T17:32:41.320996
1493.0,39361.0,33961.0,5616.0,9317.0,19876.0,-11441.0,63.0,170.0,20,F,6,2019-06-18T17:32:41.888941
1583.0,39093.0,33741.0,5577.0,9272.0,20230.0,-11417.0,63.0,170.0,20,F,6,2019-06-18T17:32:42.456805
1892.0,39238.0,33727.0,5695.0,9198.0,20369.0,-11473.0,63.0,170.0,20,F,6,2019-06-18T17:32:43.024617
1500.0,40012.0,33809.0,5548.0,9188.0,20154.0,-11516.0,63.0,170.0,20,F,6,2019-06-18T17:32:43.592724
1210.0,39914.0,33736.0,5480.0,9162.0,19818.0,-11453.0,63.0,170.0,20,F,6,2019-06-18T17:32:44.160555
1642.0,39707.0,33627.0,5443.0,9089.0,19893.0,-11484.0,63.0,170.0,20,F,6,2019-06-18T17:32:44.728527
1383.0,39653.0,33599.0,5543.0,9217.0,20131.0,-11496.0,63.0,170.0,20,F,6,2019-06-18T17:32:45.296353
1381.0,39676.0,33607.0,5557.0,9174.0,20060.0,-11493.0,63.0,170.0,20,F,6,2019-06-18T17:32:45.864295
1254.0,39580.0,33493.0,5579.0,9164.0,20393.0,-11511.0,63.0,170.0,20,F,6,2019-06-18T17:32:46.432325
1242.0,39470.0,33581.0,5703.0,9233.0,20404.0,-11461.0,63.0,170.0,20,F,6,2019-06-18T17:32:47.000220
1859.0,39381.0,33690.0,5775.0,9002.0,19935.0,-11501.0,63.0,170.0,20,F,6,2019-06-18T17:32:47.568210
1397.0,39371.0,33677.0,5804.0,9051.0,19859.0,-11493.0,63.0,170.0,20,F,6,2019-06-18T17:32:48.135942
1248.0,39344.0,33725.0,5656.0,9094.0,19951.0,-11494.0,63.0,170.0,20,F,6,2019-06-18T17:32:48.704750
1145.0,39365.0,33679.0,5715.0,8993.0,20036.0,-11504.0,63.0,170.0,20,F,6,2019-06-18T17:32:49.271659
1510.0,39588.0,33641.0,5695.0,8955.0,20346.0,-11550.0,63.0,170.0,20,F,6,2019-06-18T17:32:49.841037
1304.0,39430.0,33602.0,5720.0,8900.0,20298.0,-11515.0,63.0,170.0,20,F,6,2019-06-18T17:32:50.407384
