seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
10944.0,25073.0,49266.0,11327.0,7252.0,28348.0,5183.0,43.0,158.0,25,F,6,2019-06-17T13:24:03.612212
10106.0,23592.0,51995.0,10522.0,8029.0,25372.0,5143.0,43.0,158.0,25,F,6,2019-06-17T13:24:04.183974
10895.0,25094.0,52611.0,11248.0,7727.0,26342.0,5183.0,43.0,158.0,25,F,6,2019-06-17T13:24:04.747763
11182.0,25233.0,51215.0,11085.0,7160.0,25985.0,5126.0,43.0,158.0,25,F,6,2019-06-17T13:24:05.319871
10509.0,24678.0,56905.0,10280.0,7061.0,24512.0,5090.0,43.0,158.0,25,F,6,2019-06-17T13:24:05.883353
10440.0,24782.0,59295.0,10075.0,7592.0,25660.0,5158.0,43.0,158.0,25,F,6,2019-06-17T13:24:06.455732
10355.0,24555.0,59027.0,10167.0,7467.0,23909.0,5130.0,43.0,158.0,25,F,6,2019-06-17T13:24:07.018432
10414.0,24557.0,59021.0,10198.0,7362.0,23952.0,5154.0,43.0,158.0,25,F,6,2019-06-17T13:24:07.591587
10372.0,24464.0,58757.0,10294.0,7295.0,24131.0,5107.0,43.0,158.0,25,F,6,2019-06-17T13:24:08.153963
10450.0,24461.0,59173.0,10154.0,7206.0,23791.0,5108.0,43.0,158.0,25,F,6,2019-06-17T13:24:08.727494
10540.0,24573.0,59107.0,10095.0,7021.0,23679.0,5041.0,43.0,158.0,25,F,6,2019-06-17T13:24:09.289373
10557.0,24606.0,58814.0,10200.0,7099.0,23487.0,5016.0,43.0,158.0,25,F,6,2019-06-17T13:24:09.863360
10545.0,24597.0,59051.0,10280.0,7165.0,23345.0,5057.0,43.0,158.0,25,F,6,2019-06-17T13:24:10.424766
10550.0,24561.0,59015.0,10162.0,7284.0,23438.0,5019.0,43.0,158.0,25,F,6,2019-06-17T13:24:10.999218
10490.0,24543.0,58749.0,10188.0,7396.0,23291.0,5029.0,43.0,158.0,25,F,6,2019-06-17T13:24:11.560122
10592.0,24517.0,58659.0,10113.0,7250.0,23084.0,4965.0,43.0,158.0,25,F,6,2019-06-17T13:24:12.135121
10658.0,24617.0,58103.0,10201.0,7195.0,23370.0,4954.0,43.0,158.0,25,F,6,2019-06-17T13:24:12.695380
10445.0,24543.0,58655.0,10157.0,7168.0,23093.0,4987.0,43.0,158.0,25,F,6,2019-06-17T13:24:13.271093
10321.0,24713.0,59078.0,10001.0,7257.0,22600.0,4912.0,43.0,158.0,25,F,6,2019-06-17T13:24:13.830828
10366.0,24740.0,58693.0,10025.0,7227.0,22301.0,4901.0,43.0,158.0,25,F,6,2019-06-17T13:24:14.407123
