seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
17922.0,-12271.0,5038.0,-17686.0,7792.0,8867.0,-3898.0,74.0,192.0,24,M,7,2019-06-17T17:31:52.601139
17267.0,-12008.0,5017.0,-17729.0,7166.0,9333.0,-3906.0,74.0,192.0,24,M,7,2019-06-17T17:31:53.168535
17134.0,-12073.0,4940.0,-17744.0,6458.0,9881.0,-3892.0,74.0,192.0,24,M,7,2019-06-17T17:31:53.736119
17211.0,-12144.0,4926.0,-17695.0,5990.0,9765.0,-3886.0,74.0,192.0,24,M,7,2019-06-17T17:31:54.303594
16949.0,-12143.0,4899.0,-17771.0,5531.0,9929.0,-3890.0,74.0,192.0,24,M,7,2019-06-17T17:31:54.871159
16720.0,-12126.0,4887.0,-17800.0,5493.0,9995.0,-3867.0,74.0,192.0,24,M,7,2019-06-17T17:31:55.438586
16472.0,-12047.0,4966.0,-17777.0,5218.0,10050.0,-3837.0,74.0,192.0,24,M,7,2019-06-17T17:31:56.006196
16434.0,-11931.0,4957.0,-17789.0,5512.0,9913.0,-3830.0,74.0,192.0,24,M,7,2019-06-17T17:31:56.573863
16343.0,-11698.0,5062.0,-17813.0,5449.0,9935.0,-3895.0,74.0,192.0,24,M,7,2019-06-17T17:31:57.141176
16520.0,-12136.0,4942.0,-17802.0,5448.0,9573.0,-3881.0,74.0,192.0,24,M,7,2019-06-17T17:31:57.708902
16184.0,-12221.0,4944.0,-17795.0,5346.0,9663.0,-3833.0,74.0,192.0,24,M,7,2019-06-17T17:31:58.276322
16002.0,-12174.0,4955.0,-17889.0,5566.0,9621.0,-3882.0,74.0,192.0,24,M,7,2019-06-17T17:31:58.843963
15968.0,-12102.0,5035.0,-17899.0,5163.0,9579.0,-3880.0,74.0,192.0,24,M,7,2019-06-17T17:31:59.411333
16011.0,-12311.0,4999.0,-17948.0,4752.0,9726.0,-3837.0,74.0,192.0,24,M,7,2019-06-17T17:31:59.979020
15994.0,-12378.0,4985.0,-17955.0,4515.0,9607.0,-3891.0,74.0,192.0,24,M,7,2019-06-17T17:32:00.546580
15850.0,-12387.0,4971.0,-17932.0,4556.0,9592.0,-3936.0,74.0,192.0,24,M,7,2019-06-17T17:32:01.113962
15425.0,-12382.0,5025.0,-17990.0,4290.0,9843.0,-3914.0,74.0,192.0,24,M,7,2019-06-17T17:32:01.681535
15319.0,-12242.0,5037.0,-17956.0,4517.0,9740.0,-3861.0,74.0,192.0,24,M,7,2019-06-17T17:32:02.248989
15391.0,-12141.0,5090.0,-18019.0,4260.0,9850.0,-3889.0,74.0,192.0,24,M,7,2019-06-17T17:32:02.816579
15488.0,-12358.0,5046.0,-18093.0,3872.0,9765.0,-3830.0,74.0,192.0,24,M,7,2019-06-17T17:32:03.384044
