seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
53179.0,40152.0,16075.0,-3563.0,4461.0,5435.0,-1772.0,84.0,182.0,21,M,7,2019-06-19T12:32:26.393283
53099.0,40104.0,16051.0,-3574.0,4459.0,5545.0,-1793.0,84.0,182.0,21,M,7,2019-06-19T12:32:26.954963
53264.0,40374.0,16040.0,-3592.0,4170.0,5856.0,-1760.0,84.0,182.0,21,M,7,2019-06-19T12:32:27.529475
53185.0,40524.0,16075.0,-3561.0,4137.0,4832.0,-1762.0,84.0,182.0,21,M,7,2019-06-19T12:32:28.090806
52630.0,40300.0,16119.0,-3624.0,4612.0,5618.0,-1878.0,84.0,182.0,21,M,7,2019-06-19T12:32:28.666264
52917.0,40441.0,16061.0,-3601.0,3964.0,5591.0,-1783.0,84.0,182.0,21,M,7,2019-06-19T12:32:29.226575
52896.0,40601.0,16101.0,-3631.0,4180.0,5349.0,-1752.0,84.0,182.0,21,M,7,2019-06-19T12:32:29.802682
52830.0,40680.0,16175.0,-3587.0,4204.0,4090.0,-1725.0,84.0,182.0,21,M,7,2019-06-19T12:32:30.362384
52966.0,40603.0,16160.0,-3641.0,8230.0,8007.0,-2178.0,84.0,182.0,21,M,7,2019-06-19T12:32:30.938722
52985.0,40582.0,16106.0,-3639.0,7720.0,8101.0,-2282.0,84.0,182.0,21,M,7,2019-06-19T12:32:31.498342
52870.0,40606.0,16199.0,-3599.0,6983.0,7401.0,-2326.0,84.0,182.0,21,M,7,2019-06-19T12:32:32.075429
52674.0,40769.0,16268.0,-3628.0,6882.0,6994.0,-2248.0,84.0,182.0,21,M,7,2019-06-19T12:32:32.634136
52676.0,40585.0,16250.0,-3625.0,11430.0,10656.0,-2583.0,84.0,182.0,21,M,7,2019-06-19T12:32:33.211818
52749.0,40410.0,16407.0,-3649.0,7793.0,12341.0,-2811.0,84.0,182.0,21,M,7,2019-06-19T12:32:33.769850
52221.0,40940.0,16438.0,-3664.0,6026.0,11109.0,-2666.0,84.0,182.0,21,M,7,2019-06-19T12:32:34.348281
52533.0,40899.0,16333.0,-3617.0,5080.0,10801.0,-2594.0,84.0,182.0,21,M,7,2019-06-19T12:32:34.905782
52570.0,40889.0,16327.0,-3671.0,4407.0,10934.0,-2621.0,84.0,182.0,21,M,7,2019-06-19T12:32:35.484808
52645.0,40768.0,16287.0,-3667.0,4559.0,10716.0,-2598.0,84.0,182.0,21,M,7,2019-06-19T12:32:36.041459
52790.0,40953.0,16402.0,-3689.0,4796.0,10038.0,-2593.0,84.0,182.0,21,M,7,2019-06-19T12:32:36.621223
52459.0,40972.0,16317.0,-3754.0,4488.0,11265.0,-2533.0,84.0,182.0,21,M,7,2019-06-19T12:32:37.177263
