seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
77151.0,34813.0,17321.0,9250.0,15705.0,-909.0,13838.0,77.0,180.0,26,M,7,2019-06-18T12:04:39.815573
77449.0,34873.0,17350.0,9165.0,15727.0,-1233.0,13968.0,77.0,180.0,26,M,7,2019-06-18T12:04:40.402559
77530.0,34972.0,17382.0,9145.0,15145.0,-1873.0,13942.0,77.0,180.0,26,M,7,2019-06-18T12:04:40.951170
77481.0,35242.0,17333.0,9092.0,15651.0,-1861.0,14021.0,77.0,180.0,26,M,7,2019-06-18T12:04:41.538575
77328.0,35611.0,17310.0,9071.0,15315.0,-1614.0,14238.0,77.0,180.0,26,M,7,2019-06-18T12:04:42.086816
77273.0,35627.0,17394.0,9003.0,15129.0,-1551.0,14262.0,77.0,180.0,26,M,7,2019-06-18T12:04:42.674775
77283.0,35734.0,17404.0,9040.0,14922.0,-1562.0,14320.0,77.0,180.0,26,M,7,2019-06-18T12:04:43.222553
77383.0,35710.0,17501.0,9101.0,14832.0,-1954.0,14212.0,77.0,180.0,26,M,7,2019-06-18T12:04:43.810876
76832.0,35795.0,17473.0,9162.0,14531.0,-2212.0,14017.0,77.0,180.0,26,M,7,2019-06-18T12:04:44.358384
76659.0,35868.0,17398.0,9199.0,14849.0,-1827.0,14173.0,77.0,180.0,26,M,7,2019-06-18T12:04:44.947053
76556.0,35907.0,17265.0,9186.0,14903.0,-1734.0,14036.0,77.0,180.0,26,M,7,2019-06-18T12:04:45.494158
76622.0,36000.0,17297.0,9194.0,14590.0,-1551.0,14136.0,77.0,180.0,26,M,7,2019-06-18T12:04:46.082962
76152.0,35924.0,17205.0,9427.0,14740.0,-1878.0,14118.0,77.0,180.0,26,M,7,2019-06-18T12:04:46.629814
76543.0,36199.0,17354.0,9362.0,14308.0,-1987.0,13992.0,77.0,180.0,26,M,7,2019-06-18T12:04:47.219546
76883.0,36179.0,17321.0,9207.0,14500.0,-2142.0,14129.0,77.0,180.0,26,M,7,2019-06-18T12:04:47.765504
76602.0,36315.0,17246.0,9173.0,14326.0,-2175.0,14265.0,77.0,180.0,26,M,7,2019-06-18T12:04:48.355832
76629.0,36304.0,17179.0,9196.0,14071.0,-1952.0,14287.0,77.0,180.0,26,M,7,2019-06-18T12:04:48.901309
76613.0,36371.0,17204.0,9176.0,14163.0,-1787.0,14286.0,77.0,180.0,26,M,7,2019-06-18T12:04:49.491946
76295.0,36543.0,17130.0,9198.0,14333.0,-2032.0,14314.0,77.0,180.0,26,M,7,2019-06-18T12:04:50.036995
76562.0,36477.0,17255.0,9293.0,14077.0,-2318.0,14173.0,77.0,180.0,26,M,7,2019-06-18T12:04:50.628158
