seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
18497.0,72505.0,9248.0,7425.0,9676.0,14178.0,-2332.0,60.0,173.0,21,M,8,2019-06-19T12:39:14.361847
18497.0,72526.0,9282.0,7516.0,9364.0,14096.0,-2322.0,60.0,173.0,21,M,8,2019-06-19T12:39:14.919033
18532.0,72598.0,9369.0,7550.0,9304.0,14163.0,-2339.0,60.0,173.0,21,M,8,2019-06-19T12:39:15.498533
18717.0,72305.0,9455.0,7512.0,9570.0,14478.0,-2392.0,60.0,173.0,21,M,8,2019-06-19T12:39:16.054690
18842.0,72326.0,9530.0,7592.0,9391.0,14706.0,-2285.0,60.0,173.0,21,M,8,2019-06-19T12:39:16.634702
18504.0,72566.0,9558.0,7579.0,9374.0,14266.0,-2333.0,60.0,173.0,21,M,8,2019-06-19T12:39:17.190316
18452.0,72396.0,9719.0,7491.0,9456.0,14131.0,-2367.0,60.0,173.0,21,M,8,2019-06-19T12:39:17.771170
18479.0,72461.0,9769.0,7519.0,9094.0,13998.0,-2347.0,60.0,173.0,21,M,8,2019-06-19T12:39:18.325961
18573.0,72314.0,9814.0,7493.0,9247.0,14228.0,-2291.0,60.0,173.0,21,M,8,2019-06-19T12:39:18.907429
18782.0,72322.0,9886.0,7547.0,9328.0,14566.0,-2298.0,60.0,173.0,21,M,8,2019-06-19T12:39:19.461607
18643.0,72449.0,9883.0,7536.0,8975.0,14267.0,-2335.0,60.0,173.0,21,M,8,2019-06-19T12:39:20.043729
18565.0,72270.0,9954.0,7446.0,8900.0,14212.0,-2356.0,60.0,173.0,21,M,8,2019-06-19T12:39:20.597047
18556.0,72392.0,9943.0,7384.0,8861.0,14121.0,-2272.0,60.0,173.0,21,M,8,2019-06-19T12:39:21.180041
18664.0,72421.0,10008.0,7415.0,8893.0,14039.0,-2277.0,60.0,173.0,21,M,8,2019-06-19T12:39:21.732677
19126.0,72148.0,10209.0,7443.0,9251.0,14806.0,-2234.0,60.0,173.0,21,M,8,2019-06-19T12:39:22.316368
18841.0,72246.0,10120.0,7402.0,8990.0,14453.0,-2216.0,60.0,173.0,21,M,8,2019-06-19T12:39:22.868091
18626.0,72445.0,10192.0,7316.0,8595.0,13783.0,-2252.0,60.0,173.0,21,M,8,2019-06-19T12:39:23.452767
18637.0,72135.0,10390.0,7306.0,8679.0,13771.0,-2209.0,60.0,173.0,21,M,8,2019-06-19T12:39:24.003377
18676.0,72318.0,10315.0,7346.0,8825.0,13919.0,-2226.0,60.0,173.0,21,M,8,2019-06-19T12:39:24.589013
19182.0,72216.0,10365.0,7371.0,8838.0,14324.0,-2245.0,60.0,173.0,21,M,8,2019-06-19T12:39:25.139082
