seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
10294.0,59496.0,11214.0,9825.0,44628.0,16817.0,-5765.0,76.0,183.0,26,M,8,2019-06-19T11:53:53.768643
10126.0,59869.0,11899.0,9765.0,43267.0,16980.0,-5740.0,76.0,183.0,26,M,8,2019-06-19T11:53:54.348969
9504.0,58657.0,13005.0,9719.0,43209.0,17000.0,-5733.0,76.0,183.0,26,M,8,2019-06-19T11:53:54.904298
9893.0,57868.0,13057.0,9782.0,43531.0,16565.0,-5794.0,76.0,183.0,26,M,8,2019-06-19T11:53:55.485233
9707.0,56898.0,13173.0,9822.0,43445.0,16707.0,-5768.0,76.0,183.0,26,M,8,2019-06-19T11:53:56.040115
9554.0,56849.0,13119.0,9815.0,43106.0,16619.0,-5781.0,76.0,183.0,26,M,8,2019-06-19T11:53:56.621306
9559.0,57208.0,13137.0,9826.0,42257.0,16524.0,-5808.0,76.0,183.0,26,M,8,2019-06-19T11:53:57.175870
9705.0,56085.0,12864.0,9752.0,41259.0,16415.0,-5774.0,76.0,183.0,26,M,8,2019-06-19T11:53:57.757488
9648.0,56062.0,13253.0,9701.0,40896.0,16421.0,-5843.0,76.0,183.0,26,M,8,2019-06-19T11:53:58.311765
9647.0,55676.0,13248.0,9744.0,39986.0,16542.0,-5803.0,76.0,183.0,26,M,8,2019-06-19T11:53:58.893726
9698.0,55646.0,13224.0,9736.0,39752.0,16424.0,-5800.0,76.0,183.0,26,M,8,2019-06-19T11:53:59.447407
9764.0,56173.0,13230.0,9689.0,40969.0,16256.0,-5843.0,76.0,183.0,26,M,8,2019-06-19T11:54:00.029992
9700.0,55310.0,13191.0,9685.0,41338.0,16209.0,-5802.0,76.0,183.0,26,M,8,2019-06-19T11:54:00.582928
9536.0,55377.0,13208.0,9637.0,41623.0,16052.0,-5829.0,76.0,183.0,26,M,8,2019-06-19T11:54:01.166210
9800.0,55069.0,13163.0,9766.0,41253.0,15984.0,-5818.0,76.0,183.0,26,M,8,2019-06-19T11:54:01.718183
9773.0,54671.0,13372.0,9780.0,41450.0,15894.0,-5857.0,76.0,183.0,26,M,8,2019-06-19T11:54:02.302490
9752.0,55005.0,13299.0,9755.0,41828.0,16047.0,-5875.0,76.0,183.0,26,M,8,2019-06-19T11:54:02.854464
9638.0,54561.0,13137.0,9734.0,42855.0,16143.0,-5875.0,76.0,183.0,26,M,8,2019-06-19T11:54:03.438834
9651.0,54770.0,13188.0,9745.0,43730.0,16210.0,-5898.0,76.0,183.0,26,M,8,2019-06-19T11:54:03.990142
9594.0,54441.0,13191.0,9633.0,43525.0,16130.0,-5900.0,76.0,183.0,26,M,8,2019-06-19T11:54:04.575127
