seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-20867.0,5765.0,601.0,-2971.0,29213.0,5968.0,-3537.0,65.0,176.0,24,F,8,2019-06-18T14:11:55.939514
-21297.0,5273.0,487.0,-2944.0,27957.0,5749.0,-3476.0,65.0,176.0,24,F,8,2019-06-18T14:11:56.459239
-21361.0,5805.0,462.0,-2979.0,27702.0,6003.0,-3496.0,65.0,176.0,24,F,8,2019-06-18T14:11:57.026744
-21273.0,5319.0,500.0,-3015.0,27844.0,6068.0,-3507.0,65.0,176.0,24,F,8,2019-06-18T14:11:57.594419
-21549.0,4713.0,512.0,-2971.0,27670.0,5939.0,-3561.0,65.0,176.0,24,F,8,2019-06-18T14:11:58.161901
-21628.0,4874.0,479.0,-3009.0,27452.0,6091.0,-3573.0,65.0,176.0,24,F,8,2019-06-18T14:11:58.729413
-21545.0,4179.0,495.0,-3046.0,27424.0,5883.0,-3535.0,65.0,176.0,24,F,8,2019-06-18T14:11:59.297040
-22015.0,3159.0,551.0,-2981.0,26779.0,5569.0,-3578.0,65.0,176.0,24,F,8,2019-06-18T14:11:59.864639
-21601.0,3735.0,514.0,-3009.0,26887.0,5628.0,-3573.0,65.0,176.0,24,F,8,2019-06-18T14:12:00.432076
-21883.0,3487.0,502.0,-3079.0,27050.0,6085.0,-3514.0,65.0,176.0,24,F,8,2019-06-18T14:12:00.999524
-21779.0,3175.0,423.0,-3113.0,27189.0,5967.0,-3531.0,65.0,176.0,24,F,8,2019-06-18T14:12:01.567279
-22026.0,3338.0,367.0,-3168.0,27037.0,5965.0,-3513.0,65.0,176.0,24,F,8,2019-06-18T14:12:02.134762
-21853.0,2748.0,277.0,-3162.0,26946.0,5820.0,-3586.0,65.0,176.0,24,F,8,2019-06-18T14:12:02.702528
-22318.0,2229.0,271.0,-3196.0,26187.0,5484.0,-3477.0,65.0,176.0,24,F,8,2019-06-18T14:12:03.270032
-21941.0,3065.0,236.0,-3225.0,26353.0,5673.0,-3539.0,65.0,176.0,24,F,8,2019-06-18T14:12:03.836988
-22230.0,2809.0,289.0,-3272.0,26462.0,5858.0,-3479.0,65.0,176.0,24,F,8,2019-06-18T14:12:04.405596
-22009.0,2642.0,301.0,-3273.0,26546.0,5801.0,-3603.0,65.0,176.0,24,F,8,2019-06-18T14:12:04.972703
-22304.0,2661.0,234.0,-3289.0,26467.0,5821.0,-3529.0,65.0,176.0,24,F,8,2019-06-18T14:12:05.541225
-22193.0,2117.0,274.0,-3226.0,26335.0,5716.0,-3573.0,65.0,176.0,24,F,8,2019-06-18T14:12:06.107708
-22550.0,1419.0,276.0,-3254.0,25727.0,5312.0,-3559.0,65.0,176.0,24,F,8,2019-06-18T14:12:06.677071
