seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
39209.0,69135.0,16882.0,11383.0,42159.0,4567.0,5928.0,73.0,173.0,24,M,8,2019-06-18T12:31:03.385129
40005.0,61699.0,18492.0,11275.0,37887.0,6439.0,5682.0,73.0,173.0,24,M,8,2019-06-18T12:31:03.964974
37519.0,61068.0,17657.0,11020.0,35729.0,7904.0,4625.0,73.0,173.0,24,M,8,2019-06-18T12:31:04.532313
39017.0,57751.0,18064.0,10938.0,35174.0,5009.0,4799.0,73.0,173.0,24,M,8,2019-06-18T12:31:05.100712
38319.0,60657.0,17531.0,11155.0,35150.0,3603.0,4816.0,73.0,173.0,24,M,8,2019-06-18T12:31:05.668715
38851.0,60243.0,17826.0,11037.0,34279.0,4531.0,4822.0,73.0,173.0,24,M,8,2019-06-18T12:31:06.278234
39867.0,60228.0,17991.0,11055.0,33561.0,3592.0,4991.0,73.0,173.0,24,M,8,2019-06-18T12:31:06.804486
41705.0,59841.0,18134.0,11000.0,33941.0,4812.0,4942.0,73.0,173.0,24,M,8,2019-06-18T12:31:07.372557
38987.0,59068.0,18839.0,10468.0,33793.0,9010.0,4888.0,73.0,173.0,24,M,8,2019-06-18T12:31:07.940499
40200.0,59117.0,18429.0,10683.0,34092.0,6105.0,4868.0,73.0,173.0,24,M,8,2019-06-18T12:31:08.508296
41183.0,59336.0,18113.0,10791.0,33320.0,4310.0,5114.0,73.0,173.0,24,M,8,2019-06-18T12:31:09.076497
40667.0,59136.0,18369.0,10899.0,34389.0,5922.0,4858.0,73.0,173.0,24,M,8,2019-06-18T12:31:09.644256
39580.0,60012.0,18182.0,10834.0,33750.0,4921.0,5045.0,73.0,173.0,24,M,8,2019-06-18T12:31:10.212095
38825.0,61103.0,17890.0,10627.0,32575.0,5624.0,4822.0,73.0,173.0,24,M,8,2019-06-18T12:31:10.780109
39320.0,60151.0,17701.0,10588.0,32237.0,5021.0,4817.0,73.0,173.0,24,M,8,2019-06-18T12:31:11.347963
40153.0,58277.0,17749.0,10722.0,32787.0,4050.0,4971.0,73.0,173.0,24,M,8,2019-06-18T12:31:11.915970
36900.0,58853.0,17776.0,10991.0,32837.0,4213.0,4954.0,73.0,173.0,24,M,8,2019-06-18T12:31:12.483818
37285.0,58770.0,17688.0,10999.0,32961.0,3920.0,5087.0,73.0,173.0,24,M,8,2019-06-18T12:31:13.051304
36754.0,59145.0,17595.0,10821.0,33005.0,3467.0,4894.0,73.0,173.0,24,M,8,2019-06-18T12:31:13.619759
39403.0,58914.0,17457.0,10781.0,32703.0,2615.0,4929.0,73.0,173.0,24,M,8,2019-06-18T12:31:14.187715
