seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-17716.0,25552.0,-2625.0,-8637.0,2511.0,11099.0,-3199.0,74.0,192.0,24,M,8,2019-06-17T17:32:17.062195
-17441.0,25550.0,-2460.0,-8607.0,2781.0,11836.0,-3207.0,74.0,192.0,24,M,8,2019-06-17T17:32:17.578740
-17299.0,25478.0,-2339.0,-8637.0,2949.0,11818.0,-3192.0,74.0,192.0,24,M,8,2019-06-17T17:32:18.139599
-15418.0,24276.0,-1815.0,-8801.0,4157.0,11308.0,-3830.0,74.0,192.0,24,M,8,2019-06-17T17:32:18.714459
-18489.0,25655.0,-2216.0,-8858.0,3046.0,10496.0,-3194.0,74.0,192.0,24,M,8,2019-06-17T17:32:19.274611
-18225.0,24992.0,-2198.0,-8800.0,3462.0,10765.0,-3202.0,74.0,192.0,24,M,8,2019-06-17T17:32:19.850009
-17948.0,24351.0,-2173.0,-8771.0,3733.0,11055.0,-3176.0,74.0,192.0,24,M,8,2019-06-17T17:32:20.409583
-18179.0,24246.0,-2113.0,-8753.0,3485.0,10835.0,-3148.0,74.0,192.0,24,M,8,2019-06-17T17:32:20.985558
-17778.0,23920.0,-2127.0,-8695.0,4194.0,11216.0,-3243.0,74.0,192.0,24,M,8,2019-06-17T17:32:21.544565
-18068.0,23961.0,-1897.0,-8741.0,4112.0,10955.0,-3162.0,74.0,192.0,24,M,8,2019-06-17T17:32:22.121123
-17888.0,23742.0,-1765.0,-8783.0,2162.0,11242.0,-3124.0,74.0,192.0,24,M,8,2019-06-17T17:32:22.679822
-18049.0,23575.0,-1854.0,-8710.0,2331.0,10865.0,-3107.0,74.0,192.0,24,M,8,2019-06-17T17:32:23.256809
-18218.0,24003.0,-1836.0,-8751.0,2397.0,10633.0,-3183.0,74.0,192.0,24,M,8,2019-06-17T17:32:23.814868
-18188.0,23878.0,-1764.0,-8794.0,1536.0,10568.0,-3202.0,74.0,192.0,24,M,8,2019-06-17T17:32:24.392534
-18229.0,23580.0,-1790.0,-8723.0,1345.0,10717.0,-3153.0,74.0,192.0,24,M,8,2019-06-17T17:32:24.949878
-18208.0,23243.0,-1639.0,-8592.0,1927.0,11232.0,-3149.0,74.0,192.0,24,M,8,2019-06-17T17:32:25.528200
-18181.0,23074.0,-1556.0,-8578.0,1106.0,11114.0,-3147.0,74.0,192.0,24,M,8,2019-06-17T17:32:26.084967
-18503.0,22816.0,-1590.0,-8640.0,360.0,10814.0,-3161.0,74.0,192.0,24,M,8,2019-06-17T17:32:26.663850
-18546.0,22865.0,-1584.0,-8631.0,727.0,10716.0,-3183.0,74.0,192.0,24,M,8,2019-06-17T17:32:27.219912
-18746.0,22937.0,-1560.0,-8636.0,986.0,10745.0,-3184.0,74.0,192.0,24,M,8,2019-06-17T17:32:27.799437
