seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
27093.0,26212.0,18778.0,499.0,18796.0,11774.0,-968.0,51.0,160.0,20,F,1,2019-06-20T11:54:11.448014
27320.0,26236.0,18783.0,478.0,18752.0,11834.0,-1035.0,51.0,160.0,20,F,1,2019-06-20T11:54:12.014745
27337.0,26045.0,18739.0,511.0,18851.0,11871.0,-1069.0,51.0,160.0,20,F,1,2019-06-20T11:54:12.583087
27051.0,25901.0,18820.0,482.0,19281.0,11493.0,-1017.0,51.0,160.0,20,F,1,2019-06-20T11:54:13.150942
27052.0,25855.0,18925.0,320.0,19037.0,11348.0,-920.0,51.0,160.0,20,F,1,2019-06-20T11:54:13.719024
27085.0,25974.0,19005.0,456.0,18653.0,11615.0,-1088.0,51.0,160.0,20,F,1,2019-06-20T11:54:14.287193
27074.0,25949.0,19012.0,387.0,18734.0,11543.0,-1079.0,51.0,160.0,20,F,1,2019-06-20T11:54:14.855375
26974.0,25873.0,19041.0,431.0,19239.0,11111.0,-919.0,51.0,160.0,20,F,1,2019-06-20T11:54:15.423473
26212.0,25261.0,19049.0,337.0,18187.0,11377.0,-869.0,51.0,160.0,20,F,1,2019-06-20T11:54:15.991531
26872.0,25307.0,19007.0,371.0,17800.0,11105.0,-905.0,51.0,160.0,20,F,1,2019-06-20T11:54:16.559763
27180.0,25545.0,18990.0,457.0,18230.0,11154.0,-769.0,51.0,160.0,20,F,1,2019-06-20T11:54:17.127845
26862.0,25571.0,19099.0,440.0,18511.0,11211.0,-679.0,51.0,160.0,20,F,1,2019-06-20T11:54:17.695988
26843.0,25672.0,19024.0,462.0,18152.0,11577.0,-942.0,51.0,160.0,20,F,1,2019-06-20T11:54:18.264000
26882.0,25632.0,18985.0,397.0,17950.0,11518.0,-938.0,51.0,160.0,20,F,1,2019-06-20T11:54:18.832103
26937.0,25594.0,18994.0,341.0,18700.0,11459.0,-898.0,51.0,160.0,20,F,1,2019-06-20T11:54:19.400307
26978.0,25591.0,18984.0,468.0,18719.0,11275.0,-664.0,51.0,160.0,20,F,1,2019-06-20T11:54:19.968439
26853.0,25810.0,18976.0,424.0,17983.0,11342.0,-832.0,51.0,160.0,20,F,1,2019-06-20T11:54:20.536567
26814.0,25747.0,18984.0,428.0,18196.0,11303.0,-869.0,51.0,160.0,20,F,1,2019-06-20T11:54:21.104597
26935.0,25592.0,19066.0,348.0,18260.0,11348.0,-919.0,51.0,160.0,20,F,1,2019-06-20T11:54:21.672773
26800.0,25688.0,19091.0,374.0,18218.0,11513.0,-933.0,51.0,160.0,20,F,1,2019-06-20T11:54:22.240796
