index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,2019-07-11T17:59:31.460817,1562860771.44676,1562860771.87039,1562860771.90373,145
2,2019-07-11T17:59:31.665126,1562860771.90461,1562860771.98361,1562860772.01799,145
3,2019-07-11T17:59:31.871856,1562860772.0189,1562860772.11734,1562860772.1545,145
4,2019-07-11T17:59:32.078498,1562860772.15537,1562860772.24044,1562860772.27411,145
5,2019-07-11T17:59:32.285293,1562860772.275,1562860772.36321,1562860772.39205,145
6,2019-07-11T17:59:32.491995,1562860772.47858,1562860772.56037,1562860772.59,145
7,2019-07-11T17:59:32.698732,1562860772.69434,1562860772.77577,1562860772.80786,145
8,2019-07-11T17:59:32.904200,1562860772.89235,1562860772.97778,1562860773.008,145
9,2019-07-11T17:59:33.111125,1562860773.09736,1562860773.17424,1562860773.20521,145
10,2019-07-11T17:59:33.317733,1562860773.30912,1562860773.40539,1562860773.43661,145
11,2019-07-11T17:59:33.524455,1562860773.51081,1562860773.59349,1562860773.62517,145
12,2019-07-11T17:59:33.731218,1562860773.71782,1562860773.81127,1562860773.8434,145
13,2019-07-11T17:59:33.937946,1562860773.92565,1562860774.01087,1562860774.03934,145
14,2019-07-11T17:59:34.143373,1562860774.13043,1562860774.20989,1562860774.24097,145
15,2019-07-11T17:59:34.350377,1562860774.33734,1562860774.42481,1562860774.45723,145
16,2019-07-11T17:59:34.557094,1562860774.54409,1562860774.63433,1562860774.66456,145
17,2019-07-11T17:59:34.764121,1562860774.75051,1562860774.82828,1562860774.85951,145
18,2019-07-11T17:59:34.970668,1562860774.95634,1562860775.04545,1562860775.07736,145
19,2019-07-11T17:59:35.176171,1562860775.16234,1562860775.23981,1562860775.27159,145
20,2019-07-11T17:59:35.383061,1562860775.38079,1562860775.4556,1562860775.4923,145
21,2019-07-11T17:59:35.589899,1562860775.57582,1562860775.65794,1562860775.68924,145
22,2019-07-11T17:59:35.796592,1562860775.79292,1562860775.87938,1562860775.91041,145
23,2019-07-11T17:59:36.003243,1562860775.98887,1562860776.06449,1562860776.0954,145
24,2019-07-11T17:59:36.210322,1562860776.19971,1562860776.29227,1562860776.32297,145
25,2019-07-11T17:59:36.415505,1562860776.4038,1562860776.47792,1562860776.50724,145
26,2019-07-11T17:59:36.622288,1562860776.60828,1562860776.69315,1562860776.72345,145
27,2019-07-11T17:59:36.829201,1562860776.81654,1562860776.90659,1562860776.95508,145
28,2019-07-11T17:59:37.035971,1562860777.02286,1562860777.10488,1562860777.13696,145
29,2019-07-11T17:59:37.242555,1562860777.22968,1562860777.32919,1562860777.35993,145
30,2019-07-11T17:59:37.449302,1562860777.43632,1562860777.50962,1562860777.53967,145
31,2019-07-11T17:59:37.654886,1562860777.64109,1562860777.72192,1562860777.75136,145
32,2019-07-11T17:59:37.861567,1562860777.84847,1562860777.93122,1562860777.96496,145
33,2019-07-11T17:59:38.068288,1562860778.05524,1562860778.1777,1562860778.20961,145
34,2019-07-11T17:59:38.274996,1562860778.26125,1562860778.34286,1562860778.37891,145
35,2019-07-11T17:59:38.481824,1562860778.47454,1562860778.56571,1562860778.5948,145
36,2019-07-11T17:59:38.688509,1562860778.67766,1562860778.75278,1562860778.7846,145
37,2019-07-11T17:59:38.894015,1562860778.88344,1562860778.97007,1562860779.00167,145
38,2019-07-11T17:59:39.100829,1562860779.08749,1562860779.16168,1562860779.19229,145
39,2019-07-11T17:59:39.307556,1562860779.2946,1562860779.38333,1562860779.41461,145
40,2019-07-11T17:59:39.514222,1562860779.50107,1562860779.5797,1562860779.60782,145
41,2019-07-11T17:59:39.721014,1562860779.70745,1562860779.79543,1562860779.82866,145
42,2019-07-11T17:59:39.927753,1562860779.91498,1562860780.00415,1562860780.0334,145
43,2019-07-11T17:59:40.133256,1562860780.12098,1562860780.21002,1562860780.24051,145
44,2019-07-11T17:59:40.340053,1562860780.32722,1562860780.41908,1562860780.45042,145
45,2019-07-11T17:59:40.546704,1562860780.53293,1562860780.61108,1562860780.64853,145
46,2019-07-11T17:59:40.753441,1562860780.739,1562860780.82256,1562860780.85208,145
47,2019-07-11T17:59:40.960269,1562860780.94662,1562860781.03713,1562860781.06677,145
48,2019-07-11T17:59:41.167018,1562860781.1525,1562860781.24985,1562860781.27801,145
49,2019-07-11T17:59:41.372518,1562860781.35795,1562860781.44498,1562860781.47501,145
50,2019-07-11T17:59:41.579299,1562860781.56542,1562860781.65977,1562860781.69178,145
51,2019-07-11T17:59:41.786000,1562860781.77729,1562860781.86339,1562860781.89776,145
52,2019-07-11T17:59:41.992693,1562860781.97947,1562860782.06652,1562860782.09901,145
53,2019-07-11T17:59:42.199704,1562860782.18716,1562860782.27561,1562860782.30588,145
54,2019-07-11T17:59:42.406244,1562860782.39282,1562860782.47199,1562860782.50339,145
55,2019-07-11T17:59:42.612985,1562860782.59925,1562860782.68903,1562860782.72343,145
