seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3390.0,6100.0,4640.0,-2067.0,-2382.0,-2345.0,-1979.0,0,0,0,NONE,0,2019-06-14T16:30:14.606076
-3401.0,6087.0,4699.0,-2184.0,-2397.0,-2288.0,-2007.0,0,0,0,NONE,0,2019-06-14T16:30:15.183544
-3368.0,6071.0,4624.0,-2172.0,-2368.0,-2298.0,-1991.0,0,0,0,NONE,0,2019-06-14T16:30:15.742977
-3312.0,6110.0,4700.0,-2134.0,-2368.0,-2269.0,-2097.0,0,0,0,NONE,0,2019-06-14T16:30:16.319656
-3353.0,6104.0,4653.0,-2143.0,-2393.0,-2300.0,-2030.0,0,0,0,NONE,0,2019-06-14T16:30:16.879811
-3353.0,6101.0,4645.0,-2166.0,-2314.0,-2277.0,-1995.0,0,0,0,NONE,0,2019-06-14T16:30:17.456665
-3366.0,6143.0,4699.0,-2163.0,-2381.0,-2233.0,-2039.0,0,0,0,NONE,0,2019-06-14T16:30:18.015399
-3389.0,6115.0,4693.0,-2177.0,-2342.0,-2256.0,-2027.0,0,0,0,NONE,0,2019-06-14T16:30:18.593721
-3385.0,6183.0,4587.0,-2130.0,-2372.0,-2264.0,-2040.0,0,0,0,NONE,0,2019-06-14T16:30:19.151041
-3330.0,6077.0,4663.0,-2149.0,-2346.0,-2251.0,-2008.0,0,0,0,NONE,0,2019-06-14T16:30:19.730810
-3332.0,6078.0,4652.0,-2188.0,-2318.0,-2184.0,-2013.0,0,0,0,NONE,0,2019-06-14T16:30:20.287929
-3357.0,6144.0,4638.0,-2154.0,-2377.0,-2184.0,-2024.0,0,0,0,NONE,0,2019-06-14T16:30:20.868076
-3300.0,6159.0,4661.0,-2215.0,-2356.0,-2204.0,-2040.0,0,0,0,NONE,0,2019-06-14T16:30:21.423755
-3285.0,6109.0,4668.0,-2200.0,-2339.0,-2132.0,-2032.0,0,0,0,NONE,0,2019-06-14T16:30:22.004540
-3345.0,6098.0,4706.0,-2134.0,-2384.0,-2198.0,-2019.0,0,0,0,NONE,0,2019-06-14T16:30:22.559934
-3321.0,6137.0,4705.0,-2183.0,-2238.0,-2178.0,-2005.0,0,0,0,NONE,0,2019-06-14T16:30:23.142146
-3315.0,6083.0,4687.0,-2184.0,-2300.0,-2223.0,-2029.0,0,0,0,NONE,0,2019-06-14T16:30:23.696805
-3297.0,6103.0,4629.0,-2243.0,-2330.0,-2146.0,-1982.0,0,0,0,NONE,0,2019-06-14T16:30:24.279221
-3311.0,6082.0,4681.0,-2189.0,-2379.0,-2192.0,-1996.0,0,0,0,NONE,0,2019-06-14T16:30:24.831839
-3324.0,6134.0,4694.0,-2156.0,-2259.0,-2161.0,-2008.0,0,0,0,NONE,0,2019-06-14T16:30:25.415867
