seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-989.0,8845.0,210.0,-1141.0,3089.0,373.0,-2684.0,0,0,0,NONE,0,2019-06-14T14:20:56.560442
-997.0,8787.0,269.0,-1179.0,3149.0,444.0,-2696.0,0,0,0,NONE,0,2019-06-14T14:20:57.103673
-960.0,8785.0,301.0,-1145.0,3145.0,428.0,-2711.0,0,0,0,NONE,0,2019-06-14T14:20:57.696609
-1043.0,8693.0,330.0,-1135.0,3208.0,557.0,-2661.0,0,0,0,NONE,0,2019-06-14T14:20:58.238561
-1069.0,8715.0,379.0,-1152.0,3180.0,632.0,-2731.0,0,0,0,NONE,0,2019-06-14T14:20:58.832636
-1048.0,8645.0,317.0,-1100.0,3292.0,656.0,-2727.0,0,0,0,NONE,0,2019-06-14T14:20:59.373474
-1010.0,8639.0,317.0,-1128.0,3267.0,744.0,-2702.0,0,0,0,NONE,0,2019-06-14T14:20:59.968898
-1050.0,8588.0,414.0,-1068.0,3371.0,825.0,-2731.0,0,0,0,NONE,0,2019-06-14T14:21:00.508132
-1093.0,8606.0,347.0,-1047.0,3479.0,842.0,-2652.0,0,0,0,NONE,0,2019-06-14T14:21:01.104655
-1084.0,8581.0,359.0,-1041.0,3470.0,925.0,-2746.0,0,0,0,NONE,0,2019-06-14T14:21:01.641507
-1117.0,8535.0,352.0,-1093.0,3593.0,939.0,-2653.0,0,0,0,NONE,0,2019-06-14T14:21:02.240493
-1103.0,8397.0,407.0,-1054.0,3587.0,913.0,-2677.0,0,0,0,NONE,0,2019-06-14T14:21:02.777619
-1143.0,8451.0,428.0,-1006.0,3682.0,976.0,-2695.0,0,0,0,NONE,0,2019-06-14T14:21:03.376368
-1153.0,8463.0,417.0,-950.0,3680.0,1040.0,-2711.0,0,0,0,NONE,0,2019-06-14T14:21:03.910852
-1173.0,8370.0,432.0,-948.0,3746.0,1087.0,-2632.0,0,0,0,NONE,0,2019-06-14T14:21:04.512264
-1222.0,8354.0,384.0,-921.0,3728.0,1140.0,-2694.0,0,0,0,NONE,0,2019-06-14T14:21:05.047217
-1183.0,8316.0,410.0,-922.0,3880.0,1147.0,-2713.0,0,0,0,NONE,0,2019-06-14T14:21:05.648130
-1247.0,8327.0,407.0,-907.0,3826.0,1244.0,-2735.0,0,0,0,NONE,0,2019-06-14T14:21:06.181919
-1213.0,8307.0,371.0,-937.0,3922.0,1274.0,-2731.0,0,0,0,NONE,0,2019-06-14T14:21:06.784020
-1238.0,8231.0,421.0,-853.0,4012.0,1354.0,-2697.0,0,0,0,NONE,0,2019-06-14T14:21:07.316352
