seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2579.0,5936.0,-297.0,-4396.0,8457.0,5309.0,-9317.0,0,0,0,NONE,0,2019-06-14T14:15:38.692572
-2545.0,5972.0,-299.0,-4350.0,8523.0,5269.0,-9372.0,0,0,0,NONE,0,2019-06-14T14:15:39.252905
-2573.0,5982.0,-295.0,-4344.0,8430.0,5284.0,-9348.0,0,0,0,NONE,0,2019-06-14T14:15:39.829632
-2591.0,6031.0,-311.0,-4352.0,8403.0,5164.0,-9311.0,0,0,0,NONE,0,2019-06-14T14:15:40.387836
-2572.0,6091.0,-337.0,-4287.0,8366.0,5166.0,-9267.0,0,0,0,NONE,0,2019-06-14T14:15:40.965512
-2585.0,6154.0,-339.0,-4296.0,8289.0,5161.0,-9247.0,0,0,0,NONE,0,2019-06-14T14:15:41.522793
-2536.0,6186.0,-385.0,-4288.0,8256.0,5154.0,-9294.0,0,0,0,NONE,0,2019-06-14T14:15:42.101464
-2573.0,6242.0,-384.0,-4278.0,8239.0,5112.0,-9232.0,0,0,0,NONE,0,2019-06-14T14:15:42.657952
-2557.0,6208.0,-396.0,-4331.0,8204.0,5058.0,-9248.0,0,0,0,NONE,0,2019-06-14T14:15:43.237607
-2533.0,6256.0,-400.0,-4274.0,8218.0,5022.0,-9241.0,0,0,0,NONE,0,2019-06-14T14:15:43.791632
-2602.0,6308.0,-474.0,-4290.0,8116.0,4927.0,-9206.0,0,0,0,NONE,0,2019-06-14T14:15:44.373586
-2606.0,6273.0,-465.0,-4240.0,8142.0,4798.0,-9209.0,0,0,0,NONE,0,2019-06-14T14:15:44.927862
-2647.0,6287.0,-454.0,-4252.0,8093.0,4805.0,-9174.0,0,0,0,NONE,0,2019-06-14T14:15:45.509561
-2624.0,6354.0,-512.0,-4229.0,8145.0,4844.0,-9118.0,0,0,0,NONE,0,2019-06-14T14:15:46.062781
-2568.0,6343.0,-564.0,-4257.0,8079.0,4757.0,-9111.0,0,0,0,NONE,0,2019-06-14T14:15:46.645794
-2627.0,6365.0,-538.0,-4246.0,8126.0,4676.0,-9049.0,0,0,0,NONE,0,2019-06-14T14:15:47.197761
-2642.0,6466.0,-663.0,-4240.0,8065.0,4693.0,-8980.0,0,0,0,NONE,0,2019-06-14T14:15:47.781863
-2590.0,6442.0,-628.0,-4198.0,8060.0,4575.0,-9056.0,0,0,0,NONE,0,2019-06-14T14:15:48.332998
-2630.0,6484.0,-654.0,-4149.0,7966.0,4617.0,-8921.0,0,0,0,NONE,0,2019-06-14T14:15:48.917606
-2673.0,6470.0,-671.0,-4130.0,7979.0,4499.0,-8933.0,0,0,0,NONE,0,2019-06-14T14:15:49.467772
