seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7916.0,-1365.0,2681.0,-2428.0,17375.0,8455.0,-8745.0,0,0,0,NONE,0,2019-06-14T14:44:40.180160
-7878.0,-1364.0,2623.0,-2404.0,17383.0,8431.0,-8667.0,0,0,0,NONE,0,2019-06-14T14:44:40.757051
-7841.0,-1379.0,2707.0,-2450.0,17395.0,8461.0,-8735.0,0,0,0,NONE,0,2019-06-14T14:44:41.316694
-7885.0,-1330.0,2660.0,-2413.0,17441.0,8437.0,-8744.0,0,0,0,NONE,0,2019-06-14T14:44:41.893414
-7896.0,-1409.0,2697.0,-2493.0,17433.0,8475.0,-8732.0,0,0,0,NONE,0,2019-06-14T14:44:42.451328
-7912.0,-1346.0,2692.0,-2410.0,17421.0,8463.0,-8734.0,0,0,0,NONE,0,2019-06-14T14:44:43.029078
-7881.0,-1429.0,2647.0,-2454.0,17502.0,8436.0,-8683.0,0,0,0,NONE,0,2019-06-14T14:44:43.585816
-7894.0,-1391.0,2735.0,-2477.0,17459.0,8447.0,-8713.0,0,0,0,NONE,0,2019-06-14T14:44:44.165488
-7883.0,-1390.0,2664.0,-2454.0,17447.0,8446.0,-8734.0,0,0,0,NONE,0,2019-06-14T14:44:44.721586
-7954.0,-1482.0,2689.0,-2478.0,17483.0,8458.0,-8762.0,0,0,0,NONE,0,2019-06-14T14:44:45.301160
-7901.0,-1431.0,2685.0,-2466.0,17463.0,8513.0,-8771.0,0,0,0,NONE,0,2019-06-14T14:44:45.856145
-7874.0,-1401.0,2710.0,-2489.0,17507.0,8532.0,-8818.0,0,0,0,NONE,0,2019-06-14T14:44:46.436977
-7913.0,-1450.0,2642.0,-2502.0,17553.0,8522.0,-8734.0,0,0,0,NONE,0,2019-06-14T14:44:46.991169
-7900.0,-1398.0,2685.0,-2549.0,17535.0,8525.0,-8728.0,0,0,0,NONE,0,2019-06-14T14:44:47.572988
-7875.0,-1467.0,2678.0,-2536.0,17473.0,8483.0,-8763.0,0,0,0,NONE,0,2019-06-14T14:44:48.125421
-7857.0,-1515.0,2671.0,-2552.0,17546.0,8549.0,-8805.0,0,0,0,NONE,0,2019-06-14T14:44:48.709475
-7934.0,-1462.0,2672.0,-2577.0,17606.0,8559.0,-8812.0,0,0,0,NONE,0,2019-06-14T14:44:49.260294
-7909.0,-1443.0,2710.0,-2556.0,17551.0,8558.0,-8844.0,0,0,0,NONE,0,2019-06-14T14:44:49.844757
-7897.0,-1433.0,2630.0,-2560.0,17583.0,8609.0,-8873.0,0,0,0,NONE,0,2019-06-14T14:44:50.395696
-7935.0,-1405.0,2656.0,-2517.0,17601.0,8564.0,-8730.0,0,0,0,NONE,0,2019-06-14T14:44:50.981266
