seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5385.0,-1991.0,4059.0,-4649.0,19128.0,11081.0,-13475.0,0,0,0,NONE,0,2019-06-14T14:28:19.217998
-5392.0,-2000.0,4061.0,-4687.0,19126.0,11016.0,-13491.0,0,0,0,NONE,0,2019-06-14T14:28:19.786819
-5327.0,-1966.0,4023.0,-4675.0,19130.0,11072.0,-13462.0,0,0,0,NONE,0,2019-06-14T14:28:20.354946
-5362.0,-2002.0,4037.0,-4715.0,19127.0,11079.0,-13438.0,0,0,0,NONE,0,2019-06-14T14:28:20.921446
-5325.0,-2000.0,4118.0,-4745.0,19096.0,11032.0,-13517.0,0,0,0,NONE,0,2019-06-14T14:28:21.490552
-5322.0,-2000.0,4048.0,-4688.0,19110.0,11038.0,-13555.0,0,0,0,NONE,0,2019-06-14T14:28:22.057203
-5375.0,-1986.0,4085.0,-4753.0,19146.0,11100.0,-13548.0,0,0,0,NONE,0,2019-06-14T14:28:22.625578
-5332.0,-2001.0,4029.0,-4778.0,19090.0,11087.0,-13528.0,0,0,0,NONE,0,2019-06-14T14:28:23.193184
-5362.0,-1990.0,4059.0,-4763.0,19103.0,11101.0,-13516.0,0,0,0,NONE,0,2019-06-14T14:28:23.761087
-5357.0,-1978.0,4071.0,-4801.0,19044.0,11113.0,-13576.0,0,0,0,NONE,0,2019-06-14T14:28:24.328404
-5311.0,-1965.0,4078.0,-4720.0,19077.0,11081.0,-13518.0,0,0,0,NONE,0,2019-06-14T14:28:24.895687
-5333.0,-2004.0,4085.0,-4768.0,19131.0,11087.0,-13541.0,0,0,0,NONE,0,2019-06-14T14:28:25.463771
-5326.0,-1977.0,4098.0,-4741.0,19160.0,11091.0,-13579.0,0,0,0,NONE,0,2019-06-14T14:28:26.031333
-5293.0,-1958.0,4082.0,-4732.0,19113.0,11172.0,-13581.0,0,0,0,NONE,0,2019-06-14T14:28:26.599015
-5317.0,-1954.0,4100.0,-4821.0,19155.0,11069.0,-13604.0,0,0,0,NONE,0,2019-06-14T14:28:27.166625
-5295.0,-2019.0,4101.0,-4839.0,19182.0,11101.0,-13586.0,0,0,0,NONE,0,2019-06-14T14:28:27.734373
-5270.0,-2009.0,4102.0,-4823.0,19045.0,11096.0,-13663.0,0,0,0,NONE,0,2019-06-14T14:28:28.302194
-5290.0,-1994.0,4082.0,-4844.0,19124.0,11142.0,-13627.0,0,0,0,NONE,0,2019-06-14T14:28:28.869833
-5278.0,-1975.0,4100.0,-4779.0,19147.0,11139.0,-13701.0,0,0,0,NONE,0,2019-06-14T14:28:29.436107
-5297.0,-2016.0,4082.0,-4825.0,19139.0,11132.0,-13669.0,0,0,0,NONE,0,2019-06-14T14:28:30.005318
