seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
732.0,11538.0,3137.0,-2757.0,-11098.0,-5833.0,296.0,0,0,0,NONE,0,2019-06-14T16:33:27.650029
809.0,11608.0,3153.0,-2881.0,-11143.0,-5926.0,326.0,0,0,0,NONE,0,2019-06-14T16:33:28.218894
900.0,11629.0,3238.0,-2855.0,-11187.0,-5961.0,277.0,0,0,0,NONE,0,2019-06-14T16:33:28.787049
939.0,11659.0,3299.0,-2878.0,-11238.0,-6037.0,303.0,0,0,0,NONE,0,2019-06-14T16:33:29.354841
971.0,11629.0,3315.0,-2938.0,-11274.0,-6043.0,337.0,0,0,0,NONE,0,2019-06-14T16:33:29.922668
1065.0,11690.0,3422.0,-3009.0,-11322.0,-6069.0,340.0,0,0,0,NONE,0,2019-06-14T16:33:30.490206
1080.0,11631.0,3405.0,-3055.0,-11393.0,-6136.0,355.0,0,0,0,NONE,0,2019-06-14T16:33:31.058765
1130.0,11663.0,3533.0,-3060.0,-11526.0,-6140.0,376.0,0,0,0,NONE,0,2019-06-14T16:33:31.626509
1194.0,11633.0,3512.0,-3106.0,-11471.0,-6225.0,383.0,0,0,0,NONE,0,2019-06-14T16:33:32.194550
1187.0,11701.0,3651.0,-3099.0,-11612.0,-6239.0,407.0,0,0,0,NONE,0,2019-06-14T16:33:32.761943
1258.0,11653.0,3633.0,-3016.0,-11628.0,-6343.0,428.0,0,0,0,NONE,0,2019-06-14T16:33:33.331919
1318.0,11714.0,3636.0,-3159.0,-11656.0,-6355.0,463.0,0,0,0,NONE,0,2019-06-14T16:33:33.898057
1278.0,11711.0,3717.0,-3131.0,-11704.0,-6427.0,481.0,0,0,0,NONE,0,2019-06-14T16:33:34.468848
1339.0,11747.0,3748.0,-3160.0,-11750.0,-6474.0,468.0,0,0,0,NONE,0,2019-06-14T16:33:35.033655
1408.0,11803.0,3800.0,-3212.0,-11863.0,-6464.0,551.0,0,0,0,NONE,0,2019-06-14T16:33:35.606754
1380.0,11752.0,3800.0,-3161.0,-11929.0,-6455.0,523.0,0,0,0,NONE,0,2019-06-14T16:33:36.170218
1397.0,11743.0,3832.0,-3184.0,-11954.0,-6525.0,540.0,0,0,0,NONE,0,2019-06-14T16:33:36.742434
1435.0,11824.0,3890.0,-3126.0,-12095.0,-6467.0,598.0,0,0,0,NONE,0,2019-06-14T16:33:37.306687
1377.0,11814.0,3826.0,-3151.0,-12086.0,-6467.0,539.0,0,0,0,NONE,0,2019-06-14T16:33:37.881416
1462.0,11855.0,3815.0,-3084.0,-12179.0,-6426.0,565.0,0,0,0,NONE,0,2019-06-14T16:33:38.442266
