seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-985.0,8958.0,1135.0,-2282.0,2813.0,406.0,-3745.0,0,0,0,NONE,0,2019-06-14T14:18:51.614924
-915.0,9005.0,1079.0,-2328.0,2800.0,343.0,-3638.0,0,0,0,NONE,0,2019-06-14T14:18:52.184025
-944.0,8966.0,1164.0,-2284.0,2756.0,371.0,-3647.0,0,0,0,NONE,0,2019-06-14T14:18:52.751144
-882.0,9022.0,1113.0,-2415.0,2762.0,330.0,-3696.0,0,0,0,NONE,0,2019-06-14T14:18:53.317915
-893.0,9018.0,1165.0,-2405.0,2802.0,250.0,-3683.0,0,0,0,NONE,0,2019-06-14T14:18:53.886011
-898.0,9047.0,1124.0,-2400.0,2828.0,289.0,-3666.0,0,0,0,NONE,0,2019-06-14T14:18:54.453454
-862.0,9035.0,1101.0,-2414.0,2753.0,204.0,-3667.0,0,0,0,NONE,0,2019-06-14T14:18:55.019708
-889.0,9110.0,1131.0,-2401.0,2709.0,202.0,-3671.0,0,0,0,NONE,0,2019-06-14T14:18:55.588460
-891.0,9074.0,1172.0,-2387.0,2710.0,121.0,-3623.0,0,0,0,NONE,0,2019-06-14T14:18:56.155766
-871.0,9094.0,1171.0,-2442.0,2712.0,73.0,-3679.0,0,0,0,NONE,0,2019-06-14T14:18:56.721841
-872.0,9176.0,1118.0,-2453.0,2712.0,55.0,-3661.0,0,0,0,NONE,0,2019-06-14T14:18:57.291184
-911.0,9107.0,1155.0,-2459.0,2674.0,-38.0,-3634.0,0,0,0,NONE,0,2019-06-14T14:18:57.857913
-850.0,9103.0,1141.0,-2399.0,2683.0,-29.0,-3647.0,0,0,0,NONE,0,2019-06-14T14:18:58.427202
-894.0,9160.0,1195.0,-2419.0,2625.0,48.0,-3581.0,0,0,0,NONE,0,2019-06-14T14:18:58.993227
-919.0,9121.0,1207.0,-2531.0,2573.0,-61.0,-3596.0,0,0,0,NONE,0,2019-06-14T14:18:59.562852
-842.0,9205.0,1210.0,-2437.0,2594.0,-37.0,-3558.0,0,0,0,NONE,0,2019-06-14T14:19:00.127807
-878.0,9188.0,1177.0,-2472.0,2583.0,59.0,-3598.0,0,0,0,NONE,0,2019-06-14T14:19:00.699111
-795.0,9177.0,1213.0,-2461.0,2581.0,41.0,-3535.0,0,0,0,NONE,0,2019-06-14T14:19:01.262564
-884.0,9203.0,1237.0,-2392.0,2560.0,-12.0,-3569.0,0,0,0,NONE,0,2019-06-14T14:19:01.835083
-847.0,9173.0,1193.0,-2455.0,2492.0,108.0,-3513.0,0,0,0,NONE,0,2019-06-14T14:19:02.397016
