seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2552.0,8975.0,-7509.0,6399.0,-10261.0,-9944.0,9519.0,0,0,0,NONE,0,2019-06-14T13:08:52.579332
-2581.0,8983.0,-7454.0,6445.0,-10130.0,-9890.0,9507.0,0,0,0,NONE,0,2019-06-14T13:08:53.166669
-2622.0,8960.0,-7398.0,6555.0,-10096.0,-9893.0,9546.0,0,0,0,NONE,0,2019-06-14T13:08:53.714076
-2706.0,8920.0,-7412.0,6548.0,-10093.0,-9830.0,9572.0,0,0,0,NONE,0,2019-06-14T13:08:54.302360
-2703.0,8934.0,-7425.0,6586.0,-10071.0,-9712.0,9498.0,0,0,0,NONE,0,2019-06-14T13:08:54.848759
-2706.0,8870.0,-7443.0,6602.0,-10041.0,-9688.0,9479.0,0,0,0,NONE,0,2019-06-14T13:08:55.438096
-2739.0,8806.0,-7405.0,6676.0,-9973.0,-9645.0,9459.0,0,0,0,NONE,0,2019-06-14T13:08:55.983529
-2738.0,8833.0,-7399.0,6687.0,-9925.0,-9604.0,9508.0,0,0,0,NONE,0,2019-06-14T13:08:56.573787
-2759.0,8729.0,-7412.0,6703.0,-9944.0,-9565.0,9473.0,0,0,0,NONE,0,2019-06-14T13:08:57.117968
-2758.0,8714.0,-7451.0,6780.0,-9881.0,-9561.0,9495.0,0,0,0,NONE,0,2019-06-14T13:08:57.165112
-2848.0,8705.0,-7383.0,6770.0,-9808.0,-9545.0,9456.0,0,0,0,NONE,0,2019-06-14T13:08:57.708820
-2848.0,8674.0,-7356.0,6817.0,-9811.0,-9493.0,9480.0,0,0,0,NONE,0,2019-06-14T13:08:58.300561
-2847.0,8616.0,-7387.0,6814.0,-9758.0,-9455.0,9399.0,0,0,0,NONE,0,2019-06-14T13:08:58.843562
-2848.0,8620.0,-7352.0,6851.0,-9699.0,-9380.0,9476.0,0,0,0,NONE,0,2019-06-14T13:08:59.436557
-2853.0,8620.0,-7380.0,6876.0,-9682.0,-9397.0,9409.0,0,0,0,NONE,0,2019-06-14T13:08:59.979053
-2916.0,8513.0,-7340.0,6824.0,-9638.0,-9389.0,9434.0,0,0,0,NONE,0,2019-06-14T13:09:00.573821
-2897.0,8536.0,-7347.0,6891.0,-9599.0,-9342.0,9429.0,0,0,0,NONE,0,2019-06-14T13:09:01.115341
-2952.0,8477.0,-7318.0,6869.0,-9596.0,-9278.0,9472.0,0,0,0,NONE,0,2019-06-14T13:09:01.711044
-2913.0,8373.0,-7313.0,6860.0,-9597.0,-9201.0,9390.0,0,0,0,NONE,0,2019-06-14T13:09:02.251283
-2929.0,8383.0,-7301.0,6933.0,-9413.0,-9175.0,9380.0,0,0,0,NONE,0,2019-06-14T13:09:02.848242
