seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3185.0,4962.0,-5359.0,6565.0,-4480.0,-5816.0,7278.0,0,0,0,NONE,0,2019-06-14T13:10:00.168420
-3087.0,4997.0,-5268.0,6584.0,-4432.0,-5771.0,7263.0,0,0,0,NONE,0,2019-06-14T13:10:00.713037
-3147.0,4944.0,-5276.0,6566.0,-4372.0,-5824.0,7248.0,0,0,0,NONE,0,2019-06-14T13:10:01.304167
-3123.0,4908.0,-5290.0,6515.0,-4339.0,-5756.0,7224.0,0,0,0,NONE,0,2019-06-14T13:10:01.848032
-3085.0,4769.0,-5230.0,6558.0,-4307.0,-5697.0,7209.0,0,0,0,NONE,0,2019-06-14T13:10:02.439817
-3123.0,4842.0,-5158.0,6505.0,-4272.0,-5681.0,7205.0,0,0,0,NONE,0,2019-06-14T13:10:02.982668
-3091.0,4717.0,-5125.0,6479.0,-4260.0,-5723.0,7188.0,0,0,0,NONE,0,2019-06-14T13:10:03.575635
-3017.0,4796.0,-5156.0,6401.0,-4234.0,-5662.0,7157.0,0,0,0,NONE,0,2019-06-14T13:10:04.117655
-3070.0,4693.0,-5053.0,6371.0,-4142.0,-5589.0,7135.0,0,0,0,NONE,0,2019-06-14T13:10:04.711271
-3030.0,4659.0,-5027.0,6436.0,-4156.0,-5593.0,7065.0,0,0,0,NONE,0,2019-06-14T13:10:05.252613
-2983.0,4670.0,-5021.0,6354.0,-4093.0,-5596.0,7094.0,0,0,0,NONE,0,2019-06-14T13:10:05.847098
-3016.0,4643.0,-5074.0,6319.0,-4053.0,-5534.0,7100.0,0,0,0,NONE,0,2019-06-14T13:10:06.387402
-2995.0,4583.0,-4964.0,6261.0,-3954.0,-5523.0,6993.0,0,0,0,NONE,0,2019-06-14T13:10:06.982710
-2962.0,4545.0,-4981.0,6215.0,-3978.0,-5477.0,6989.0,0,0,0,NONE,0,2019-06-14T13:10:07.522355
-2991.0,4539.0,-4862.0,6233.0,-3912.0,-5433.0,6980.0,0,0,0,NONE,0,2019-06-14T13:10:08.118488
-2950.0,4503.0,-4854.0,6194.0,-3894.0,-5395.0,6981.0,0,0,0,NONE,0,2019-06-14T13:10:08.657431
-2922.0,4416.0,-4840.0,6155.0,-3825.0,-5349.0,6929.0,0,0,0,NONE,0,2019-06-14T13:10:09.254328
-2899.0,4369.0,-4735.0,6181.0,-3811.0,-5324.0,6993.0,0,0,0,NONE,0,2019-06-14T13:10:09.791943
-2914.0,4357.0,-4734.0,6046.0,-3766.0,-5278.0,6966.0,0,0,0,NONE,0,2019-06-14T13:10:10.390048
-2855.0,4325.0,-4725.0,6110.0,-3755.0,-5280.0,6949.0,0,0,0,NONE,0,2019-06-14T13:10:10.926777
