seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4209.0,-2345.0,1331.0,3738.0,3455.0,-443.0,4793.0,0,0,0,NONE,0,2019-06-14T12:54:41.062882
-4325.0,-2377.0,1355.0,3742.0,3453.0,-510.0,4790.0,0,0,0,NONE,0,2019-06-14T12:54:41.630402
-4299.0,-2341.0,1370.0,3762.0,3432.0,-466.0,4759.0,0,0,0,NONE,0,2019-06-14T12:54:42.197920
-4255.0,-2376.0,1336.0,3714.0,3429.0,-420.0,4766.0,0,0,0,NONE,0,2019-06-14T12:54:42.765119
-4280.0,-2418.0,1361.0,3751.0,3468.0,-418.0,4760.0,0,0,0,NONE,0,2019-06-14T12:54:43.332878
-4288.0,-2431.0,1337.0,3756.0,3486.0,-435.0,4761.0,0,0,0,NONE,0,2019-06-14T12:54:43.900328
-4341.0,-2390.0,1337.0,3736.0,3522.0,-413.0,4678.0,0,0,0,NONE,0,2019-06-14T12:54:44.468870
-4323.0,-2442.0,1351.0,3738.0,3553.0,-382.0,4739.0,0,0,0,NONE,0,2019-06-14T12:54:45.035483
-4322.0,-2459.0,1324.0,3748.0,3468.0,-346.0,4712.0,0,0,0,NONE,0,2019-06-14T12:54:45.604909
-4314.0,-2468.0,1420.0,3708.0,3543.0,-379.0,4635.0,0,0,0,NONE,0,2019-06-14T12:54:46.170479
-4368.0,-2484.0,1385.0,3720.0,3509.0,-347.0,4693.0,0,0,0,NONE,0,2019-06-14T12:54:46.740978
-4389.0,-2453.0,1353.0,3668.0,3551.0,-379.0,4674.0,0,0,0,NONE,0,2019-06-14T12:54:47.305308
-4343.0,-2532.0,1371.0,3689.0,3575.0,-347.0,4624.0,0,0,0,NONE,0,2019-06-14T12:54:47.876804
-4349.0,-2500.0,1431.0,3675.0,3563.0,-321.0,4618.0,0,0,0,NONE,0,2019-06-14T12:54:48.441841
-4380.0,-2457.0,1471.0,3660.0,3637.0,-256.0,4593.0,0,0,0,NONE,0,2019-06-14T12:54:49.012873
-4386.0,-2508.0,1394.0,3671.0,3639.0,-268.0,4589.0,0,0,0,NONE,0,2019-06-14T12:54:49.575123
-4342.0,-2531.0,1435.0,3653.0,3716.0,-291.0,4601.0,0,0,0,NONE,0,2019-06-14T12:54:50.149320
-4420.0,-2539.0,1395.0,3678.0,3751.0,-243.0,4602.0,0,0,0,NONE,0,2019-06-14T12:54:50.709876
-4360.0,-2504.0,1439.0,3645.0,3721.0,-276.0,4565.0,0,0,0,NONE,0,2019-06-14T12:54:51.285239
-4446.0,-2547.0,1387.0,3647.0,3680.0,-235.0,4535.0,0,0,0,NONE,0,2019-06-14T12:54:51.845156
