seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-167.0,8841.0,1332.0,-136.0,-1025.0,-1659.0,726.0,0,0,0,NONE,0,2019-06-14T14:39:11.227729
-110.0,8813.0,1332.0,-135.0,-992.0,-1664.0,760.0,0,0,0,NONE,0,2019-06-14T14:39:11.769845
-98.0,8823.0,1342.0,-105.0,-929.0,-1589.0,831.0,0,0,0,NONE,0,2019-06-14T14:39:12.364077
-154.0,8746.0,1358.0,-81.0,-817.0,-1554.0,772.0,0,0,0,NONE,0,2019-06-14T14:39:12.905553
-145.0,8773.0,1307.0,-76.0,-851.0,-1520.0,804.0,0,0,0,NONE,0,2019-06-14T14:39:13.499717
-180.0,8745.0,1308.0,-65.0,-783.0,-1523.0,830.0,0,0,0,NONE,0,2019-06-14T14:39:14.039059
-200.0,8664.0,1382.0,-3.0,-674.0,-1465.0,844.0,0,0,0,NONE,0,2019-06-14T14:39:14.635443
-228.0,8685.0,1350.0,-37.0,-669.0,-1348.0,823.0,0,0,0,NONE,0,2019-06-14T14:39:15.174900
-236.0,8597.0,1355.0,37.0,-610.0,-1400.0,835.0,0,0,0,NONE,0,2019-06-14T14:39:15.771890
-222.0,8551.0,1347.0,11.0,-499.0,-1275.0,851.0,0,0,0,NONE,0,2019-06-14T14:39:16.309418
-312.0,8600.0,1317.0,60.0,-474.0,-1242.0,815.0,0,0,0,NONE,0,2019-06-14T14:39:16.906903
-322.0,8514.0,1328.0,84.0,-436.0,-1173.0,898.0,0,0,0,NONE,0,2019-06-14T14:39:17.443759
-309.0,8502.0,1365.0,38.0,-354.0,-1115.0,858.0,0,0,0,NONE,0,2019-06-14T14:39:18.043673
-393.0,8450.0,1382.0,11.0,-306.0,-1044.0,854.0,0,0,0,NONE,0,2019-06-14T14:39:18.578469
-365.0,8438.0,1328.0,89.0,-256.0,-936.0,905.0,0,0,0,NONE,0,2019-06-14T14:39:19.179656
-373.0,8398.0,1390.0,80.0,-103.0,-985.0,808.0,0,0,0,NONE,0,2019-06-14T14:39:19.713089
-400.0,8392.0,1360.0,37.0,-94.0,-900.0,828.0,0,0,0,NONE,0,2019-06-14T14:39:20.315664
-415.0,8363.0,1302.0,119.0,-133.0,-842.0,871.0,0,0,0,NONE,0,2019-06-14T14:39:20.847637
-430.0,8274.0,1335.0,135.0,-1.0,-739.0,800.0,0,0,0,NONE,0,2019-06-14T14:39:21.450791
-441.0,8285.0,1317.0,119.0,125.0,-800.0,847.0,0,0,0,NONE,0,2019-06-14T14:39:21.982230
