seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
771.0,12474.0,2198.0,-1751.0,-15741.0,-8985.0,3810.0,0,0,0,NONE,0,2019-06-14T16:05:21.764514
831.0,12466.0,2212.0,-1801.0,-15813.0,-9011.0,3841.0,0,0,0,NONE,0,2019-06-14T16:05:22.333460
901.0,12415.0,2262.0,-1820.0,-15872.0,-8978.0,3890.0,0,0,0,NONE,0,2019-06-14T16:05:22.900743
961.0,12436.0,2212.0,-1896.0,-15902.0,-9007.0,3888.0,0,0,0,NONE,0,2019-06-14T16:05:23.469132
1007.0,12459.0,2188.0,-1957.0,-16055.0,-8991.0,3915.0,0,0,0,NONE,0,2019-06-14T16:05:24.037597
1034.0,12429.0,2194.0,-1992.0,-16093.0,-9019.0,4017.0,0,0,0,NONE,0,2019-06-14T16:05:24.604609
1109.0,12451.0,2196.0,-2018.0,-16109.0,-8979.0,4020.0,0,0,0,NONE,0,2019-06-14T16:05:25.174368
1083.0,12417.0,2241.0,-2087.0,-16246.0,-9050.0,4057.0,0,0,0,NONE,0,2019-06-14T16:05:25.740181
1121.0,12416.0,2270.0,-2100.0,-16221.0,-8995.0,4114.0,0,0,0,NONE,0,2019-06-14T16:05:26.311312
1172.0,12345.0,2309.0,-2075.0,-16363.0,-9023.0,4132.0,0,0,0,NONE,0,2019-06-14T16:05:26.876020
1180.0,12381.0,2307.0,-2111.0,-16451.0,-9044.0,4200.0,0,0,0,NONE,0,2019-06-14T16:05:27.448042
1229.0,12437.0,2402.0,-2092.0,-16496.0,-9127.0,4187.0,0,0,0,NONE,0,2019-06-14T16:05:28.012200
1250.0,12452.0,2383.0,-2088.0,-16583.0,-9149.0,4240.0,0,0,0,NONE,0,2019-06-14T16:05:28.584929
1255.0,12330.0,2416.0,-2120.0,-16588.0,-9240.0,4322.0,0,0,0,NONE,0,2019-06-14T16:05:29.148163
1251.0,12367.0,2433.0,-2070.0,-16711.0,-9285.0,4292.0,0,0,0,NONE,0,2019-06-14T16:05:29.721136
1302.0,12381.0,2467.0,-2053.0,-16676.0,-9349.0,4335.0,0,0,0,NONE,0,2019-06-14T16:05:30.284671
1335.0,12418.0,2535.0,-2045.0,-16868.0,-9406.0,4372.0,0,0,0,NONE,0,2019-06-14T16:05:30.858152
1379.0,12405.0,2534.0,-2060.0,-16839.0,-9476.0,4448.0,0,0,0,NONE,0,2019-06-14T16:05:31.419126
1296.0,12361.0,2573.0,-2088.0,-16903.0,-9563.0,4424.0,0,0,0,NONE,0,2019-06-14T16:05:31.994681
1387.0,12380.0,2597.0,-2100.0,-16951.0,-9646.0,4584.0,0,0,0,NONE,0,2019-06-14T16:05:32.555710
