seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6287.0,373.0,2067.0,-3981.0,8971.0,13254.0,-8197.0,0,0,0,NONE,0,2019-06-14T15:17:48.597304
-6369.0,394.0,2072.0,-4031.0,8992.0,13302.0,-8200.0,0,0,0,NONE,0,2019-06-14T15:17:49.153644
-6338.0,348.0,2042.0,-4020.0,8969.0,13250.0,-8244.0,0,0,0,NONE,0,2019-06-14T15:17:49.733818
-6364.0,339.0,2105.0,-4045.0,9063.0,13247.0,-8207.0,0,0,0,NONE,0,2019-06-14T15:17:50.288178
-6331.0,362.0,2128.0,-4087.0,9026.0,13296.0,-8288.0,0,0,0,NONE,0,2019-06-14T15:17:50.871270
-6369.0,346.0,2052.0,-4019.0,9070.0,13239.0,-8280.0,0,0,0,NONE,0,2019-06-14T15:17:51.423884
-6381.0,302.0,2077.0,-4039.0,9051.0,13294.0,-8255.0,0,0,0,NONE,0,2019-06-14T15:17:52.007548
-6315.0,305.0,2077.0,-4004.0,9052.0,13286.0,-8334.0,0,0,0,NONE,0,2019-06-14T15:17:52.560116
-6311.0,287.0,2051.0,-4068.0,9116.0,13328.0,-8292.0,0,0,0,NONE,0,2019-06-14T15:17:53.143283
-6315.0,355.0,2105.0,-4082.0,9086.0,13314.0,-8364.0,0,0,0,NONE,0,2019-06-14T15:17:53.694196
-6391.0,283.0,2041.0,-4052.0,9043.0,13315.0,-8380.0,0,0,0,NONE,0,2019-06-14T15:17:54.279810
-6336.0,299.0,2122.0,-4056.0,9111.0,13367.0,-8394.0,0,0,0,NONE,0,2019-06-14T15:17:54.830461
-6366.0,288.0,2015.0,-4090.0,9166.0,13413.0,-8419.0,0,0,0,NONE,0,2019-06-14T15:17:55.416188
-6320.0,295.0,2109.0,-4059.0,9107.0,13375.0,-8416.0,0,0,0,NONE,0,2019-06-14T15:17:55.966471
-6404.0,238.0,2050.0,-4078.0,9107.0,13350.0,-8387.0,0,0,0,NONE,0,2019-06-14T15:17:56.552451
-6395.0,274.0,2091.0,-4083.0,9146.0,13334.0,-8417.0,0,0,0,NONE,0,2019-06-14T15:17:57.101491
-6335.0,234.0,2036.0,-4061.0,9115.0,13360.0,-8451.0,0,0,0,NONE,0,2019-06-14T15:17:57.689340
-6379.0,252.0,2146.0,-4115.0,9115.0,13349.0,-8478.0,0,0,0,NONE,0,2019-06-14T15:17:58.237907
-6436.0,247.0,2050.0,-4073.0,9111.0,13466.0,-8449.0,0,0,0,NONE,0,2019-06-14T15:17:58.825973
-6395.0,287.0,1993.0,-4105.0,9100.0,13401.0,-8481.0,0,0,0,NONE,0,2019-06-14T15:17:59.373431
