seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7641.0,-2255.0,2742.0,-3910.0,17971.0,9750.0,-11247.0,0,0,0,NONE,0,2019-06-14T14:47:30.459317
-7658.0,-2279.0,2749.0,-3906.0,17977.0,9712.0,-11249.0,0,0,0,NONE,0,2019-06-14T14:47:31.011372
-7649.0,-2259.0,2715.0,-3929.0,18008.0,9790.0,-11208.0,0,0,0,NONE,0,2019-06-14T14:47:31.596442
-7657.0,-2245.0,2657.0,-3911.0,17972.0,9742.0,-11248.0,0,0,0,NONE,0,2019-06-14T14:47:32.147552
-7669.0,-2275.0,2732.0,-3924.0,17967.0,9758.0,-11234.0,0,0,0,NONE,0,2019-06-14T14:47:32.731977
-7669.0,-2217.0,2666.0,-3930.0,17969.0,9808.0,-11253.0,0,0,0,NONE,0,2019-06-14T14:47:33.282713
-7709.0,-2339.0,2723.0,-3951.0,17959.0,9761.0,-11278.0,0,0,0,NONE,0,2019-06-14T14:47:33.869114
-7644.0,-2325.0,2677.0,-3992.0,17958.0,9803.0,-11283.0,0,0,0,NONE,0,2019-06-14T14:47:34.418023
-7671.0,-2226.0,2692.0,-3953.0,17898.0,9783.0,-11324.0,0,0,0,NONE,0,2019-06-14T14:47:35.005772
-7609.0,-2325.0,2747.0,-3942.0,17996.0,9798.0,-11323.0,0,0,0,NONE,0,2019-06-14T14:47:35.551613
-7680.0,-2269.0,2706.0,-3966.0,17918.0,9813.0,-11374.0,0,0,0,NONE,0,2019-06-14T14:47:36.141356
-7642.0,-2249.0,2711.0,-3939.0,17991.0,9867.0,-11359.0,0,0,0,NONE,0,2019-06-14T14:47:36.688460
-7663.0,-2327.0,2680.0,-3992.0,18009.0,9895.0,-11386.0,0,0,0,NONE,0,2019-06-14T14:47:37.277356
-7619.0,-2343.0,2723.0,-3986.0,18014.0,9864.0,-11362.0,0,0,0,NONE,0,2019-06-14T14:47:37.823301
-7606.0,-2261.0,2708.0,-3952.0,17962.0,9882.0,-11397.0,0,0,0,NONE,0,2019-06-14T14:47:38.414294
-7624.0,-2374.0,2760.0,-4030.0,17916.0,9918.0,-11385.0,0,0,0,NONE,0,2019-06-14T14:47:38.958273
-7605.0,-2358.0,2733.0,-3955.0,17925.0,9899.0,-11451.0,0,0,0,NONE,0,2019-06-14T14:47:39.550507
-7662.0,-2337.0,2732.0,-3985.0,17977.0,9921.0,-11406.0,0,0,0,NONE,0,2019-06-14T14:47:40.093867
-7598.0,-2302.0,2731.0,-4023.0,17981.0,9859.0,-11458.0,0,0,0,NONE,0,2019-06-14T14:47:40.687335
-7585.0,-2346.0,2758.0,-3991.0,17981.0,9933.0,-11390.0,0,0,0,NONE,0,2019-06-14T14:47:41.228305
