seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2110.0,9713.0,3446.0,2549.0,-7684.0,-6663.0,7392.0,0,0,0,NONE,0,2019-06-14T16:11:02.425204
-2113.0,9687.0,3397.0,2448.0,-7663.0,-6706.0,7415.0,0,0,0,NONE,0,2019-06-14T16:11:02.993698
-2156.0,9695.0,3455.0,2457.0,-7565.0,-6661.0,7405.0,0,0,0,NONE,0,2019-06-14T16:11:03.562222
-2129.0,9684.0,3410.0,2481.0,-7539.0,-6585.0,7388.0,0,0,0,NONE,0,2019-06-14T16:11:04.129314
-2146.0,9645.0,3434.0,2446.0,-7526.0,-6593.0,7396.0,0,0,0,NONE,0,2019-06-14T16:11:04.696844
-2137.0,9582.0,3468.0,2448.0,-7427.0,-6579.0,7354.0,0,0,0,NONE,0,2019-06-14T16:11:05.264660
-2175.0,9621.0,3462.0,2476.0,-7476.0,-6584.0,7308.0,0,0,0,NONE,0,2019-06-14T16:11:05.833967
-2194.0,9590.0,3487.0,2392.0,-7438.0,-6608.0,7336.0,0,0,0,NONE,0,2019-06-14T16:11:06.400073
-2188.0,9572.0,3434.0,2394.0,-7370.0,-6652.0,7328.0,0,0,0,NONE,0,2019-06-14T16:11:06.969903
-2279.0,9575.0,3481.0,2356.0,-7344.0,-6633.0,7287.0,0,0,0,NONE,0,2019-06-14T16:11:07.535642
-2160.0,9503.0,3439.0,2436.0,-7331.0,-6521.0,7272.0,0,0,0,NONE,0,2019-06-14T16:11:08.106450
-2250.0,9531.0,3445.0,2337.0,-7291.0,-6610.0,7211.0,0,0,0,NONE,0,2019-06-14T16:11:08.671609
-2243.0,9480.0,3497.0,2389.0,-7186.0,-6555.0,7299.0,0,0,0,NONE,0,2019-06-14T16:11:09.242960
-2277.0,9437.0,3477.0,2379.0,-7233.0,-6462.0,7183.0,0,0,0,NONE,0,2019-06-14T16:11:09.807359
-2297.0,9455.0,3492.0,2392.0,-7187.0,-6483.0,7193.0,0,0,0,NONE,0,2019-06-14T16:11:10.379311
-2289.0,9445.0,3448.0,2335.0,-7120.0,-6499.0,7179.0,0,0,0,NONE,0,2019-06-14T16:11:10.941970
-2289.0,9420.0,3506.0,2360.0,-7149.0,-6485.0,7199.0,0,0,0,NONE,0,2019-06-14T16:11:11.516442
-2346.0,9433.0,3528.0,2309.0,-7108.0,-6423.0,7185.0,0,0,0,NONE,0,2019-06-14T16:11:12.078616
-2330.0,9399.0,3526.0,2316.0,-6977.0,-6464.0,7162.0,0,0,0,NONE,0,2019-06-14T16:11:12.652541
-2312.0,9394.0,3518.0,2326.0,-7024.0,-6471.0,7154.0,0,0,0,NONE,0,2019-06-14T16:11:13.213399
