seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5957.0,142.0,3326.0,-2952.0,17491.0,8724.0,-9190.0,0,0,0,NONE,0,2019-06-14T14:24:54.907514
-5949.0,241.0,3345.0,-3022.0,17503.0,8769.0,-9197.0,0,0,0,NONE,0,2019-06-14T14:24:55.437540
-5964.0,161.0,3375.0,-3014.0,17505.0,8838.0,-9209.0,0,0,0,NONE,0,2019-06-14T14:24:56.006116
-6004.0,167.0,3378.0,-3012.0,17576.0,8776.0,-9272.0,0,0,0,NONE,0,2019-06-14T14:24:56.572468
-6046.0,182.0,3372.0,-3007.0,17537.0,8777.0,-9225.0,0,0,0,NONE,0,2019-06-14T14:24:57.139913
-5999.0,155.0,3369.0,-3027.0,17529.0,8786.0,-9303.0,0,0,0,NONE,0,2019-06-14T14:24:57.708071
-6054.0,124.0,3383.0,-2977.0,17571.0,8781.0,-9304.0,0,0,0,NONE,0,2019-06-14T14:24:58.276405
-6012.0,104.0,3352.0,-3039.0,17548.0,8803.0,-9269.0,0,0,0,NONE,0,2019-06-14T14:24:58.843893
-6052.0,98.0,3370.0,-3026.0,17605.0,8874.0,-9301.0,0,0,0,NONE,0,2019-06-14T14:24:59.411438
-6013.0,125.0,3374.0,-3054.0,17558.0,8856.0,-9373.0,0,0,0,NONE,0,2019-06-14T14:24:59.978618
-6057.0,67.0,3388.0,-3058.0,17599.0,8920.0,-9383.0,0,0,0,NONE,0,2019-06-14T14:25:00.546649
-6085.0,93.0,3399.0,-3060.0,17632.0,8911.0,-9369.0,0,0,0,NONE,0,2019-06-14T14:25:01.114172
-6003.0,33.0,3388.0,-3081.0,17690.0,8895.0,-9429.0,0,0,0,NONE,0,2019-06-14T14:25:01.681859
-6061.0,57.0,3380.0,-3069.0,17674.0,9012.0,-9421.0,0,0,0,NONE,0,2019-06-14T14:25:02.249459
-6107.0,77.0,3352.0,-3041.0,17563.0,8965.0,-9453.0,0,0,0,NONE,0,2019-06-14T14:25:02.816850
-6045.0,31.0,3383.0,-3058.0,17630.0,8928.0,-9489.0,0,0,0,NONE,0,2019-06-14T14:25:03.384319
-6087.0,36.0,3368.0,-3138.0,17671.0,8965.0,-9436.0,0,0,0,NONE,0,2019-06-14T14:25:03.952178
-6039.0,60.0,3371.0,-3047.0,17624.0,8932.0,-9484.0,0,0,0,NONE,0,2019-06-14T14:25:04.519415
-6122.0,-23.0,3343.0,-3091.0,17686.0,9036.0,-9488.0,0,0,0,NONE,0,2019-06-14T14:25:05.087063
-6090.0,30.0,3346.0,-3079.0,17655.0,9013.0,-9581.0,0,0,0,NONE,0,2019-06-14T14:25:05.654480
