seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5648.0,-599.0,1576.0,-5459.0,9764.0,15161.0,-13855.0,0,0,0,NONE,0,2019-06-14T15:25:22.872977
-5675.0,-679.0,1500.0,-5465.0,9665.0,15153.0,-13889.0,0,0,0,NONE,0,2019-06-14T15:25:23.441301
-5645.0,-637.0,1631.0,-5448.0,9706.0,15140.0,-13872.0,0,0,0,NONE,0,2019-06-14T15:25:24.009995
-5628.0,-637.0,1546.0,-5465.0,9696.0,15107.0,-13867.0,0,0,0,NONE,0,2019-06-14T15:25:24.577520
-5736.0,-626.0,1589.0,-5472.0,9714.0,15110.0,-13897.0,0,0,0,NONE,0,2019-06-14T15:25:25.146065
-5629.0,-601.0,1496.0,-5518.0,9767.0,15142.0,-13900.0,0,0,0,NONE,0,2019-06-14T15:25:25.713902
-5665.0,-646.0,1501.0,-5500.0,9695.0,15083.0,-13903.0,0,0,0,NONE,0,2019-06-14T15:25:26.281978
-5567.0,-666.0,1588.0,-5460.0,9684.0,15105.0,-13908.0,0,0,0,NONE,0,2019-06-14T15:25:26.849849
-5639.0,-638.0,1640.0,-5461.0,9665.0,15086.0,-13926.0,0,0,0,NONE,0,2019-06-14T15:25:27.416483
-5597.0,-659.0,1529.0,-5532.0,9725.0,15083.0,-13909.0,0,0,0,NONE,0,2019-06-14T15:25:27.986547
-5584.0,-678.0,1621.0,-5428.0,9750.0,15122.0,-13925.0,0,0,0,NONE,0,2019-06-14T15:25:28.553989
-5647.0,-686.0,1595.0,-5408.0,9703.0,15094.0,-13947.0,0,0,0,NONE,0,2019-06-14T15:25:29.123426
-5610.0,-616.0,1572.0,-5459.0,9738.0,15094.0,-13932.0,0,0,0,NONE,0,2019-06-14T15:25:29.689139
-5631.0,-647.0,1603.0,-5468.0,9720.0,15132.0,-13932.0,0,0,0,NONE,0,2019-06-14T15:25:30.260205
-5615.0,-652.0,1547.0,-5510.0,9724.0,15162.0,-13935.0,0,0,0,NONE,0,2019-06-14T15:25:30.824248
-5577.0,-668.0,1543.0,-5525.0,9713.0,15083.0,-13910.0,0,0,0,NONE,0,2019-06-14T15:25:31.396785
-5640.0,-682.0,1566.0,-5501.0,9685.0,15088.0,-13971.0,0,0,0,NONE,0,2019-06-14T15:25:31.960787
-5580.0,-712.0,1652.0,-5429.0,9733.0,15085.0,-13935.0,0,0,0,NONE,0,2019-06-14T15:25:32.533298
-5585.0,-695.0,1589.0,-5460.0,9661.0,15069.0,-13943.0,0,0,0,NONE,0,2019-06-14T15:25:33.096222
-5595.0,-743.0,1634.0,-5472.0,9674.0,15085.0,-13948.0,0,0,0,NONE,0,2019-06-14T15:25:33.670976
