seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4500.0,-2761.0,1463.0,3461.0,3941.0,97.0,4220.0,0,0,0,NONE,0,2019-06-14T12:55:03.780083
-4466.0,-2735.0,1466.0,3485.0,4039.0,-13.0,4181.0,0,0,0,NONE,0,2019-06-14T12:55:04.332253
-4539.0,-2800.0,1464.0,3464.0,3989.0,56.0,4125.0,0,0,0,NONE,0,2019-06-14T12:55:04.916110
-4526.0,-2821.0,1489.0,3510.0,3995.0,80.0,4143.0,0,0,0,NONE,0,2019-06-14T12:55:05.467370
-4545.0,-2815.0,1460.0,3472.0,4038.0,45.0,4117.0,0,0,0,NONE,0,2019-06-14T12:55:06.052036
-4513.0,-2865.0,1474.0,3487.0,4086.0,121.0,4108.0,0,0,0,NONE,0,2019-06-14T12:55:06.604742
-4566.0,-2845.0,1492.0,3519.0,4100.0,100.0,4067.0,0,0,0,NONE,0,2019-06-14T12:55:07.188311
-4540.0,-2816.0,1488.0,3465.0,4069.0,85.0,4024.0,0,0,0,NONE,0,2019-06-14T12:55:07.737086
-4526.0,-2801.0,1466.0,3464.0,4048.0,148.0,4031.0,0,0,0,NONE,0,2019-06-14T12:55:08.324282
-4506.0,-2870.0,1460.0,3407.0,4128.0,94.0,3935.0,0,0,0,NONE,0,2019-06-14T12:55:08.871749
-4531.0,-2821.0,1520.0,3445.0,4088.0,194.0,4015.0,0,0,0,NONE,0,2019-06-14T12:55:09.460136
-4555.0,-2817.0,1495.0,3482.0,4126.0,178.0,3956.0,0,0,0,NONE,0,2019-06-14T12:55:10.007206
-4563.0,-2902.0,1497.0,3382.0,4107.0,153.0,3946.0,0,0,0,NONE,0,2019-06-14T12:55:10.596153
-4577.0,-2880.0,1512.0,3478.0,4121.0,243.0,3976.0,0,0,0,NONE,0,2019-06-14T12:55:11.142372
-4528.0,-2963.0,1497.0,3445.0,4109.0,182.0,3930.0,0,0,0,NONE,0,2019-06-14T12:55:11.732179
-4548.0,-2935.0,1552.0,3440.0,4147.0,239.0,3883.0,0,0,0,NONE,0,2019-06-14T12:55:12.277337
-4628.0,-2884.0,1524.0,3438.0,4137.0,201.0,3878.0,0,0,0,NONE,0,2019-06-14T12:55:12.868240
-4572.0,-2979.0,1519.0,3407.0,4194.0,196.0,3873.0,0,0,0,NONE,0,2019-06-14T12:55:13.412431
-4576.0,-2942.0,1490.0,3436.0,4219.0,239.0,3878.0,0,0,0,NONE,0,2019-06-14T12:55:14.004015
-4567.0,-2932.0,1451.0,3362.0,4213.0,309.0,3825.0,0,0,0,NONE,0,2019-06-14T12:55:14.547383
