seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1700.0,5216.0,6188.0,-2161.0,1109.0,-776.0,-3434.0,0,0,0,NONE,0,2019-06-14T15:55:08.350807
-1600.0,5280.0,6196.0,-2217.0,1115.0,-774.0,-3407.0,0,0,0,NONE,0,2019-06-14T15:55:08.918974
-1662.0,5304.0,6178.0,-2155.0,1177.0,-741.0,-3357.0,0,0,0,NONE,0,2019-06-14T15:55:09.488272
-1610.0,5263.0,6149.0,-2172.0,1164.0,-776.0,-3392.0,0,0,0,NONE,0,2019-06-14T15:55:10.054737
-1649.0,5282.0,6170.0,-2216.0,1125.0,-787.0,-3346.0,0,0,0,NONE,0,2019-06-14T15:55:10.623475
-1658.0,5263.0,6232.0,-2158.0,1117.0,-808.0,-3361.0,0,0,0,NONE,0,2019-06-14T15:55:11.192225
-1654.0,5251.0,6176.0,-2183.0,1082.0,-815.0,-3340.0,0,0,0,NONE,0,2019-06-14T15:55:11.760066
-1642.0,5207.0,6218.0,-2233.0,1149.0,-799.0,-3389.0,0,0,0,NONE,0,2019-06-14T15:55:12.327450
-1639.0,5247.0,6178.0,-2119.0,1162.0,-844.0,-3297.0,0,0,0,NONE,0,2019-06-14T15:55:12.897238
-1681.0,5261.0,6125.0,-2143.0,1169.0,-895.0,-3347.0,0,0,0,NONE,0,2019-06-14T15:55:13.464070
-1647.0,5186.0,6173.0,-2214.0,1169.0,-898.0,-3286.0,0,0,0,NONE,0,2019-06-14T15:55:14.031042
-1640.0,5265.0,6229.0,-2160.0,1208.0,-879.0,-3300.0,0,0,0,NONE,0,2019-06-14T15:55:14.599159
-1708.0,5230.0,6197.0,-2156.0,1095.0,-909.0,-3259.0,0,0,0,NONE,0,2019-06-14T15:55:15.167280
-1641.0,5225.0,6108.0,-2168.0,1189.0,-968.0,-3288.0,0,0,0,NONE,0,2019-06-14T15:55:15.735461
-1704.0,5250.0,6177.0,-2178.0,1115.0,-931.0,-3276.0,0,0,0,NONE,0,2019-06-14T15:55:16.303445
-1715.0,5228.0,6187.0,-2236.0,1121.0,-947.0,-3253.0,0,0,0,NONE,0,2019-06-14T15:55:16.871703
-1686.0,5236.0,6207.0,-2212.0,1157.0,-945.0,-3287.0,0,0,0,NONE,0,2019-06-14T15:55:17.439713
-1722.0,5263.0,6179.0,-2172.0,1147.0,-956.0,-3195.0,0,0,0,NONE,0,2019-06-14T15:55:18.008031
-1737.0,5259.0,6197.0,-2174.0,1154.0,-978.0,-3206.0,0,0,0,NONE,0,2019-06-14T15:55:18.575676
-1770.0,5283.0,6165.0,-2139.0,1168.0,-936.0,-3186.0,0,0,0,NONE,0,2019-06-14T15:55:19.144380
