seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3017.0,5996.0,5027.0,-1965.0,-381.0,-2770.0,-2920.0,0,0,0,NONE,0,2019-06-14T16:54:10.568752
-2964.0,5975.0,5035.0,-1989.0,-364.0,-2740.0,-2806.0,0,0,0,NONE,0,2019-06-14T16:54:11.143473
-2969.0,6024.0,4936.0,-1981.0,-363.0,-2811.0,-2792.0,0,0,0,NONE,0,2019-06-14T16:54:11.705334
-2998.0,5960.0,5065.0,-2015.0,-410.0,-2782.0,-2824.0,0,0,0,NONE,0,2019-06-14T16:54:12.280613
-2988.0,5985.0,5010.0,-2040.0,-409.0,-2739.0,-2751.0,0,0,0,NONE,0,2019-06-14T16:54:12.840912
-3001.0,6020.0,5048.0,-2060.0,-385.0,-2717.0,-2807.0,0,0,0,NONE,0,2019-06-14T16:54:13.417698
-3002.0,6071.0,5046.0,-2141.0,-399.0,-2808.0,-2716.0,0,0,0,NONE,0,2019-06-14T16:54:13.978575
-3015.0,6034.0,5074.0,-2036.0,-441.0,-2748.0,-2805.0,0,0,0,NONE,0,2019-06-14T16:54:14.554581
-3018.0,6028.0,5117.0,-1963.0,-407.0,-2755.0,-2808.0,0,0,0,NONE,0,2019-06-14T16:54:15.113411
-2970.0,6043.0,5099.0,-2001.0,-343.0,-2742.0,-2724.0,0,0,0,NONE,0,2019-06-14T16:54:15.690977
-2991.0,6014.0,5044.0,-2048.0,-379.0,-2792.0,-2790.0,0,0,0,NONE,0,2019-06-14T16:54:16.249760
-2961.0,6004.0,5073.0,-2025.0,-398.0,-2777.0,-2774.0,0,0,0,NONE,0,2019-06-14T16:54:16.828726
-2962.0,6032.0,5100.0,-2030.0,-430.0,-2808.0,-2801.0,0,0,0,NONE,0,2019-06-14T16:54:17.387176
-2987.0,6022.0,5029.0,-2043.0,-345.0,-2857.0,-2790.0,0,0,0,NONE,0,2019-06-14T16:54:17.964970
-2921.0,6028.0,5066.0,-2000.0,-429.0,-2820.0,-2778.0,0,0,0,NONE,0,2019-06-14T16:54:18.522912
-2907.0,6016.0,5133.0,-2070.0,-405.0,-2807.0,-2751.0,0,0,0,NONE,0,2019-06-14T16:54:19.102382
-2867.0,5976.0,5070.0,-2029.0,-433.0,-2803.0,-2732.0,0,0,0,NONE,0,2019-06-14T16:54:19.659399
-2938.0,6047.0,5073.0,-1953.0,-380.0,-2860.0,-2797.0,0,0,0,NONE,0,2019-06-14T16:54:20.239448
-2943.0,6012.0,5089.0,-2024.0,-407.0,-2783.0,-2805.0,0,0,0,NONE,0,2019-06-14T16:54:20.795403
-2978.0,5959.0,5088.0,-2036.0,-357.0,-2791.0,-2762.0,0,0,0,NONE,0,2019-06-14T16:54:21.375784
