seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3074.0,6423.0,5152.0,-2110.0,-771.0,-3285.0,-2768.0,0,0,0,NONE,0,2019-06-14T16:55:41.485527
-3113.0,6376.0,5144.0,-2011.0,-709.0,-3289.0,-2725.0,0,0,0,NONE,0,2019-06-14T16:55:42.031302
-3052.0,6458.0,5128.0,-2062.0,-746.0,-3228.0,-2718.0,0,0,0,NONE,0,2019-06-14T16:55:42.623224
-3045.0,6396.0,5105.0,-2076.0,-704.0,-3254.0,-2760.0,0,0,0,NONE,0,2019-06-14T16:55:43.167923
-3078.0,6461.0,5165.0,-2012.0,-708.0,-3157.0,-2765.0,0,0,0,NONE,0,2019-06-14T16:55:43.759961
-3115.0,6401.0,5165.0,-2074.0,-717.0,-3189.0,-2808.0,0,0,0,NONE,0,2019-06-14T16:55:44.305087
-3135.0,6476.0,5088.0,-1997.0,-713.0,-3173.0,-2747.0,0,0,0,NONE,0,2019-06-14T16:55:44.896728
-3199.0,6519.0,5102.0,-1971.0,-828.0,-3266.0,-2759.0,0,0,0,NONE,0,2019-06-14T16:55:45.440581
-3134.0,6505.0,5035.0,-2000.0,-747.0,-3277.0,-2726.0,0,0,0,NONE,0,2019-06-14T16:55:46.034325
-3203.0,6480.0,5107.0,-1978.0,-760.0,-3204.0,-2754.0,0,0,0,NONE,0,2019-06-14T16:55:46.576311
-3171.0,6463.0,5073.0,-1953.0,-748.0,-3188.0,-2716.0,0,0,0,NONE,0,2019-06-14T16:55:47.171389
-3172.0,6427.0,5058.0,-1962.0,-757.0,-3235.0,-2723.0,0,0,0,NONE,0,2019-06-14T16:55:47.713803
-3198.0,6462.0,5049.0,-1937.0,-832.0,-3172.0,-2797.0,0,0,0,NONE,0,2019-06-14T16:55:48.308395
-3186.0,6508.0,5056.0,-1931.0,-826.0,-3155.0,-2750.0,0,0,0,NONE,0,2019-06-14T16:55:48.849654
-3165.0,6489.0,5007.0,-1922.0,-845.0,-3156.0,-2762.0,0,0,0,NONE,0,2019-06-14T16:55:49.445184
-3215.0,6527.0,5025.0,-1925.0,-795.0,-3189.0,-2819.0,0,0,0,NONE,0,2019-06-14T16:55:49.985463
-3184.0,6509.0,5047.0,-1879.0,-856.0,-3114.0,-2770.0,0,0,0,NONE,0,2019-06-14T16:55:50.582460
-3188.0,6529.0,5041.0,-1927.0,-840.0,-3074.0,-2687.0,0,0,0,NONE,0,2019-06-14T16:55:51.122105
-3214.0,6546.0,5009.0,-1919.0,-832.0,-3074.0,-2780.0,0,0,0,NONE,0,2019-06-14T16:55:51.719174
-3236.0,6569.0,5027.0,-1905.0,-809.0,-3093.0,-2753.0,0,0,0,NONE,0,2019-06-14T16:55:52.258779
