seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6650.0,-271.0,1841.0,-4269.0,9216.0,13971.0,-9601.0,0,0,0,NONE,0,2019-06-14T15:18:45.367025
-6654.0,-244.0,1811.0,-4266.0,9234.0,13994.0,-9623.0,0,0,0,NONE,0,2019-06-14T15:18:45.936814
-6657.0,-268.0,1790.0,-4283.0,9248.0,14015.0,-9570.0,0,0,0,NONE,0,2019-06-14T15:18:46.503570
-6632.0,-249.0,1775.0,-4257.0,9321.0,14011.0,-9625.0,0,0,0,NONE,0,2019-06-14T15:18:47.073335
-6633.0,-187.0,1807.0,-4309.0,9265.0,13994.0,-9602.0,0,0,0,NONE,0,2019-06-14T15:18:47.640115
-6651.0,-246.0,1753.0,-4278.0,9283.0,14045.0,-9593.0,0,0,0,NONE,0,2019-06-14T15:18:48.209922
-6619.0,-253.0,1726.0,-4245.0,9262.0,14064.0,-9618.0,0,0,0,NONE,0,2019-06-14T15:18:48.774367
-6591.0,-249.0,1793.0,-4267.0,9266.0,14032.0,-9647.0,0,0,0,NONE,0,2019-06-14T15:18:49.346498
-6584.0,-256.0,1755.0,-4257.0,9275.0,14071.0,-9644.0,0,0,0,NONE,0,2019-06-14T15:18:49.909272
-6628.0,-218.0,1753.0,-4284.0,9288.0,13991.0,-9698.0,0,0,0,NONE,0,2019-06-14T15:18:50.482843
-6607.0,-247.0,1730.0,-4285.0,9378.0,14102.0,-9659.0,0,0,0,NONE,0,2019-06-14T15:18:51.045401
-6621.0,-232.0,1735.0,-4282.0,9377.0,14037.0,-9687.0,0,0,0,NONE,0,2019-06-14T15:18:51.619673
-6592.0,-256.0,1732.0,-4292.0,9266.0,14093.0,-9692.0,0,0,0,NONE,0,2019-06-14T15:18:52.180981
-6647.0,-300.0,1725.0,-4276.0,9280.0,14100.0,-9702.0,0,0,0,NONE,0,2019-06-14T15:18:52.755745
-6635.0,-316.0,1716.0,-4319.0,9275.0,14139.0,-9731.0,0,0,0,NONE,0,2019-06-14T15:18:53.316379
-6560.0,-309.0,1750.0,-4309.0,9309.0,14155.0,-9770.0,0,0,0,NONE,0,2019-06-14T15:18:53.892836
-6651.0,-251.0,1717.0,-4323.0,9320.0,14087.0,-9677.0,0,0,0,NONE,0,2019-06-14T15:18:54.452632
-6621.0,-262.0,1756.0,-4318.0,9249.0,14148.0,-9698.0,0,0,0,NONE,0,2019-06-14T15:18:55.028293
-6632.0,-315.0,1684.0,-4312.0,9287.0,14144.0,-9737.0,0,0,0,NONE,0,2019-06-14T15:18:55.588255
-6625.0,-218.0,1671.0,-4275.0,9273.0,14122.0,-9756.0,0,0,0,NONE,0,2019-06-14T15:18:56.165116
