seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2232.0,-2364.0,2417.0,-1390.0,2018.0,804.0,-882.0,0,0,0,NONE,0,2019-06-14T12:24:52.166854
-2166.0,-2392.0,2408.0,-1379.0,2027.0,785.0,-883.0,0,0,0,NONE,0,2019-06-14T12:24:52.735145
-2151.0,-2368.0,2435.0,-1400.0,1894.0,785.0,-863.0,0,0,0,NONE,0,2019-06-14T12:24:53.302702
-2108.0,-2329.0,2446.0,-1405.0,1889.0,830.0,-879.0,0,0,0,NONE,0,2019-06-14T12:24:53.870441
-2033.0,-2270.0,2449.0,-1417.0,1807.0,817.0,-841.0,0,0,0,NONE,0,2019-06-14T12:24:54.438034
-2058.0,-2224.0,2451.0,-1461.0,1777.0,827.0,-861.0,0,0,0,NONE,0,2019-06-14T12:24:55.005651
-2000.0,-2242.0,2431.0,-1432.0,1665.0,857.0,-938.0,0,0,0,NONE,0,2019-06-14T12:24:55.573224
-1893.0,-2155.0,2462.0,-1465.0,1596.0,843.0,-881.0,0,0,0,NONE,0,2019-06-14T12:24:56.141145
-1921.0,-2103.0,2420.0,-1569.0,1603.0,839.0,-856.0,0,0,0,NONE,0,2019-06-14T12:24:56.708722
-1834.0,-2117.0,2471.0,-1525.0,1568.0,815.0,-915.0,0,0,0,NONE,0,2019-06-14T12:24:57.276378
-1822.0,-2086.0,2431.0,-1599.0,1506.0,696.0,-908.0,0,0,0,NONE,0,2019-06-14T12:24:57.843588
-1826.0,-2048.0,2396.0,-1627.0,1455.0,727.0,-880.0,0,0,0,NONE,0,2019-06-14T12:24:58.411692
-1785.0,-1996.0,2348.0,-1612.0,1442.0,578.0,-930.0,0,0,0,NONE,0,2019-06-14T12:24:58.979275
-1750.0,-1997.0,2367.0,-1609.0,1384.0,575.0,-816.0,0,0,0,NONE,0,2019-06-14T12:24:59.547109
-1771.0,-1970.0,2345.0,-1645.0,1326.0,561.0,-862.0,0,0,0,NONE,0,2019-06-14T12:25:00.114724
-1727.0,-1913.0,2326.0,-1628.0,1248.0,547.0,-839.0,0,0,0,NONE,0,2019-06-14T12:25:00.682400
-1662.0,-1877.0,2277.0,-1628.0,1204.0,520.0,-827.0,0,0,0,NONE,0,2019-06-14T12:25:01.249779
-1645.0,-1873.0,2274.0,-1674.0,1185.0,475.0,-864.0,0,0,0,NONE,0,2019-06-14T12:25:01.817751
-1598.0,-1849.0,2275.0,-1645.0,1113.0,424.0,-863.0,0,0,0,NONE,0,2019-06-14T12:25:02.385548
-1568.0,-1876.0,2231.0,-1724.0,1133.0,368.0,-858.0,0,0,0,NONE,0,2019-06-14T12:25:02.952955
