seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3476.0,-4367.0,3424.0,310.0,5598.0,3313.0,-1012.0,0,0,0,NONE,0,2019-06-14T12:02:50.533870
-3391.0,-4370.0,3474.0,324.0,5617.0,3288.0,-1048.0,0,0,0,NONE,0,2019-06-14T12:02:51.114684
-3452.0,-4372.0,3451.0,309.0,5647.0,3339.0,-1047.0,0,0,0,NONE,0,2019-06-14T12:02:51.669341
-3426.0,-4370.0,3470.0,250.0,5641.0,3320.0,-1028.0,0,0,0,NONE,0,2019-06-14T12:02:52.250905
-3470.0,-4358.0,3445.0,282.0,5708.0,3342.0,-1065.0,0,0,0,NONE,0,2019-06-14T12:02:52.804505
-3470.0,-4317.0,3500.0,316.0,5631.0,3385.0,-1090.0,0,0,0,NONE,0,2019-06-14T12:02:53.387166
-3468.0,-4406.0,3484.0,300.0,5600.0,3344.0,-1065.0,0,0,0,NONE,0,2019-06-14T12:02:53.939679
-3446.0,-4382.0,3443.0,291.0,5664.0,3377.0,-1179.0,0,0,0,NONE,0,2019-06-14T12:02:54.523402
-3418.0,-4348.0,3430.0,257.0,5576.0,3342.0,-1066.0,0,0,0,NONE,0,2019-06-14T12:02:55.074813
-3417.0,-4403.0,3459.0,243.0,5592.0,3352.0,-1155.0,0,0,0,NONE,0,2019-06-14T12:02:55.659596
-3397.0,-4451.0,3498.0,248.0,5618.0,3354.0,-1135.0,0,0,0,NONE,0,2019-06-14T12:02:56.210024
-3381.0,-4387.0,3480.0,330.0,5641.0,3362.0,-1169.0,0,0,0,NONE,0,2019-06-14T12:02:56.796333
-3395.0,-4321.0,3477.0,248.0,5626.0,3315.0,-1119.0,0,0,0,NONE,0,2019-06-14T12:02:57.345254
-3409.0,-4408.0,3505.0,348.0,5682.0,3308.0,-1154.0,0,0,0,NONE,0,2019-06-14T12:02:57.932216
-3406.0,-4396.0,3493.0,269.0,5588.0,3293.0,-1156.0,0,0,0,NONE,0,2019-06-14T12:02:58.480474
-3442.0,-4391.0,3543.0,271.0,5634.0,3300.0,-1161.0,0,0,0,NONE,0,2019-06-14T12:02:59.068076
-3314.0,-4412.0,3491.0,227.0,5640.0,3363.0,-1163.0,0,0,0,NONE,0,2019-06-14T12:02:59.615784
-3367.0,-4357.0,3528.0,259.0,5630.0,3295.0,-1150.0,0,0,0,NONE,0,2019-06-14T12:03:00.204748
-3314.0,-4395.0,3512.0,179.0,5596.0,3301.0,-1247.0,0,0,0,NONE,0,2019-06-14T12:03:00.750927
-3335.0,-4353.0,3464.0,174.0,5579.0,3284.0,-1219.0,0,0,0,NONE,0,2019-06-14T12:03:01.340707
