seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4418.0,-2601.0,1369.0,3688.0,3720.0,-282.0,4608.0,0,0,0,NONE,0,2019-06-14T12:54:52.420624
-4440.0,-2560.0,1375.0,3611.0,3709.0,-280.0,4499.0,0,0,0,NONE,0,2019-06-14T12:54:52.980193
-4408.0,-2571.0,1430.0,3641.0,3740.0,-177.0,4482.0,0,0,0,NONE,0,2019-06-14T12:54:53.556804
-4434.0,-2603.0,1463.0,3660.0,3744.0,-144.0,4470.0,0,0,0,NONE,0,2019-06-14T12:54:54.115396
-4405.0,-2596.0,1434.0,3637.0,3806.0,-239.0,4499.0,0,0,0,NONE,0,2019-06-14T12:54:54.692810
-4351.0,-2640.0,1400.0,3658.0,3773.0,-151.0,4421.0,0,0,0,NONE,0,2019-06-14T12:54:55.250479
-4410.0,-2597.0,1381.0,3610.0,3790.0,-191.0,4484.0,0,0,0,NONE,0,2019-06-14T12:54:55.829306
-4447.0,-2613.0,1445.0,3614.0,3823.0,-138.0,4419.0,0,0,0,NONE,0,2019-06-14T12:54:56.386855
-4413.0,-2606.0,1434.0,3599.0,3836.0,-122.0,4376.0,0,0,0,NONE,0,2019-06-14T12:54:56.965008
-4468.0,-2647.0,1451.0,3668.0,3863.0,-135.0,4406.0,0,0,0,NONE,0,2019-06-14T12:54:57.520915
-4468.0,-2650.0,1424.0,3582.0,3853.0,-137.0,4366.0,0,0,0,NONE,0,2019-06-14T12:54:58.100342
-4443.0,-2661.0,1395.0,3543.0,3881.0,-78.0,4353.0,0,0,0,NONE,0,2019-06-14T12:54:58.655861
-4427.0,-2676.0,1459.0,3593.0,3813.0,-100.0,4349.0,0,0,0,NONE,0,2019-06-14T12:54:59.236603
-4440.0,-2711.0,1444.0,3556.0,3909.0,-46.0,4252.0,0,0,0,NONE,0,2019-06-14T12:54:59.791063
-4443.0,-2671.0,1473.0,3565.0,3932.0,-63.0,4334.0,0,0,0,NONE,0,2019-06-14T12:55:00.372255
-4504.0,-2746.0,1437.0,3532.0,3909.0,-23.0,4285.0,0,0,0,NONE,0,2019-06-14T12:55:00.926460
-4494.0,-2701.0,1470.0,3532.0,3915.0,-3.0,4284.0,0,0,0,NONE,0,2019-06-14T12:55:01.508084
-4480.0,-2715.0,1509.0,3502.0,3932.0,-62.0,4208.0,0,0,0,NONE,0,2019-06-14T12:55:02.061806
-4509.0,-2761.0,1427.0,3509.0,3956.0,-23.0,4190.0,0,0,0,NONE,0,2019-06-14T12:55:02.644274
-4533.0,-2809.0,1500.0,3518.0,3925.0,3.0,4252.0,0,0,0,NONE,0,2019-06-14T12:55:03.197139
