seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4637.0,-4084.0,1655.0,2595.0,5331.0,1125.0,2194.0,0,0,0,NONE,0,2019-06-14T12:56:23.218787
-4673.0,-4066.0,1705.0,2645.0,5301.0,1201.0,2172.0,0,0,0,NONE,0,2019-06-14T12:56:23.816505
-4703.0,-4113.0,1745.0,2666.0,5293.0,1162.0,2124.0,0,0,0,NONE,0,2019-06-14T12:56:24.354097
-4704.0,-4078.0,1725.0,2700.0,5374.0,1242.0,2134.0,0,0,0,NONE,0,2019-06-14T12:56:24.952572
-4655.0,-4077.0,1733.0,2639.0,5359.0,1181.0,2096.0,0,0,0,NONE,0,2019-06-14T12:56:25.489291
-4667.0,-4118.0,1689.0,2621.0,5342.0,1268.0,2087.0,0,0,0,NONE,0,2019-06-14T12:56:26.088557
-4661.0,-4134.0,1680.0,2627.0,5414.0,1211.0,2136.0,0,0,0,NONE,0,2019-06-14T12:56:26.624166
-4694.0,-4113.0,1780.0,2626.0,5431.0,1266.0,2095.0,0,0,0,NONE,0,2019-06-14T12:56:27.224478
-4647.0,-4117.0,1740.0,2617.0,5407.0,1260.0,2129.0,0,0,0,NONE,0,2019-06-14T12:56:27.759217
-4644.0,-4121.0,1717.0,2592.0,5374.0,1251.0,2082.0,0,0,0,NONE,0,2019-06-14T12:56:28.360499
-4688.0,-4134.0,1689.0,2588.0,5399.0,1286.0,2047.0,0,0,0,NONE,0,2019-06-14T12:56:28.894202
-4644.0,-4205.0,1747.0,2614.0,5411.0,1322.0,2107.0,0,0,0,NONE,0,2019-06-14T12:56:29.496582
-4636.0,-4235.0,1720.0,2604.0,5433.0,1210.0,2063.0,0,0,0,NONE,0,2019-06-14T12:56:30.029213
-4706.0,-4179.0,1736.0,2545.0,5394.0,1232.0,2037.0,0,0,0,NONE,0,2019-06-14T12:56:30.632346
-4636.0,-4194.0,1727.0,2546.0,5391.0,1266.0,2009.0,0,0,0,NONE,0,2019-06-14T12:56:31.164180
-4644.0,-4195.0,1721.0,2509.0,5442.0,1327.0,1981.0,0,0,0,NONE,0,2019-06-14T12:56:31.768540
-4727.0,-4203.0,1706.0,2572.0,5466.0,1324.0,1985.0,0,0,0,NONE,0,2019-06-14T12:56:32.300096
-4674.0,-4210.0,1772.0,2576.0,5529.0,1292.0,1977.0,0,0,0,NONE,0,2019-06-14T12:56:32.904813
-4641.0,-4206.0,1757.0,2604.0,5410.0,1301.0,1974.0,0,0,0,NONE,0,2019-06-14T12:56:33.434622
-4689.0,-4259.0,1727.0,2639.0,5550.0,1336.0,1936.0,0,0,0,NONE,0,2019-06-14T12:56:34.040932
