seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3771.0,15276.0,6079.0,-1591.0,-22761.0,-10114.0,9357.0,0,0,0,NONE,0,2019-06-14T16:36:17.923825
3833.0,15319.0,6067.0,-1658.0,-22804.0,-10101.0,9381.0,0,0,0,NONE,0,2019-06-14T16:36:18.491728
3819.0,15306.0,6089.0,-1661.0,-22803.0,-10140.0,9401.0,0,0,0,NONE,0,2019-06-14T16:36:19.061519
3854.0,15337.0,6130.0,-1673.0,-22843.0,-10180.0,9510.0,0,0,0,NONE,0,2019-06-14T16:36:19.628122
3850.0,15333.0,6158.0,-1763.0,-22828.0,-10199.0,9453.0,0,0,0,NONE,0,2019-06-14T16:36:20.195925
3946.0,15379.0,6163.0,-1685.0,-21469.0,-10258.0,9447.0,0,0,0,NONE,0,2019-06-14T16:36:20.763256
3994.0,15383.0,6166.0,-1753.0,-21817.0,-10329.0,9409.0,0,0,0,NONE,0,2019-06-14T16:36:21.331615
4042.0,15379.0,6158.0,-1802.0,-21921.0,-10390.0,9513.0,0,0,0,NONE,0,2019-06-14T16:36:21.899114
4039.0,15413.0,6254.0,-1877.0,-21963.0,-10423.0,9560.0,0,0,0,NONE,0,2019-06-14T16:36:22.466700
4086.0,15451.0,6275.0,-1895.0,-21978.0,-10405.0,9529.0,0,0,0,NONE,0,2019-06-14T16:36:23.034702
4116.0,15419.0,6225.0,-1897.0,-21980.0,-10426.0,9552.0,0,0,0,NONE,0,2019-06-14T16:36:23.601940
4085.0,15433.0,6341.0,-1919.0,-22070.0,-10393.0,9512.0,0,0,0,NONE,0,2019-06-14T16:36:24.170312
4182.0,15399.0,6356.0,-1957.0,-22033.0,-10367.0,9566.0,0,0,0,NONE,0,2019-06-14T16:36:24.737740
4080.0,15436.0,6407.0,-1966.0,-22155.0,-10337.0,9481.0,0,0,0,NONE,0,2019-06-14T16:36:25.306454
4083.0,15435.0,6408.0,-1942.0,-22204.0,-10387.0,9501.0,0,0,0,NONE,0,2019-06-14T16:36:25.873490
4127.0,15455.0,6423.0,-1969.0,-22249.0,-10392.0,9500.0,0,0,0,NONE,0,2019-06-14T16:36:26.442422
4074.0,15477.0,6507.0,-1981.0,-22240.0,-10285.0,9542.0,0,0,0,NONE,0,2019-06-14T16:36:27.009421
4166.0,15486.0,6501.0,-1991.0,-22265.0,-10356.0,9519.0,0,0,0,NONE,0,2019-06-14T16:36:27.577496
4130.0,15531.0,6523.0,-1974.0,-22253.0,-10288.0,9500.0,0,0,0,NONE,0,2019-06-14T16:36:28.144644
4138.0,15569.0,6601.0,-1960.0,-22249.0,-10242.0,9554.0,0,0,0,NONE,0,2019-06-14T16:36:28.713329
