seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-879.0,9284.0,1184.0,-2358.0,2542.0,25.0,-3537.0,0,0,0,NONE,0,2019-06-14T14:19:02.970388
-896.0,9276.0,1188.0,-2431.0,2574.0,4.0,-3495.0,0,0,0,NONE,0,2019-06-14T14:19:03.532240
-867.0,9241.0,1063.0,-2439.0,2522.0,26.0,-3427.0,0,0,0,NONE,0,2019-06-14T14:19:04.107096
-883.0,9312.0,1105.0,-2384.0,2553.0,-7.0,-3436.0,0,0,0,NONE,0,2019-06-14T14:19:04.667063
-920.0,9249.0,1173.0,-2379.0,2532.0,31.0,-3438.0,0,0,0,NONE,0,2019-06-14T14:19:05.243112
-847.0,9299.0,1069.0,-2419.0,2486.0,44.0,-3370.0,0,0,0,NONE,0,2019-06-14T14:19:05.802185
-882.0,9334.0,1031.0,-2431.0,2453.0,38.0,-3407.0,0,0,0,NONE,0,2019-06-14T14:19:06.379170
-912.0,9302.0,1045.0,-2452.0,2463.0,-26.0,-3361.0,0,0,0,NONE,0,2019-06-14T14:19:06.936961
-882.0,9357.0,986.0,-2453.0,2518.0,-89.0,-3343.0,0,0,0,NONE,0,2019-06-14T14:19:07.515146
-926.0,9355.0,955.0,-2355.0,2487.0,-129.0,-3258.0,0,0,0,NONE,0,2019-06-14T14:19:08.071637
-928.0,9357.0,941.0,-2381.0,2401.0,-99.0,-3330.0,0,0,0,NONE,0,2019-06-14T14:19:08.651035
-972.0,9385.0,907.0,-2440.0,2414.0,-81.0,-3291.0,0,0,0,NONE,0,2019-06-14T14:19:09.206514
-937.0,9410.0,922.0,-2356.0,2366.0,-74.0,-3300.0,0,0,0,NONE,0,2019-06-14T14:19:09.786935
-883.0,9397.0,872.0,-2424.0,2358.0,-18.0,-3275.0,0,0,0,NONE,0,2019-06-14T14:19:10.341156
-882.0,9418.0,830.0,-2486.0,2437.0,0.0,-3332.0,0,0,0,NONE,0,2019-06-14T14:19:10.922556
-883.0,9437.0,821.0,-2431.0,2363.0,51.0,-3309.0,0,0,0,NONE,0,2019-06-14T14:19:11.476055
-896.0,9392.0,822.0,-2410.0,2353.0,64.0,-3358.0,0,0,0,NONE,0,2019-06-14T14:19:12.058431
-916.0,9461.0,752.0,-2442.0,2340.0,56.0,-3323.0,0,0,0,NONE,0,2019-06-14T14:19:12.610837
-973.0,9383.0,718.0,-2381.0,2395.0,61.0,-3264.0,0,0,0,NONE,0,2019-06-14T14:19:13.194375
-950.0,9427.0,626.0,-2467.0,2410.0,4.0,-3266.0,0,0,0,NONE,0,2019-06-14T14:19:13.745126
