seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-767.0,8332.0,734.0,-2434.0,4076.0,718.0,-4964.0,0,0,0,NONE,0,2019-06-14T14:18:06.222242
-798.0,8301.0,670.0,-2451.0,4016.0,721.0,-4971.0,0,0,0,NONE,0,2019-06-14T14:18:06.793358
-798.0,8326.0,699.0,-2419.0,4023.0,543.0,-4989.0,0,0,0,NONE,0,2019-06-14T14:18:07.358469
-749.0,8290.0,680.0,-2405.0,4053.0,517.0,-4948.0,0,0,0,NONE,0,2019-06-14T14:18:07.929301
-809.0,8421.0,695.0,-2359.0,3970.0,445.0,-4927.0,0,0,0,NONE,0,2019-06-14T14:18:08.493501
-827.0,8339.0,715.0,-2412.0,3878.0,369.0,-4912.0,0,0,0,NONE,0,2019-06-14T14:18:09.065398
-837.0,8326.0,690.0,-2400.0,3986.0,446.0,-4912.0,0,0,0,NONE,0,2019-06-14T14:18:09.627947
-775.0,8367.0,723.0,-2356.0,4000.0,408.0,-4907.0,0,0,0,NONE,0,2019-06-14T14:18:10.201285
-820.0,8470.0,693.0,-2391.0,3927.0,404.0,-4861.0,0,0,0,NONE,0,2019-06-14T14:18:10.763379
-741.0,8356.0,712.0,-2384.0,3881.0,417.0,-4924.0,0,0,0,NONE,0,2019-06-14T14:18:11.337129
-735.0,8403.0,794.0,-2372.0,3855.0,364.0,-4866.0,0,0,0,NONE,0,2019-06-14T14:18:11.898683
-713.0,8434.0,732.0,-2394.0,3829.0,418.0,-4933.0,0,0,0,NONE,0,2019-06-14T14:18:12.472988
-755.0,8372.0,731.0,-2382.0,3833.0,414.0,-4949.0,0,0,0,NONE,0,2019-06-14T14:18:13.033607
-758.0,8349.0,742.0,-2403.0,3777.0,481.0,-4817.0,0,0,0,NONE,0,2019-06-14T14:18:13.609038
-780.0,8409.0,796.0,-2442.0,3798.0,451.0,-4852.0,0,0,0,NONE,0,2019-06-14T14:18:14.168365
-710.0,8338.0,801.0,-2446.0,3674.0,506.0,-4874.0,0,0,0,NONE,0,2019-06-14T14:18:14.744947
-756.0,8434.0,809.0,-2440.0,3737.0,505.0,-4829.0,0,0,0,NONE,0,2019-06-14T14:18:15.303254
-737.0,8371.0,800.0,-2452.0,3774.0,494.0,-4803.0,0,0,0,NONE,0,2019-06-14T14:18:15.880935
-748.0,8409.0,822.0,-2406.0,3692.0,487.0,-4756.0,0,0,0,NONE,0,2019-06-14T14:18:16.437489
-770.0,8440.0,792.0,-2406.0,3607.0,450.0,-4776.0,0,0,0,NONE,0,2019-06-14T14:18:17.016973
