seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1599.0,5419.0,6295.0,-2125.0,465.0,-1859.0,-2877.0,0,0,0,NONE,0,2019-06-14T15:58:32.827419
-1524.0,5430.0,6284.0,-2134.0,468.0,-1903.0,-2819.0,0,0,0,NONE,0,2019-06-14T15:58:33.409008
-1534.0,5398.0,6307.0,-2192.0,474.0,-1886.0,-2805.0,0,0,0,NONE,0,2019-06-14T15:58:33.964545
-1526.0,5359.0,6262.0,-2128.0,472.0,-1981.0,-2858.0,0,0,0,NONE,0,2019-06-14T15:58:34.546392
-1529.0,5397.0,6273.0,-2206.0,503.0,-1937.0,-2892.0,0,0,0,NONE,0,2019-06-14T15:58:35.100445
-1555.0,5394.0,6305.0,-2166.0,485.0,-1953.0,-2851.0,0,0,0,NONE,0,2019-06-14T15:58:35.683015
-1533.0,5370.0,6269.0,-2128.0,492.0,-2012.0,-2816.0,0,0,0,NONE,0,2019-06-14T15:58:36.236423
-1553.0,5385.0,6243.0,-2127.0,472.0,-1971.0,-2786.0,0,0,0,NONE,0,2019-06-14T15:58:36.820045
-1588.0,5408.0,6242.0,-2118.0,464.0,-1981.0,-2814.0,0,0,0,NONE,0,2019-06-14T15:58:37.373214
-1554.0,5407.0,6257.0,-2167.0,480.0,-2036.0,-2811.0,0,0,0,NONE,0,2019-06-14T15:58:37.956915
-1560.0,5484.0,6243.0,-2143.0,481.0,-2038.0,-2847.0,0,0,0,NONE,0,2019-06-14T15:58:38.507424
-1525.0,5384.0,6309.0,-2194.0,543.0,-2075.0,-2811.0,0,0,0,NONE,0,2019-06-14T15:58:39.093681
-1490.0,5403.0,6230.0,-2162.0,518.0,-2106.0,-2812.0,0,0,0,NONE,0,2019-06-14T15:58:39.644397
-1525.0,5425.0,6268.0,-2159.0,511.0,-2064.0,-2836.0,0,0,0,NONE,0,2019-06-14T15:58:40.231339
-1512.0,5446.0,6217.0,-2111.0,594.0,-2121.0,-2824.0,0,0,0,NONE,0,2019-06-14T15:58:40.779540
-1581.0,5422.0,6327.0,-2181.0,511.0,-2160.0,-2764.0,0,0,0,NONE,0,2019-06-14T15:58:41.369557
-1532.0,5431.0,6264.0,-2191.0,513.0,-2140.0,-2727.0,0,0,0,NONE,0,2019-06-14T15:58:41.915377
-1600.0,5391.0,6275.0,-2142.0,542.0,-2161.0,-2737.0,0,0,0,NONE,0,2019-06-14T15:58:42.505043
-1520.0,5422.0,6257.0,-2172.0,521.0,-2150.0,-2792.0,0,0,0,NONE,0,2019-06-14T15:58:43.052194
-1592.0,5448.0,6208.0,-2150.0,540.0,-2145.0,-2785.0,0,0,0,NONE,0,2019-06-14T15:58:43.641725
