seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2568.0,-4679.0,3781.0,-321.0,5838.0,4016.0,-2241.0,0,0,0,NONE,0,2019-06-14T12:04:10.028491
-2509.0,-4666.0,3784.0,-332.0,5780.0,4000.0,-2192.0,0,0,0,NONE,0,2019-06-14T12:04:10.572360
-2548.0,-4693.0,3744.0,-361.0,5843.0,3951.0,-2203.0,0,0,0,NONE,0,2019-06-14T12:04:11.164832
-2561.0,-4668.0,3692.0,-386.0,5795.0,3943.0,-2197.0,0,0,0,NONE,0,2019-06-14T12:04:11.707538
-2532.0,-4640.0,3711.0,-326.0,5770.0,4003.0,-2235.0,0,0,0,NONE,0,2019-06-14T12:04:12.301149
-2502.0,-4641.0,3696.0,-298.0,5851.0,3963.0,-2238.0,0,0,0,NONE,0,2019-06-14T12:04:12.843173
-2565.0,-4596.0,3659.0,-367.0,5815.0,4024.0,-2242.0,0,0,0,NONE,0,2019-06-14T12:04:13.437334
-2523.0,-4627.0,3723.0,-315.0,5793.0,3982.0,-2292.0,0,0,0,NONE,0,2019-06-14T12:04:13.978390
-2477.0,-4638.0,3719.0,-407.0,5840.0,3950.0,-2291.0,0,0,0,NONE,0,2019-06-14T12:04:14.573688
-2503.0,-4722.0,3665.0,-357.0,5795.0,4008.0,-2222.0,0,0,0,NONE,0,2019-06-14T12:04:15.113880
-2512.0,-4629.0,3678.0,-351.0,5844.0,4017.0,-2253.0,0,0,0,NONE,0,2019-06-14T12:04:15.710042
-2525.0,-4649.0,3693.0,-345.0,5829.0,3997.0,-2259.0,0,0,0,NONE,0,2019-06-14T12:04:16.249498
-2552.0,-4717.0,3721.0,-370.0,5808.0,3998.0,-2250.0,0,0,0,NONE,0,2019-06-14T12:04:16.846215
-2478.0,-4652.0,3723.0,-316.0,5840.0,4028.0,-2266.0,0,0,0,NONE,0,2019-06-14T12:04:17.384132
-2551.0,-4630.0,3699.0,-395.0,5847.0,4054.0,-2343.0,0,0,0,NONE,0,2019-06-14T12:04:17.982415
-2484.0,-4626.0,3699.0,-380.0,5715.0,4034.0,-2313.0,0,0,0,NONE,0,2019-06-14T12:04:18.520337
-2466.0,-4637.0,3717.0,-380.0,5812.0,4073.0,-2333.0,0,0,0,NONE,0,2019-06-14T12:04:19.118725
-2514.0,-4652.0,3787.0,-418.0,5883.0,3988.0,-2320.0,0,0,0,NONE,0,2019-06-14T12:04:19.654944
-2492.0,-4683.0,3687.0,-422.0,5839.0,4066.0,-2302.0,0,0,0,NONE,0,2019-06-14T12:04:20.254862
-2500.0,-4667.0,3690.0,-422.0,5880.0,4001.0,-2314.0,0,0,0,NONE,0,2019-06-14T12:04:20.790351
