seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4112.0,-3942.0,3408.0,833.0,5482.0,2651.0,469.0,0,0,0,NONE,0,2019-06-14T12:01:42.427383
-4087.0,-3951.0,3342.0,835.0,5468.0,2653.0,447.0,0,0,0,NONE,0,2019-06-14T12:01:42.990440
-4053.0,-3992.0,3455.0,792.0,5435.0,2634.0,453.0,0,0,0,NONE,0,2019-06-14T12:01:43.563178
-4031.0,-4026.0,3384.0,821.0,5487.0,2631.0,430.0,0,0,0,NONE,0,2019-06-14T12:01:44.125519
-4022.0,-4006.0,3380.0,812.0,5496.0,2633.0,437.0,0,0,0,NONE,0,2019-06-14T12:01:44.699784
-4059.0,-3998.0,3410.0,822.0,5441.0,2616.0,435.0,0,0,0,NONE,0,2019-06-14T12:01:45.260748
-4038.0,-4006.0,3361.0,809.0,5476.0,2678.0,330.0,0,0,0,NONE,0,2019-06-14T12:01:45.835898
-4029.0,-4034.0,3308.0,806.0,5520.0,2634.0,342.0,0,0,0,NONE,0,2019-06-14T12:01:46.395891
-4078.0,-4008.0,3373.0,838.0,5485.0,2693.0,379.0,0,0,0,NONE,0,2019-06-14T12:01:46.972146
-4069.0,-4045.0,3401.0,784.0,5478.0,2680.0,330.0,0,0,0,NONE,0,2019-06-14T12:01:47.531065
-4042.0,-4027.0,3405.0,807.0,5465.0,2689.0,316.0,0,0,0,NONE,0,2019-06-14T12:01:48.107982
-4020.0,-4043.0,3340.0,802.0,5515.0,2730.0,276.0,0,0,0,NONE,0,2019-06-14T12:01:48.666342
-4019.0,-4050.0,3364.0,777.0,5457.0,2777.0,312.0,0,0,0,NONE,0,2019-06-14T12:01:49.244432
-3994.0,-4064.0,3373.0,756.0,5519.0,2727.0,276.0,0,0,0,NONE,0,2019-06-14T12:01:49.801389
-3983.0,-4039.0,3381.0,779.0,5397.0,2686.0,207.0,0,0,0,NONE,0,2019-06-14T12:01:50.380604
-3988.0,-4097.0,3380.0,721.0,5552.0,2726.0,262.0,0,0,0,NONE,0,2019-06-14T12:01:50.936552
-3967.0,-4005.0,3412.0,756.0,5474.0,2721.0,245.0,0,0,0,NONE,0,2019-06-14T12:01:51.516907
-3992.0,-4078.0,3430.0,798.0,5498.0,2755.0,200.0,0,0,0,NONE,0,2019-06-14T12:01:52.071571
-3961.0,-4012.0,3387.0,753.0,5521.0,2749.0,259.0,0,0,0,NONE,0,2019-06-14T12:01:52.652981
-3960.0,-4084.0,3390.0,786.0,5517.0,2700.0,215.0,0,0,0,NONE,0,2019-06-14T12:01:53.207305
