seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6621.0,-584.0,1617.0,-4624.0,9366.0,14308.0,-10372.0,0,0,0,NONE,0,2019-06-14T15:19:30.787970
-6558.0,-624.0,1634.0,-4582.0,9441.0,14189.0,-10395.0,0,0,0,NONE,0,2019-06-14T15:19:31.356420
-6624.0,-572.0,1584.0,-4581.0,9394.0,14265.0,-10397.0,0,0,0,NONE,0,2019-06-14T15:19:31.924289
-6563.0,-606.0,1631.0,-4580.0,9394.0,14248.0,-10410.0,0,0,0,NONE,0,2019-06-14T15:19:32.492991
-6552.0,-607.0,1610.0,-4603.0,9384.0,14238.0,-10413.0,0,0,0,NONE,0,2019-06-14T15:19:33.059747
-6615.0,-659.0,1634.0,-4579.0,9404.0,14178.0,-10451.0,0,0,0,NONE,0,2019-06-14T15:19:33.627276
-6549.0,-607.0,1600.0,-4648.0,9410.0,14139.0,-10443.0,0,0,0,NONE,0,2019-06-14T15:19:34.195134
-6558.0,-627.0,1593.0,-4621.0,9344.0,14218.0,-10444.0,0,0,0,NONE,0,2019-06-14T15:19:34.762995
-6595.0,-583.0,1602.0,-4559.0,9350.0,14162.0,-10441.0,0,0,0,NONE,0,2019-06-14T15:19:35.331188
-6585.0,-583.0,1621.0,-4546.0,9318.0,14209.0,-10475.0,0,0,0,NONE,0,2019-06-14T15:19:35.898631
-6543.0,-537.0,1629.0,-4581.0,9378.0,14129.0,-10509.0,0,0,0,NONE,0,2019-06-14T15:19:36.467870
-6614.0,-543.0,1622.0,-4621.0,9363.0,14165.0,-10503.0,0,0,0,NONE,0,2019-06-14T15:19:37.034012
-6567.0,-641.0,1617.0,-4599.0,9320.0,14206.0,-10516.0,0,0,0,NONE,0,2019-06-14T15:19:37.601856
-6536.0,-595.0,1567.0,-4547.0,9255.0,14223.0,-10515.0,0,0,0,NONE,0,2019-06-14T15:19:38.169345
-6618.0,-578.0,1650.0,-4580.0,9274.0,14121.0,-10479.0,0,0,0,NONE,0,2019-06-14T15:19:38.737443
-6579.0,-604.0,1597.0,-4577.0,9311.0,14193.0,-10487.0,0,0,0,NONE,0,2019-06-14T15:19:39.305395
-6559.0,-604.0,1604.0,-4612.0,9322.0,14129.0,-10545.0,0,0,0,NONE,0,2019-06-14T15:19:39.873712
-6534.0,-652.0,1618.0,-4614.0,9288.0,14161.0,-10528.0,0,0,0,NONE,0,2019-06-14T15:19:40.440890
-6561.0,-594.0,1627.0,-4640.0,9340.0,14202.0,-10554.0,0,0,0,NONE,0,2019-06-14T15:19:41.010696
-6600.0,-657.0,1623.0,-4631.0,9393.0,14179.0,-10597.0,0,0,0,NONE,0,2019-06-14T15:19:41.576859
