seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7834.0,-1283.0,2705.0,-2324.0,17187.0,8324.0,-8478.0,0,0,0,NONE,0,2019-06-14T14:44:28.830844
-7793.0,-1241.0,2754.0,-2320.0,17199.0,8310.0,-8498.0,0,0,0,NONE,0,2019-06-14T14:44:29.399849
-7861.0,-1290.0,2697.0,-2336.0,17126.0,8268.0,-8507.0,0,0,0,NONE,0,2019-06-14T14:44:29.967163
-7815.0,-1259.0,2712.0,-2341.0,17194.0,8347.0,-8550.0,0,0,0,NONE,0,2019-06-14T14:44:30.535436
-7803.0,-1282.0,2679.0,-2359.0,17209.0,8361.0,-8507.0,0,0,0,NONE,0,2019-06-14T14:44:31.101807
-7794.0,-1301.0,2695.0,-2356.0,17192.0,8310.0,-8561.0,0,0,0,NONE,0,2019-06-14T14:44:31.669251
-7847.0,-1259.0,2701.0,-2342.0,17151.0,8317.0,-8556.0,0,0,0,NONE,0,2019-06-14T14:44:32.236352
-7812.0,-1276.0,2680.0,-2401.0,17246.0,8350.0,-8586.0,0,0,0,NONE,0,2019-06-14T14:44:32.805660
-7845.0,-1330.0,2665.0,-2389.0,17164.0,8367.0,-8624.0,0,0,0,NONE,0,2019-06-14T14:44:33.371603
-7820.0,-1352.0,2674.0,-2406.0,17219.0,8347.0,-8610.0,0,0,0,NONE,0,2019-06-14T14:44:33.941330
-7813.0,-1338.0,2687.0,-2373.0,17295.0,8411.0,-8605.0,0,0,0,NONE,0,2019-06-14T14:44:34.505678
-7813.0,-1324.0,2682.0,-2370.0,17244.0,8331.0,-8592.0,0,0,0,NONE,0,2019-06-14T14:44:35.076905
-7859.0,-1264.0,2622.0,-2373.0,17277.0,8354.0,-8671.0,0,0,0,NONE,0,2019-06-14T14:44:35.642373
-7894.0,-1376.0,2655.0,-2389.0,17239.0,8365.0,-8642.0,0,0,0,NONE,0,2019-06-14T14:44:36.213010
-7866.0,-1356.0,2677.0,-2365.0,17315.0,8380.0,-8650.0,0,0,0,NONE,0,2019-06-14T14:44:36.776311
-7846.0,-1296.0,2738.0,-2363.0,17274.0,8348.0,-8678.0,0,0,0,NONE,0,2019-06-14T14:44:37.349309
-7908.0,-1388.0,2665.0,-2441.0,17328.0,8382.0,-8644.0,0,0,0,NONE,0,2019-06-14T14:44:37.910298
-7833.0,-1330.0,2675.0,-2398.0,17321.0,8415.0,-8664.0,0,0,0,NONE,0,2019-06-14T14:44:38.485194
-7834.0,-1341.0,2688.0,-2428.0,17332.0,8382.0,-8623.0,0,0,0,NONE,0,2019-06-14T14:44:39.046921
-7909.0,-1325.0,2712.0,-2410.0,17333.0,8401.0,-8653.0,0,0,0,NONE,0,2019-06-14T14:44:39.620980
