seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4775.0,2133.0,3804.0,-1814.0,-7282.0,-4266.0,2051.0,0,0,0,NONE,0,2019-06-14T12:08:08.482494
4733.0,2186.0,3850.0,-1777.0,-7266.0,-4286.0,2159.0,0,0,0,NONE,0,2019-06-14T12:08:09.049993
4785.0,2165.0,3904.0,-1786.0,-7277.0,-4310.0,2143.0,0,0,0,NONE,0,2019-06-14T12:08:09.617988
4867.0,2135.0,3960.0,-1754.0,-7276.0,-4307.0,2160.0,0,0,0,NONE,0,2019-06-14T12:08:10.184946
4818.0,2107.0,4033.0,-1822.0,-7338.0,-4355.0,2188.0,0,0,0,NONE,0,2019-06-14T12:08:10.752624
4924.0,2126.0,4037.0,-1773.0,-7292.0,-4328.0,2218.0,0,0,0,NONE,0,2019-06-14T12:08:11.320217
4921.0,2123.0,4055.0,-1796.0,-7270.0,-4226.0,2182.0,0,0,0,NONE,0,2019-06-14T12:08:11.887468
4877.0,2108.0,4041.0,-1721.0,-7322.0,-4123.0,2203.0,0,0,0,NONE,0,2019-06-14T12:08:12.456406
4913.0,2136.0,4052.0,-1680.0,-7366.0,-4187.0,2297.0,0,0,0,NONE,0,2019-06-14T12:08:13.022262
4848.0,2123.0,4107.0,-1675.0,-7344.0,-4140.0,2239.0,0,0,0,NONE,0,2019-06-14T12:08:13.592532
4872.0,2193.0,4089.0,-1644.0,-7358.0,-4155.0,2279.0,0,0,0,NONE,0,2019-06-14T12:08:14.157022
4855.0,2153.0,4082.0,-1631.0,-7375.0,-4118.0,2283.0,0,0,0,NONE,0,2019-06-14T12:08:14.728545
4907.0,2188.0,4128.0,-1683.0,-7362.0,-4217.0,2303.0,0,0,0,NONE,0,2019-06-14T12:08:15.291666
4983.0,2177.0,4137.0,-1603.0,-7467.0,-4242.0,2328.0,0,0,0,NONE,0,2019-06-14T12:08:15.864361
5038.0,2184.0,4228.0,-1662.0,-7382.0,-4280.0,2407.0,0,0,0,NONE,0,2019-06-14T12:08:16.426708
5016.0,2181.0,4217.0,-1705.0,-7482.0,-4347.0,2483.0,0,0,0,NONE,0,2019-06-14T12:08:17.001020
5125.0,2187.0,4219.0,-1700.0,-7474.0,-4304.0,2488.0,0,0,0,NONE,0,2019-06-14T12:08:17.561458
5107.0,2199.0,4326.0,-1728.0,-7498.0,-4312.0,2575.0,0,0,0,NONE,0,2019-06-14T12:08:18.136870
5111.0,2202.0,4292.0,-1689.0,-7514.0,-4381.0,2552.0,0,0,0,NONE,0,2019-06-14T12:08:18.696106
5130.0,2166.0,4302.0,-1691.0,-7501.0,-4367.0,2552.0,0,0,0,NONE,0,2019-06-14T12:08:19.272954
