seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-871.0,3715.0,4350.0,-3324.0,3635.0,7795.0,-2806.0,0,0,0,NONE,0,2019-06-14T15:14:35.585029
-906.0,3695.0,4410.0,-3357.0,3691.0,7839.0,-2851.0,0,0,0,NONE,0,2019-06-14T15:14:36.153501
-920.0,3652.0,4376.0,-3377.0,3668.0,7893.0,-2867.0,0,0,0,NONE,0,2019-06-14T15:14:36.719959
-929.0,3656.0,4421.0,-3332.0,3773.0,7924.0,-2893.0,0,0,0,NONE,0,2019-06-14T15:14:37.288651
-951.0,3643.0,4412.0,-3297.0,3749.0,7945.0,-2888.0,0,0,0,NONE,0,2019-06-14T15:14:37.856179
-945.0,3623.0,4400.0,-3348.0,3797.0,7957.0,-3012.0,0,0,0,NONE,0,2019-06-14T15:14:38.424370
-1029.0,3589.0,4422.0,-3330.0,3844.0,7952.0,-2952.0,0,0,0,NONE,0,2019-06-14T15:14:38.991562
-1015.0,3539.0,4378.0,-3317.0,3823.0,8043.0,-2999.0,0,0,0,NONE,0,2019-06-14T15:14:39.561109
-1075.0,3534.0,4443.0,-3345.0,3937.0,8004.0,-2974.0,0,0,0,NONE,0,2019-06-14T15:14:40.125802
-1028.0,3622.0,4401.0,-3348.0,3839.0,8078.0,-3047.0,0,0,0,NONE,0,2019-06-14T15:14:40.696689
-1082.0,3588.0,4393.0,-3332.0,3947.0,8124.0,-3040.0,0,0,0,NONE,0,2019-06-14T15:14:41.261612
-1034.0,3562.0,4397.0,-3327.0,4002.0,8147.0,-3037.0,0,0,0,NONE,0,2019-06-14T15:14:41.833639
-1051.0,3515.0,4356.0,-3265.0,4043.0,8207.0,-3069.0,0,0,0,NONE,0,2019-06-14T15:14:42.396176
-1096.0,3487.0,4408.0,-3270.0,4014.0,8148.0,-3083.0,0,0,0,NONE,0,2019-06-14T15:14:42.969346
-1115.0,3547.0,4373.0,-3274.0,4034.0,8138.0,-3120.0,0,0,0,NONE,0,2019-06-14T15:14:43.531016
-1220.0,3429.0,4355.0,-3411.0,3973.0,8078.0,-3180.0,0,0,0,NONE,0,2019-06-14T15:14:44.105864
-1184.0,3548.0,4362.0,-3303.0,4102.0,8228.0,-3194.0,0,0,0,NONE,0,2019-06-14T15:14:44.665737
-1235.0,3485.0,4338.0,-3329.0,4151.0,8224.0,-3210.0,0,0,0,NONE,0,2019-06-14T15:14:45.242062
-1231.0,3456.0,4301.0,-3297.0,4150.0,8296.0,-3201.0,0,0,0,NONE,0,2019-06-14T15:14:45.802765
-1197.0,3455.0,4312.0,-3271.0,4262.0,8295.0,-3233.0,0,0,0,NONE,0,2019-06-14T15:14:46.378056
