seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6477.0,-653.0,1110.0,-4855.0,9502.0,15820.0,-12154.0,0,0,0,NONE,0,2019-06-14T15:22:09.789686
-6444.0,-627.0,1127.0,-4844.0,9491.0,15791.0,-12111.0,0,0,0,NONE,0,2019-06-14T15:22:10.360630
-6504.0,-636.0,1154.0,-4821.0,9488.0,15803.0,-12141.0,0,0,0,NONE,0,2019-06-14T15:22:10.926669
-6446.0,-658.0,1123.0,-4824.0,9464.0,15841.0,-12114.0,0,0,0,NONE,0,2019-06-14T15:22:11.493882
-6394.0,-637.0,1132.0,-4826.0,9434.0,15837.0,-12107.0,0,0,0,NONE,0,2019-06-14T15:22:12.062617
-6445.0,-654.0,1164.0,-4855.0,9458.0,15835.0,-12093.0,0,0,0,NONE,0,2019-06-14T15:22:12.630528
-6428.0,-554.0,1126.0,-4820.0,9452.0,15790.0,-12145.0,0,0,0,NONE,0,2019-06-14T15:22:13.197398
-6426.0,-586.0,1110.0,-4877.0,9522.0,15860.0,-12171.0,0,0,0,NONE,0,2019-06-14T15:22:13.766640
-6370.0,-612.0,1101.0,-4804.0,9474.0,15742.0,-12120.0,0,0,0,NONE,0,2019-06-14T15:22:14.333672
-6469.0,-628.0,1148.0,-4853.0,9567.0,15800.0,-12094.0,0,0,0,NONE,0,2019-06-14T15:22:14.901032
-6471.0,-654.0,1135.0,-4859.0,9502.0,15774.0,-12125.0,0,0,0,NONE,0,2019-06-14T15:22:15.470015
-6453.0,-615.0,1109.0,-4853.0,9526.0,15771.0,-12139.0,0,0,0,NONE,0,2019-06-14T15:22:16.038578
-6440.0,-609.0,1127.0,-4892.0,9543.0,15797.0,-12159.0,0,0,0,NONE,0,2019-06-14T15:22:16.606803
-6384.0,-610.0,1137.0,-4902.0,9455.0,15808.0,-12166.0,0,0,0,NONE,0,2019-06-14T15:22:17.173226
-6401.0,-573.0,1160.0,-4904.0,9533.0,15725.0,-12126.0,0,0,0,NONE,0,2019-06-14T15:22:17.743673
-6412.0,-669.0,1148.0,-4874.0,9537.0,15796.0,-12192.0,0,0,0,NONE,0,2019-06-14T15:22:18.308997
-6383.0,-621.0,1202.0,-4898.0,9548.0,15750.0,-12126.0,0,0,0,NONE,0,2019-06-14T15:22:18.880292
-6386.0,-585.0,1145.0,-4911.0,9606.0,15772.0,-12109.0,0,0,0,NONE,0,2019-06-14T15:22:19.445955
-6416.0,-645.0,1231.0,-4908.0,9527.0,15795.0,-12140.0,0,0,0,NONE,0,2019-06-14T15:22:20.016562
-6359.0,-571.0,1108.0,-4871.0,9543.0,15778.0,-12241.0,0,0,0,NONE,0,2019-06-14T15:22:20.580972
