seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1634.0,5788.0,6218.0,-2230.0,-5.0,-3359.0,-1945.0,0,0,0,NONE,0,2019-06-14T16:00:49.143414
-1604.0,5877.0,6153.0,-2165.0,-95.0,-3398.0,-1961.0,0,0,0,NONE,0,2019-06-14T16:00:49.739811
-1623.0,5858.0,6207.0,-2265.0,-72.0,-3421.0,-1966.0,0,0,0,NONE,0,2019-06-14T16:00:50.279470
-1623.0,5817.0,6207.0,-2332.0,-69.0,-3386.0,-1964.0,0,0,0,NONE,0,2019-06-14T16:00:50.877300
-1653.0,5846.0,6211.0,-2246.0,-12.0,-3373.0,-1991.0,0,0,0,NONE,0,2019-06-14T16:00:51.415912
-1650.0,5867.0,6195.0,-2247.0,-37.0,-3363.0,-1952.0,0,0,0,NONE,0,2019-06-14T16:00:52.014370
-1659.0,5805.0,6202.0,-2281.0,-41.0,-3411.0,-1978.0,0,0,0,NONE,0,2019-06-14T16:00:52.551546
-1646.0,5872.0,6197.0,-2309.0,-58.0,-3396.0,-1965.0,0,0,0,NONE,0,2019-06-14T16:00:53.151101
-1630.0,5893.0,6200.0,-2320.0,-44.0,-3355.0,-1936.0,0,0,0,NONE,0,2019-06-14T16:00:53.688187
-1641.0,5772.0,6218.0,-2266.0,-103.0,-3394.0,-1894.0,0,0,0,NONE,0,2019-06-14T16:00:54.288422
-1667.0,5848.0,6254.0,-2242.0,-2.0,-3369.0,-1956.0,0,0,0,NONE,0,2019-06-14T16:00:54.823914
-1713.0,5854.0,6186.0,-2242.0,-96.0,-3324.0,-1908.0,0,0,0,NONE,0,2019-06-14T16:00:55.425832
-1646.0,5832.0,6195.0,-2227.0,-54.0,-3391.0,-1920.0,0,0,0,NONE,0,2019-06-14T16:00:55.959354
-1711.0,5850.0,6184.0,-2275.0,-100.0,-3407.0,-1905.0,0,0,0,NONE,0,2019-06-14T16:00:56.561667
-1673.0,5842.0,6196.0,-2288.0,-69.0,-3464.0,-1965.0,0,0,0,NONE,0,2019-06-14T16:00:57.096371
-1617.0,5854.0,6214.0,-2262.0,-23.0,-3475.0,-1898.0,0,0,0,NONE,0,2019-06-14T16:00:57.700361
-1722.0,5869.0,6239.0,-2252.0,-123.0,-3463.0,-1887.0,0,0,0,NONE,0,2019-06-14T16:00:58.231203
-1677.0,5818.0,6176.0,-2293.0,-92.0,-3429.0,-1887.0,0,0,0,NONE,0,2019-06-14T16:00:58.836087
-1709.0,5834.0,6278.0,-2280.0,-134.0,-3451.0,-1910.0,0,0,0,NONE,0,2019-06-14T16:00:59.367817
-1666.0,5824.0,6229.0,-2277.0,-84.0,-3406.0,-1884.0,0,0,0,NONE,0,2019-06-14T16:00:59.936260
