seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1722.0,7567.0,603.0,-500.0,5283.0,2342.0,-2948.0,0,0,0,NONE,0,2019-06-14T14:21:19.230291
-1709.0,7513.0,663.0,-531.0,5352.0,2298.0,-2975.0,0,0,0,NONE,0,2019-06-14T14:21:19.798885
-1747.0,7583.0,656.0,-497.0,5400.0,2430.0,-2977.0,0,0,0,NONE,0,2019-06-14T14:21:20.366330
-1771.0,7483.0,687.0,-442.0,5513.0,2458.0,-2992.0,0,0,0,NONE,0,2019-06-14T14:21:20.933724
-1755.0,7462.0,676.0,-463.0,5584.0,2502.0,-3057.0,0,0,0,NONE,0,2019-06-14T14:21:21.500846
-1763.0,7466.0,697.0,-430.0,5586.0,2515.0,-3064.0,0,0,0,NONE,0,2019-06-14T14:21:22.069305
-1775.0,7393.0,744.0,-497.0,5646.0,2563.0,-3066.0,0,0,0,NONE,0,2019-06-14T14:21:22.636010
-1847.0,7341.0,764.0,-449.0,5725.0,2591.0,-3072.0,0,0,0,NONE,0,2019-06-14T14:21:23.203242
-1803.0,7351.0,684.0,-478.0,5799.0,2576.0,-3059.0,0,0,0,NONE,0,2019-06-14T14:21:23.770784
-1846.0,7235.0,741.0,-440.0,5820.0,2682.0,-3185.0,0,0,0,NONE,0,2019-06-14T14:21:24.338479
-1832.0,7230.0,717.0,-424.0,5902.0,2701.0,-3197.0,0,0,0,NONE,0,2019-06-14T14:21:24.904818
-1871.0,7157.0,773.0,-418.0,5941.0,2690.0,-3213.0,0,0,0,NONE,0,2019-06-14T14:21:25.474480
-1795.0,7216.0,744.0,-489.0,6064.0,2718.0,-3219.0,0,0,0,NONE,0,2019-06-14T14:21:26.040160
-1875.0,7148.0,819.0,-524.0,6103.0,2785.0,-3232.0,0,0,0,NONE,0,2019-06-14T14:21:26.610345
-1928.0,7087.0,804.0,-463.0,6129.0,2801.0,-3212.0,0,0,0,NONE,0,2019-06-14T14:21:27.174892
-1892.0,7121.0,797.0,-466.0,6245.0,2810.0,-3208.0,0,0,0,NONE,0,2019-06-14T14:21:27.746357
-1917.0,7042.0,804.0,-476.0,6206.0,2836.0,-3300.0,0,0,0,NONE,0,2019-06-14T14:21:28.309325
-1896.0,7047.0,889.0,-456.0,6312.0,2952.0,-3292.0,0,0,0,NONE,0,2019-06-14T14:21:28.882254
-1945.0,7007.0,898.0,-468.0,6344.0,2934.0,-3288.0,0,0,0,NONE,0,2019-06-14T14:21:29.443184
-1957.0,7044.0,892.0,-416.0,6362.0,2975.0,-3319.0,0,0,0,NONE,0,2019-06-14T14:21:30.018033
