seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3312.0,-3515.0,2872.0,2802.0,2613.0,696.0,4227.0,0,0,0,NONE,0,2019-06-14T12:37:10.025751
-3320.0,-3552.0,2932.0,2818.0,2599.0,735.0,4268.0,0,0,0,NONE,0,2019-06-14T12:37:10.562071
-3363.0,-3496.0,2893.0,2837.0,2661.0,766.0,4123.0,0,0,0,NONE,0,2019-06-14T12:37:11.161677
-3376.0,-3505.0,2899.0,2787.0,2667.0,765.0,4105.0,0,0,0,NONE,0,2019-06-14T12:37:11.696876
-3392.0,-3473.0,2978.0,2796.0,2622.0,835.0,4203.0,0,0,0,NONE,0,2019-06-14T12:37:12.297850
-3365.0,-3495.0,2890.0,2789.0,2682.0,742.0,4141.0,0,0,0,NONE,0,2019-06-14T12:37:12.831598
-3347.0,-3467.0,2853.0,2776.0,2694.0,814.0,4072.0,0,0,0,NONE,0,2019-06-14T12:37:13.433963
-3403.0,-3502.0,2901.0,2778.0,2695.0,822.0,4138.0,0,0,0,NONE,0,2019-06-14T12:37:13.966843
-3434.0,-3463.0,2947.0,2788.0,2748.0,868.0,4134.0,0,0,0,NONE,0,2019-06-14T12:37:14.570154
-3387.0,-3530.0,2921.0,2796.0,2690.0,818.0,4110.0,0,0,0,NONE,0,2019-06-14T12:37:15.102030
-3424.0,-3572.0,2913.0,2763.0,2701.0,891.0,4119.0,0,0,0,NONE,0,2019-06-14T12:37:15.706008
-3416.0,-3501.0,2867.0,2720.0,2742.0,860.0,4043.0,0,0,0,NONE,0,2019-06-14T12:37:16.237090
-3399.0,-3553.0,2858.0,2727.0,2735.0,900.0,4046.0,0,0,0,NONE,0,2019-06-14T12:37:16.842326
-3352.0,-3465.0,2871.0,2728.0,2751.0,867.0,4017.0,0,0,0,NONE,0,2019-06-14T12:37:17.372184
-3415.0,-3542.0,2831.0,2784.0,2756.0,927.0,4044.0,0,0,0,NONE,0,2019-06-14T12:37:17.978411
-3427.0,-3570.0,2888.0,2743.0,2697.0,911.0,3990.0,0,0,0,NONE,0,2019-06-14T12:37:18.507330
-3448.0,-3566.0,2924.0,2713.0,2811.0,861.0,3938.0,0,0,0,NONE,0,2019-06-14T12:37:19.074844
-3438.0,-3571.0,2903.0,2783.0,2792.0,850.0,4007.0,0,0,0,NONE,0,2019-06-14T12:37:19.642379
-3446.0,-3599.0,2863.0,2764.0,2781.0,933.0,3986.0,0,0,0,NONE,0,2019-06-14T12:37:20.250652
-3375.0,-3541.0,2875.0,2697.0,2834.0,986.0,3890.0,0,0,0,NONE,0,2019-06-14T12:37:20.777583
