seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
1912.0,336.0,3068.0,-2183.0,-3573.0,-2255.0,899.0,0,0,0,NONE,0,2019-06-14T12:26:11.640378
1840.0,294.0,3176.0,-2209.0,-3613.0,-2228.0,1065.0,0,0,0,NONE,0,2019-06-14T12:26:12.214989
1889.0,302.0,3159.0,-2119.0,-3605.0,-2283.0,1046.0,0,0,0,NONE,0,2019-06-14T12:26:12.775881
1937.0,361.0,3124.0,-2071.0,-3699.0,-2355.0,1085.0,0,0,0,NONE,0,2019-06-14T12:26:13.351278
1986.0,371.0,3144.0,-2072.0,-3736.0,-2427.0,1054.0,0,0,0,NONE,0,2019-06-14T12:26:13.910907
2047.0,366.0,3161.0,-2115.0,-3754.0,-2509.0,1039.0,0,0,0,NONE,0,2019-06-14T12:26:14.487477
2111.0,406.0,3223.0,-2123.0,-3694.0,-2469.0,1115.0,0,0,0,NONE,0,2019-06-14T12:26:15.046704
2155.0,418.0,3202.0,-2144.0,-3808.0,-2568.0,1063.0,0,0,0,NONE,0,2019-06-14T12:26:15.623651
2164.0,457.0,3311.0,-2158.0,-3851.0,-2567.0,1123.0,0,0,0,NONE,0,2019-06-14T12:26:16.181842
2248.0,440.0,3378.0,-2192.0,-3930.0,-2527.0,1071.0,0,0,0,NONE,0,2019-06-14T12:26:16.759778
2241.0,407.0,3300.0,-2234.0,-3890.0,-2540.0,1068.0,0,0,0,NONE,0,2019-06-14T12:26:17.317333
2286.0,436.0,3341.0,-2206.0,-3947.0,-2647.0,1075.0,0,0,0,NONE,0,2019-06-14T12:26:17.895992
2253.0,427.0,3452.0,-2230.0,-3933.0,-2656.0,1083.0,0,0,0,NONE,0,2019-06-14T12:26:18.452630
2346.0,388.0,3489.0,-2229.0,-4012.0,-2696.0,1073.0,0,0,0,NONE,0,2019-06-14T12:26:19.032126
2360.0,411.0,3497.0,-2186.0,-4061.0,-2728.0,1063.0,0,0,0,NONE,0,2019-06-14T12:26:19.587749
2366.0,453.0,3622.0,-2179.0,-4086.0,-2747.0,1086.0,0,0,0,NONE,0,2019-06-14T12:26:20.168361
2446.0,390.0,3553.0,-2135.0,-4171.0,-2778.0,1066.0,0,0,0,NONE,0,2019-06-14T12:26:20.723108
2368.0,404.0,3619.0,-2097.0,-4161.0,-2720.0,1124.0,0,0,0,NONE,0,2019-06-14T12:26:21.304625
2396.0,454.0,3627.0,-2104.0,-4195.0,-2787.0,1088.0,0,0,0,NONE,0,2019-06-14T12:26:21.858388
2381.0,499.0,3634.0,-2053.0,-4217.0,-2826.0,1020.0,0,0,0,NONE,0,2019-06-14T12:26:22.440952
