seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6203.0,-1621.0,2544.0,-5282.0,17922.0,9002.0,-12321.0,0,0,0,NONE,0,2019-06-14T14:49:12.622015
-6102.0,-1617.0,2581.0,-5334.0,17966.0,8933.0,-12333.0,0,0,0,NONE,0,2019-06-14T14:49:13.185291
-6169.0,-1554.0,2518.0,-5372.0,17933.0,8914.0,-12259.0,0,0,0,NONE,0,2019-06-14T14:49:13.758934
-6087.0,-1587.0,2625.0,-5383.0,17851.0,8834.0,-12223.0,0,0,0,NONE,0,2019-06-14T14:49:14.320692
-6036.0,-1542.0,2583.0,-5423.0,17859.0,8815.0,-12244.0,0,0,0,NONE,0,2019-06-14T14:49:14.894925
-6001.0,-1574.0,2585.0,-5484.0,17826.0,8690.0,-12276.0,0,0,0,NONE,0,2019-06-14T14:49:15.455840
-5983.0,-1457.0,2572.0,-5528.0,17813.0,8645.0,-12229.0,0,0,0,NONE,0,2019-06-14T14:49:16.031797
-5930.0,-1452.0,2587.0,-5609.0,17758.0,8586.0,-12255.0,0,0,0,NONE,0,2019-06-14T14:49:16.592061
-5892.0,-1452.0,2560.0,-5610.0,17678.0,8495.0,-12264.0,0,0,0,NONE,0,2019-06-14T14:49:17.167776
-5860.0,-1405.0,2602.0,-5666.0,17583.0,8440.0,-12224.0,0,0,0,NONE,0,2019-06-14T14:49:17.726723
-5798.0,-1453.0,2558.0,-5722.0,17569.0,8395.0,-12206.0,0,0,0,NONE,0,2019-06-14T14:49:18.304073
-5737.0,-1392.0,2456.0,-5781.0,17545.0,8310.0,-12233.0,0,0,0,NONE,0,2019-06-14T14:49:18.862718
-5695.0,-1374.0,2541.0,-5800.0,17489.0,8309.0,-12216.0,0,0,0,NONE,0,2019-06-14T14:49:19.440188
-5649.0,-1292.0,2548.0,-5814.0,17437.0,8279.0,-12220.0,0,0,0,NONE,0,2019-06-14T14:49:19.997777
-5631.0,-1357.0,2520.0,-5787.0,17333.0,8237.0,-12148.0,0,0,0,NONE,0,2019-06-14T14:49:20.577077
-5543.0,-1309.0,2526.0,-5907.0,17315.0,8189.0,-12232.0,0,0,0,NONE,0,2019-06-14T14:49:21.132920
-5479.0,-1262.0,2532.0,-5953.0,17281.0,8081.0,-12227.0,0,0,0,NONE,0,2019-06-14T14:49:21.712689
-5421.0,-1251.0,2560.0,-6045.0,17260.0,8127.0,-12230.0,0,0,0,NONE,0,2019-06-14T14:49:22.269059
-5373.0,-1231.0,2568.0,-5996.0,17221.0,8046.0,-12238.0,0,0,0,NONE,0,2019-06-14T14:49:22.849361
-5412.0,-1136.0,2609.0,-6050.0,17143.0,8081.0,-12244.0,0,0,0,NONE,0,2019-06-14T14:49:23.404398
