seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-600.0,8132.0,-5286.0,4056.0,-10227.0,-8433.0,7699.0,0,0,0,NONE,0,2019-06-14T13:06:25.002001
-657.0,8070.0,-5357.0,4074.0,-10229.0,-8367.0,7676.0,0,0,0,NONE,0,2019-06-14T13:06:25.543811
-646.0,8074.0,-5365.0,4107.0,-10151.0,-8386.0,7746.0,0,0,0,NONE,0,2019-06-14T13:06:26.138260
-688.0,8053.0,-5334.0,4103.0,-10189.0,-8293.0,7723.0,0,0,0,NONE,0,2019-06-14T13:06:26.678889
-691.0,8085.0,-5381.0,4105.0,-10239.0,-8454.0,7738.0,0,0,0,NONE,0,2019-06-14T13:06:27.274295
-660.0,8113.0,-5404.0,4153.0,-10245.0,-8420.0,7708.0,0,0,0,NONE,0,2019-06-14T13:06:27.813382
-676.0,8136.0,-5373.0,4150.0,-10224.0,-8419.0,7692.0,0,0,0,NONE,0,2019-06-14T13:06:28.410272
-644.0,8109.0,-5396.0,4125.0,-10229.0,-8333.0,7762.0,0,0,0,NONE,0,2019-06-14T13:06:28.948325
-677.0,8152.0,-5380.0,4191.0,-10210.0,-8388.0,7738.0,0,0,0,NONE,0,2019-06-14T13:06:29.546041
-668.0,8130.0,-5368.0,4183.0,-10272.0,-8406.0,7746.0,0,0,0,NONE,0,2019-06-14T13:06:30.083090
-651.0,8113.0,-5406.0,4165.0,-10302.0,-8377.0,7770.0,0,0,0,NONE,0,2019-06-14T13:06:30.682091
-681.0,8067.0,-5407.0,4238.0,-10300.0,-8345.0,7806.0,0,0,0,NONE,0,2019-06-14T13:06:31.217995
-647.0,8174.0,-5412.0,4189.0,-10229.0,-8351.0,7742.0,0,0,0,NONE,0,2019-06-14T13:06:31.817902
-715.0,8097.0,-5485.0,4173.0,-10258.0,-8319.0,7761.0,0,0,0,NONE,0,2019-06-14T13:06:32.352907
-684.0,8068.0,-5495.0,4219.0,-10252.0,-8361.0,7769.0,0,0,0,NONE,0,2019-06-14T13:06:32.953755
-684.0,8049.0,-5516.0,4148.0,-10230.0,-8359.0,7752.0,0,0,0,NONE,0,2019-06-14T13:06:33.487777
-681.0,8015.0,-5525.0,4143.0,-10241.0,-8346.0,7785.0,0,0,0,NONE,0,2019-06-14T13:06:34.089682
-700.0,8050.0,-5517.0,4188.0,-10200.0,-8350.0,7766.0,0,0,0,NONE,0,2019-06-14T13:06:34.622548
-668.0,8050.0,-5552.0,4170.0,-10218.0,-8293.0,7895.0,0,0,0,NONE,0,2019-06-14T13:06:35.225771
-780.0,8058.0,-5566.0,4177.0,-10256.0,-8360.0,7811.0,0,0,0,NONE,0,2019-06-14T13:06:35.756868
