seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4236.0,2011.0,5035.0,1041.0,-7110.0,-6086.0,7037.0,0,0,0,NONE,0,2019-06-14T11:54:42.451673
4226.0,2075.0,5022.0,1072.0,-7139.0,-6011.0,7093.0,0,0,0,NONE,0,2019-06-14T11:54:43.040744
4172.0,2006.0,5007.0,1066.0,-7120.0,-6085.0,7069.0,0,0,0,NONE,0,2019-06-14T11:54:43.586273
4222.0,2042.0,5027.0,1050.0,-7083.0,-6097.0,7157.0,0,0,0,NONE,0,2019-06-14T11:54:44.176688
4193.0,2052.0,5001.0,1121.0,-7096.0,-6128.0,7147.0,0,0,0,NONE,0,2019-06-14T11:54:44.720981
4183.0,2002.0,5002.0,1137.0,-7102.0,-6098.0,7166.0,0,0,0,NONE,0,2019-06-14T11:54:45.312411
4181.0,2044.0,4968.0,1134.0,-7157.0,-6095.0,7163.0,0,0,0,NONE,0,2019-06-14T11:54:45.855496
4146.0,2023.0,4977.0,1184.0,-7102.0,-6047.0,7178.0,0,0,0,NONE,0,2019-06-14T11:54:46.448095
4078.0,1966.0,4950.0,1252.0,-7147.0,-6054.0,7249.0,0,0,0,NONE,0,2019-06-14T11:54:46.989874
4058.0,2025.0,4948.0,1241.0,-7158.0,-6008.0,7265.0,0,0,0,NONE,0,2019-06-14T11:54:47.583802
3977.0,2060.0,4964.0,1269.0,-7121.0,-6054.0,7239.0,0,0,0,NONE,0,2019-06-14T11:54:48.124396
3978.0,2030.0,4917.0,1271.0,-7218.0,-6134.0,7315.0,0,0,0,NONE,0,2019-06-14T11:54:48.720289
3961.0,2016.0,4908.0,1360.0,-7182.0,-6090.0,7266.0,0,0,0,NONE,0,2019-06-14T11:54:49.258870
3912.0,2085.0,4888.0,1324.0,-7156.0,-6142.0,7289.0,0,0,0,NONE,0,2019-06-14T11:54:49.855571
3934.0,2062.0,4911.0,1344.0,-7164.0,-6236.0,7266.0,0,0,0,NONE,0,2019-06-14T11:54:50.393288
3896.0,2057.0,4816.0,1411.0,-7208.0,-6211.0,7313.0,0,0,0,NONE,0,2019-06-14T11:54:50.991322
3936.0,2002.0,4794.0,1415.0,-7132.0,-6202.0,7297.0,0,0,0,NONE,0,2019-06-14T11:54:51.527869
3967.0,2099.0,4821.0,1432.0,-7134.0,-6174.0,7303.0,0,0,0,NONE,0,2019-06-14T11:54:52.127167
3961.0,2015.0,4848.0,1393.0,-7080.0,-6206.0,7249.0,0,0,0,NONE,0,2019-06-14T11:54:52.662261
3914.0,1974.0,4842.0,1341.0,-7157.0,-6147.0,7270.0,0,0,0,NONE,0,2019-06-14T11:54:53.263225
