seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5516.0,671.0,2916.0,-5786.0,18146.0,9797.0,-13984.0,0,0,0,NONE,0,2019-06-14T14:13:33.822514
-5450.0,649.0,2928.0,-5757.0,18135.0,9801.0,-13999.0,0,0,0,NONE,0,2019-06-14T14:13:34.391859
-5489.0,668.0,2839.0,-5693.0,18018.0,9789.0,-13897.0,0,0,0,NONE,0,2019-06-14T14:13:34.959425
-5470.0,694.0,2819.0,-5730.0,18003.0,9830.0,-13927.0,0,0,0,NONE,0,2019-06-14T14:13:35.526966
-5465.0,734.0,2848.0,-5717.0,18000.0,9746.0,-13957.0,0,0,0,NONE,0,2019-06-14T14:13:36.094458
-5419.0,783.0,2800.0,-5659.0,17921.0,9769.0,-13903.0,0,0,0,NONE,0,2019-06-14T14:13:36.662070
-5423.0,769.0,2840.0,-5745.0,17824.0,9745.0,-13960.0,0,0,0,NONE,0,2019-06-14T14:13:37.229701
-5452.0,835.0,2778.0,-5767.0,17788.0,9766.0,-13877.0,0,0,0,NONE,0,2019-06-14T14:13:37.797211
-5438.0,890.0,2770.0,-5691.0,17806.0,9743.0,-13918.0,0,0,0,NONE,0,2019-06-14T14:13:38.364850
-5462.0,898.0,2710.0,-5733.0,17757.0,9674.0,-13910.0,0,0,0,NONE,0,2019-06-14T14:13:38.931206
-5407.0,918.0,2642.0,-5682.0,17705.0,9656.0,-13838.0,0,0,0,NONE,0,2019-06-14T14:13:39.500561
-5393.0,911.0,2664.0,-5713.0,17656.0,9674.0,-13851.0,0,0,0,NONE,0,2019-06-14T14:13:40.067512
-5421.0,967.0,2606.0,-5647.0,17564.0,9604.0,-13857.0,0,0,0,NONE,0,2019-06-14T14:13:40.636442
-5385.0,1006.0,2584.0,-5661.0,17564.0,9601.0,-13840.0,0,0,0,NONE,0,2019-06-14T14:13:41.202835
-5319.0,1024.0,2533.0,-5646.0,17512.0,9600.0,-13853.0,0,0,0,NONE,0,2019-06-14T14:13:41.773108
-5328.0,1067.0,2478.0,-5613.0,17435.0,9606.0,-13747.0,0,0,0,NONE,0,2019-06-14T14:13:42.337922
-5278.0,1145.0,2467.0,-5658.0,17399.0,9603.0,-13900.0,0,0,0,NONE,0,2019-06-14T14:13:42.908499
-5264.0,1191.0,2466.0,-5700.0,17343.0,9633.0,-13791.0,0,0,0,NONE,0,2019-06-14T14:13:43.473221
-5226.0,1152.0,2391.0,-5643.0,17275.0,9548.0,-13808.0,0,0,0,NONE,0,2019-06-14T14:13:44.045496
-5227.0,1174.0,2396.0,-5664.0,17234.0,9657.0,-13809.0,0,0,0,NONE,0,2019-06-14T14:13:44.608352
