seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5299.0,5977.0,3396.0,-663.0,-1054.0,-2284.0,150.0,0,0,0,NONE,0,2019-06-14T16:45:05.210159
-5287.0,5960.0,3410.0,-667.0,-969.0,-2251.0,153.0,0,0,0,NONE,0,2019-06-14T16:45:05.809155
-5288.0,5962.0,3346.0,-635.0,-966.0,-2262.0,95.0,0,0,0,NONE,0,2019-06-14T16:45:06.345488
-5293.0,5960.0,3436.0,-671.0,-1003.0,-2261.0,114.0,0,0,0,NONE,0,2019-06-14T16:45:06.946542
-5296.0,5887.0,3448.0,-656.0,-933.0,-2313.0,129.0,0,0,0,NONE,0,2019-06-14T16:45:07.483030
-5293.0,5926.0,3391.0,-645.0,-978.0,-2228.0,127.0,0,0,0,NONE,0,2019-06-14T16:45:08.083292
-5254.0,5914.0,3412.0,-647.0,-997.0,-2271.0,63.0,0,0,0,NONE,0,2019-06-14T16:45:08.617825
-5284.0,5978.0,3409.0,-664.0,-1021.0,-2256.0,47.0,0,0,0,NONE,0,2019-06-14T16:45:09.220123
-5303.0,5935.0,3454.0,-610.0,-997.0,-2209.0,111.0,0,0,0,NONE,0,2019-06-14T16:45:09.753171
-5315.0,5957.0,3432.0,-684.0,-991.0,-2253.0,52.0,0,0,0,NONE,0,2019-06-14T16:45:10.356651
-5376.0,5974.0,3418.0,-689.0,-974.0,-2161.0,95.0,0,0,0,NONE,0,2019-06-14T16:45:10.889868
-5366.0,5892.0,3428.0,-669.0,-990.0,-2127.0,54.0,0,0,0,NONE,0,2019-06-14T16:45:11.493714
-5293.0,5947.0,3471.0,-659.0,-977.0,-2197.0,40.0,0,0,0,NONE,0,2019-06-14T16:45:12.025289
-5311.0,5909.0,3485.0,-667.0,-999.0,-2201.0,10.0,0,0,0,NONE,0,2019-06-14T16:45:12.595222
-5303.0,5948.0,3452.0,-674.0,-961.0,-2278.0,95.0,0,0,0,NONE,0,2019-06-14T16:45:13.160711
-5315.0,5918.0,3340.0,-696.0,-991.0,-2244.0,19.0,0,0,0,NONE,0,2019-06-14T16:45:13.729191
-5233.0,5916.0,3440.0,-704.0,-1019.0,-2197.0,50.0,0,0,0,NONE,0,2019-06-14T16:45:14.297742
-5267.0,5902.0,3445.0,-648.0,-988.0,-2173.0,-9.0,0,0,0,NONE,0,2019-06-14T16:45:14.865018
-5309.0,5920.0,3414.0,-652.0,-960.0,-2165.0,-9.0,0,0,0,NONE,0,2019-06-14T16:45:15.432911
-5265.0,5902.0,3405.0,-699.0,-970.0,-2144.0,59.0,0,0,0,NONE,0,2019-06-14T16:45:16.000724
